t_ps,seed,method,eF_equilibrium,eF_km_equilibrium,eF_uniform8,eF_km_uniform8,eF_uniform10,eF_km_uniform10,egradF_equilibrium,egradF_uniform8,egradF_uniform10
0.0,10,abf,3.0745504501193377,2.9538180157994325,5.070397668650137,5.033485960471515,6.373627036847375,6.352766506163506,17.773080774275364,26.54625518694408,29.348744142942707
0.0,11,abf,3.04439885181986,2.9244769428318844,5.0651122409619695,5.029338677296382,6.373358417087018,6.353237033500651,17.739281759588994,26.54437951523043,29.346962022261707
0.0,12,abf,3.048543314571927,2.928265226788053,5.063794336280084,5.027708707459804,6.37100839693062,6.350696331107105,17.733809774553166,26.544076180812286,29.346856521691443
0.0,13,abf,3.0587931563769635,2.939253949483168,5.062129151618498,5.026396357912993,6.370810734986841,6.3507346579697765,17.73951949032199,26.54441610261144,29.3469863707603
1.0,10,abf,1.9165719430418995,1.8173691756203885,2.7793737991856076,2.6422860709173155,2.955281765542901,2.86105159050122,9.365081791249406,15.860523696578213,20.965958917002688
1.0,11,abf,1.956607336139955,1.8534535303427568,2.851594712957542,2.713072958729834,2.971935660889036,2.873984352173704,9.442319225282443,15.852686270244057,20.76520067994433
1.0,12,abf,1.962530074383564,1.862658983122812,2.8413286220947525,2.7003417897791326,2.9738865162579557,2.873952094665169,9.45077347979935,15.791520202700964,20.85250838516386
1.0,13,abf,1.9334158858763861,1.8319289774429504,2.8057913596169866,2.673466347865068,2.9680330130945407,2.877042456741379,9.445831082197673,15.883229559851257,20.99722949527626
2.0,10,abf,2.6078224748053116,2.5293070118846903,4.001167951720968,3.8611975267397907,3.6701679346901233,3.544844814647635,9.313802238425193,15.427231249846722,18.17814190816174
2.0,11,abf,2.615861487608919,2.5341420759273476,4.03662749298806,3.8992835933723784,3.705310375598702,3.5819412924519067,9.360078274757878,15.421291764124097,17.99252036066402
2.0,12,abf,2.6344959628393276,2.5551140895770783,4.076448266150544,3.9379709699903414,3.7447240068618615,3.619563047057493,9.370000536990313,15.37996584151502,17.90256472768111
2.0,13,abf,2.6255567296256825,2.5440151969246956,4.076055345815742,3.938881739565009,3.739944210878346,3.61756342413747,9.369850616569334,15.429789426171377,18.022330379032326
3.0,10,abf,3.5326349787151425,3.4661313668377263,5.831292686671057,5.698348310520488,5.4010469317502,5.274643094315999,9.260060973595273,15.302742166532623,17.42140533249113
3.0,11,abf,3.5221621174219178,3.4544311637697915,5.819139496998643,5.685815094919612,5.393966647806208,5.2678317368330445,9.29373359008088,15.286016076036125,17.42555285168501
3.0,12,abf,3.536224036486201,3.470647849000899,5.810568916179442,5.67711333202074,5.385142270863533,5.258363061147837,9.322647916516576,15.32936043751668,17.48533718912986
3.0,13,abf,3.498974434393255,3.4300742902766364,5.806522842197276,5.674068624594026,5.3792990667919245,5.253921630666619,9.306302950791451,15.304616624047956,17.447319350275443
4.0,10,abf,5.093194896486316,5.036879666174831,8.997548590034823,8.869353729919657,8.64506795347782,8.523143826497128,9.237468206850606,15.217895188841352,17.32597145749356
4.0,11,abf,5.045802303763834,4.988276671777935,8.935710837926026,8.808674351604573,8.582235498463271,8.461575054360905,9.24421367289038,15.221286461119542,17.337496509157386
4.0,12,abf,5.222623507806228,5.164763022790446,9.29722934241784,9.17083739475626,8.953684690003248,8.833532085935943,9.25672023930291,15.233698360893296,17.359316580768265
4.0,13,abf,5.061129180464307,5.001678540913849,8.984848380085793,8.85791379647754,8.623396714330447,8.50284290041587,9.2554941771319,15.235474916029442,17.335123873398505
5.0,10,abf,6.606835455525484,6.551020569563435,13.234748793801984,13.112528683322914,13.746137332910285,13.631570558892985,8.583970401032408,10.21567856507538,11.489255405474081
5.0,11,abf,6.769772035442152,6.713404878756083,13.48515010027294,13.36288101342344,13.929817050458174,13.815141096538127,8.648249643776397,10.446569805892919,11.607200085669257
5.0,12,abf,6.72078866212889,6.665050105633655,13.378181829078484,13.25551387929756,13.767894652903646,13.652823799668711,8.659059315658778,10.733705312856285,11.860354586638156
5.0,13,abf,6.648557637842174,6.59272634727445,13.157584367167363,13.034779283385266,13.598067961630377,13.482757902874283,8.662926253811671,10.478837285993318,11.719086913324915
6.0,10,abf,4.878075844234594,4.816766275516618,9.80438107041098,9.67828930937899,10.246455329431146,10.12823736941598,8.47461229118109,9.101475640563594,9.543487015913152
6.0,11,abf,4.828650633125983,4.767399771409517,9.677932092304406,9.55169103345353,10.080334386284118,9.962033015095413,8.499159409973501,9.185480562725457,9.596036495851344
6.0,12,abf,4.9546804812990715,4.892332776992813,9.970006965401838,9.843763619402676,10.381956409682642,10.263540529352396,8.515280041027143,9.195938283363907,9.61866302471456
6.0,13,abf,4.809973261094797,4.748050280178525,9.619359567910214,9.492966155123012,10.03805436427875,9.919520824574004,8.5193861481257,9.194743094252715,9.609777504586155
7.0,10,abf,3.7426281257427347,3.6753960792589324,7.467224537555431,7.336524315847816,7.773922062161655,7.651153009270133,8.44602723746279,8.755111265158318,8.972043486026823
7.0,11,abf,3.7017689033014047,3.6342081122835648,7.356540501121668,7.225252149870112,7.651624566717846,7.528494540557997,8.467149562958749,8.775280072261237,8.969641558539447
7.0,12,abf,3.744462816108568,3.675245631384335,7.456372602546952,7.325418634592013,7.750661679641333,7.627666586033939,8.479353522505642,8.79388436512353,8.989135050688752
7.0,13,abf,3.6459035457579656,3.578258834744183,7.218653837099475,7.087312269894317,7.514845442546941,7.391412098141331,8.479882681741497,8.781524808981713,8.961904358157296
8.0,10,abf,2.954502993404053,2.878601850560336,5.85841697824458,5.722422517927138,6.098326628781114,5.970521130161534,8.434238995281449,8.580455047013125,8.68573933291724
8.0,11,abf,2.919084125849262,2.842663512885224,5.766141363181796,5.629092591879207,5.996544811987233,5.867938923851995,8.453257016616334,8.601761296605474,8.699007513091237
8.0,12,abf,2.93625017584827,2.8576655760503815,5.824096194989892,5.687359450378959,6.0571693098318535,5.928789952301262,8.46688988954792,8.611595099880992,8.700760623541713
8.0,13,abf,2.8840054389648406,2.807565988061748,5.674124305479826,5.536917698307413,5.9063603467896355,5.777306783270888,8.467330562955784,8.608885256421317,8.697786634471841
9.0,10,abf,2.328211894348323,2.241214174781621,4.578174474114561,4.435582398722384,4.766628029390707,4.6323789762023475,8.428016179981384,8.501282407972209,8.559694272796545
9.0,11,abf,2.306543784192858,2.2188079994951244,4.506182658581073,4.3620109827015385,4.6818031729028595,4.546294329599113,8.44673050468022,8.528686991018777,8.58541265882685
9.0,12,abf,2.306023057172594,2.2159162355538764,4.52900313165295,4.3853882209709365,4.70770667335219,4.572631282099409,8.46029132791407,8.530414097590869,8.581205109676782
9.0,13,abf,2.2824134562141576,2.194951113064361,4.443449904989134,4.299219725585662,4.622200554497322,4.486304197372853,8.45991405371087,8.526726334231373,8.577922496227318
10.0,10,abf,1.8339958855894696,1.7329559264301113,3.542667384865029,3.3909123336513622,3.679767085314893,3.5363849929854148,8.42581649675767,8.469749961995525,8.508154268677677
10.0,11,abf,1.8095487232603473,1.7069298067858643,3.462943114087167,3.3091845019097503,3.5882740223581897,3.4432838951722733,8.443686989430441,8.493258189972465,8.533294619071242
10.0,12,abf,1.8103337254661807,1.705244577602917,3.4872917875488607,3.3341838869943556,3.614953455117748,3.470462894042543,8.456560488273247,8.493274769072327,8.528827488516644
10.0,13,abf,1.7969499483635616,1.6949252313752088,3.4223222737528936,3.26896011111609,3.548600457908533,3.4035862042688185,8.455309257635959,8.491666420315395,8.52741646433534
11.0,10,abf,1.4535410483719706,1.3350091847980878,2.722949636599587,2.5594185879583993,2.8155699201293922,2.660277004365581,8.4241939581907,8.451309318851875,8.481214611912435
11.0,11,abf,1.431558720283491,1.3112712347457798,2.6429016548359487,2.4763837548401857,2.726244197982887,2.5683891243163988,8.44088647306712,8.473846893032139,8.503681237463544
11.0,12,abf,1.414955677027223,1.2902796470779196,2.633605920002842,2.4674843050921065,2.715779187532715,2.5581150838083806,8.453315736116759,8.471262594920855,8.497565452458044
11.0,13,abf,1.4225605886877484,1.3020525283699806,2.6203155981126596,2.454260710277992,2.7037482366491212,2.5458820638747697,8.452223428045395,8.472872525023345,8.500586997551865
12.0,10,abf,1.1818140326019209,1.0430855118803504,2.125657440443293,1.9480827587490743,2.186044020290122,2.016396059766278,8.421820361620236,8.441041714075434,8.465635272994612
12.0,11,abf,1.1610756622294636,1.0205615422488261,2.0337949033176432,1.8510777441897706,2.081357502090494,1.9069186870950752,8.437884384543263,8.461943779177,8.485436574243645
12.0,12,abf,1.1430688031641705,0.9954016579664778,2.0302644542024444,1.8482877998358553,2.0798373927369687,1.9058673396025752,8.451253214754741,8.460517389982515,8.483803118879708
12.0,13,abf,1.156893185561339,1.0161679591883364,2.0245911294739583,1.842654076257116,2.0741750008773834,1.8998962083049025,8.449711861530135,8.462988180436339,8.485226524320213
13.0,10,abf,1.0021945793899523,0.8435011850397577,1.7052683538378546,1.512041677203078,1.7419399234756212,1.5558373217230983,8.419909992263216,8.434884552652138,8.454931937505945
13.0,11,abf,0.9979702705563063,0.8399391617862803,1.6461094564471541,1.4478078959751204,1.6725144283733289,1.4815679939211597,8.433984482953582,8.452073320045047,8.474080521900042
13.0,12,abf,0.9659176945962924,0.7960055507943845,1.620580294126994,1.4212312445919228,1.6480657358823996,1.4558274650729193,8.44821724106343,8.451804524513419,8.47141908824217
13.0,13,abf,0.987870401511668,0.8278416969539621,1.6270817955200223,1.428494196607312,1.6536332202425044,1.4616376779158475,8.446838765013155,8.451392619783224,8.472662267384834
14.0,10,abf,0.8905294661043114,0.713531601634162,1.438517834336548,1.2294995486469655,1.4618403374385578,1.259312778597507,8.415971341333513,8.425563366928374,8.444033795573777
14.0,11,abf,0.897837853024652,0.7246101027704153,1.395228062134397,1.1813662088970356,1.4073456063655754,1.1999081841570804,8.430450297297739,8.44284551618632,8.462634061224412
14.0,12,abf,0.8576010409991416,0.6672201592982381,1.3587952607207114,1.1424037590109202,1.3731566539623725,1.163069417218397,8.445817979205996,8.445683653268599,8.463292064838331
14.0,13,abf,0.8739125985375243,0.6943232654053849,1.3627198186974132,1.1462994461838825,1.375798811083657,1.1649225071703377,8.442614963153863,8.44166509325044,8.460436559023414
15.0,10,abf,0.8223945659241909,0.6312316989885085,1.2674688972225208,1.0446467509126043,1.2799781404966344,1.0627615460232245,8.412637933176603,8.418217066924615,8.43434669362089
15.0,11,abf,0.8287560717162992,0.6412598737575478,1.2288771694985121,1.000861340486308,1.2323999494189273,1.0098177958115884,8.42643920999057,8.432813138971778,8.45154926963023
15.0,12,abf,0.7898478040019343,0.5825613086979107,1.1910263819518863,0.9595895732120452,1.1972125998810332,0.9710887565308399,8.442687761980972,8.437861947018048,8.453753235569769
15.0,13,abf,0.804077280790907,0.6088905994553279,1.1937165241758405,0.9624054562158416,1.199401205279911,0.9723838091947888,8.439545687247819,8.437076545417995,8.451064203015843
16.0,10,abf,0.7738274103139874,0.5688922925126962,1.1493869269163408,0.9141714272826436,1.155392344928754,0.9249710625268405,8.410212829790447,8.409262175361674,8.425205137829723
16.0,11,abf,0.7917430264788532,0.595380404080437,1.1344708843442681,0.8960435567881542,1.1334341248531965,0.8994905270271496,8.424024263450073,8.426576972165785,8.443889209187647
16.0,12,abf,0.7506884768454327,0.5316273884587372,1.0892838463723002,0.8462102760276421,1.0917653950626873,0.8531797988394944,8.440294783015919,8.431983391387513,8.446448984213102
16.0,13,abf,0.7606134136926453,0.5526808684802149,1.090936182381994,0.8474515038091076,1.0920529631336904,0.8519705231881559,8.436534290194379,8.42883477528191,8.44282710764852
17.0,10,abf,0.7449678833061213,0.5317826977621021,1.0696620537581154,0.8243178226185397,1.071890405037066,0.8304518114265088,8.40834831858136,8.4060986644246,8.41976605680515
17.0,11,abf,0.7617875866648246,0.5565089651310661,1.064870926716215,0.8171511472081633,1.0611252575807375,0.8171293909463757,8.421815293012637,8.42018994072239,8.436272014508404
17.0,12,abf,0.7215663344938873,0.4922419309630628,1.015492856896869,0.7619500413061286,1.0156348648294518,0.765692733845223,8.436356115933052,8.424077429728207,8.43987474451855
17.0,13,abf,0.7324255771352346,0.514167449002296,1.0255420301022429,0.7727985966685593,1.0248080326124134,0.7749834289884786,8.43254057641419,8.420127410710457,8.433976266921789
18.0,10,abf,0.7176651638091931,0.4945836237375154,1.0041821512837275,0.7487500724105124,1.0041265576204006,0.7519987688894717,8.403910826479867,8.399098988119313,8.413778567996452
18.0,11,abf,0.7320602731886683,0.5163401620084392,1.0027494189164023,0.7448771571518353,0.9965234753751292,0.7415206043600685,8.416401857130097,8.41472825583736,8.431990561825343
18.0,12,abf,0.7017700679207164,0.46221633109707466,0.9667694347676099,0.7036722762332477,0.9657842929528414,0.7058602053955682,8.434299462244358,8.419015883954339,8.435727855270523
18.0,13,abf,0.7123312491075869,0.4854111997956922,0.9777063237964602,0.7157862435025908,0.9751125254993929,0.7158380670994633,8.428993932471565,8.414085769334418,8.427155011665358
19.0,10,abf,0.6961776444712428,0.46314250003024976,0.9551952657736473,0.6911180303121003,0.9539750010182488,0.6925674382257956,8.40097384961912,8.393664515571345,8.409478126692505
19.0,11,abf,0.7135139488132322,0.48981623130275853,0.9634833917867659,0.6982065121720222,0.9562840011446612,0.6933931143340568,8.414898810150877,8.411051330923824,8.426580980250918
19.0,12,abf,0.6876762634615792,0.44230778270693044,0.9289623206129759,0.6582945943105851,0.92614754870655,0.6581381141104882,8.429420803956843,8.412047911223905,8.428806782624944
19.0,13,abf,0.692540741124931,0.45569543858389017,0.9418779952764311,0.6735045047445559,0.9384003626491693,0.6722657307148692,8.42410884383126,8.407778479930778,8.421564769364526
20.0,10,abf,0.6790554476149648,0.4370553429583,0.9159134613993787,0.6440874524649849,0.9136650474114912,0.644056393827411,8.397694216737355,8.387404773957364,8.404378554664392
20.0,11,abf,0.6949310120905619,0.4614933934445291,0.9286995814623495,0.6561047624383557,0.9209792482350525,0.6505824487138656,8.412728565601983,8.409733674983599,8.425387165699464
20.0,12,abf,0.6728316149297121,0.4184910899999435,0.8977699649007881,0.6197672255945268,0.894632870177609,0.6189534170942341,8.42638776911611,8.40693144597794,8.422954804099449
20.0,13,abf,0.6785740738779521,0.4329662920866885,0.9133350932165091,0.6385067437544325,0.9093858795137252,0.6366352446578157,8.42374751017686,8.405971457586276,8.419588586584089
21.0,10,abf,0.665098699459023,0.41485687774508934,0.8854222992317217,0.6071350359152422,0.8826530851635839,0.606045426667334,8.397808090313118,8.385487219410601,8.403673635203887
21.0,11,abf,0.6829194242892663,0.44292432848250285,0.9006731201216042,0.6218825017080857,0.8925105464746532,0.6155669246252118,8.410181298744497,8.404293556716285,8.420087563676525
21.0,12,abf,0.6622430353717921,0.40123340608732977,0.8728700170815216,0.5891226990325467,0.8693014365199718,0.5875411132970767,8.423337008257844,8.402151170100458,8.41923345369972
21.0,13,abf,0.6695148317874846,0.41851367730603906,0.8958505223280786,0.616365266897284,0.8919420464486325,0.6143974773691201,8.420590533690902,8.402212035701577,8.416266412358713
22.0,10,abf,0.6538857501853933,0.39701082511406066,0.8612235706145328,0.5771178595288389,0.8580085204912783,0.5753715001811294,8.395083620371574,8.383053759951185,8.402393522369374
22.0,11,abf,0.6701931313132365,0.42201560508038527,0.8752081470367247,0.5904510189910012,0.8667063243231685,0.5833954542306314,8.409149575435839,8.402530311872924,8.418953095080235
22.0,12,abf,0.6558873763702009,0.39008251463512394,0.8569307672703839,0.5680576876512532,0.8527396249036638,0.5658700032419437,8.421877998438426,8.40044261730834,8.41781505345459
22.0,13,abf,0.6586969213311583,0.3998947393946417,0.8746213600593474,0.5891879094854058,0.8710829052098572,0.5875542609671738,8.418457484502687,8.39662524487396,8.411230268819661
23.0,10,abf,0.6464595339176186,0.3850352712436226,0.8417427521830549,0.5519767320433151,0.8382616865137934,0.5497383652003197,8.39138146167761,8.37869894066988,8.398752469036584
23.0,11,abf,0.6588754696522799,0.4033205957155266,0.8539414103745329,0.5639011966986536,0.8458589185183745,0.5569302358476678,8.407051598851753,8.39823869695919,8.415215501932131
23.0,12,abf,0.6471671743403146,0.37419789098773626,0.8381953841588697,0.5430684265563116,0.8336819231506609,0.5402565697588223,8.419828316778371,8.395094368267936,8.412621269267435
23.0,13,abf,0.6484453196979199,0.3833696374995927,0.8524992029425268,0.561373241633278,0.8487756557614523,0.5591969764386423,8.41653066022544,8.394397884273854,8.408631384578856
24.0,10,abf,0.6398296094314236,0.37351367485125464,0.8278457771458738,0.5333882905900724,0.8243033391523589,0.5310824040332724,8.388005559419925,8.376076184389847,8.397429284722211
24.0,11,abf,0.64871756321148,0.38477288456509934,0.8371832771623693,0.5412750617600596,0.8292207031699194,0.5344972387680359,8.405067524043428,8.396366534575735,8.413419142510392
24.0,12,abf,0.6383469529833041,0.36013989455910506,0.8203877875463053,0.5195414475789127,0.8163968610628585,0.5169570667474312,8.416516011823223,8.391812880673593,8.409262438868664
24.0,13,abf,0.63921351772448,0.36776202637265454,0.8352508571444515,0.5401908465075008,0.8315148294530641,0.5377690523850801,8.413968109324559,8.392016213471514,8.405400895924915
25.0,10,abf,0.6350402788120182,0.36525036865166316,0.8165601897544036,0.5177531825713858,0.8126777790887182,0.5151509987934191,8.386318006077758,8.373884421004686,8.395568116103076
25.0,11,abf,0.640336148614513,0.36996603322307525,0.8239588257179076,0.5238158255143388,0.8160480851113129,0.5170625795223831,8.403196359406529,8.392948718111324,8.409763494016632
25.0,12,abf,0.6332860710853635,0.35078824084825605,0.8086383447040701,0.5036988246344994,0.8043798375959105,0.5007303191271918,8.414909456480693,8.388644936409616,8.406278304954837
25.0,13,abf,0.6312718878168033,0.35341455825198037,0.8201331713423827,0.5206653957101319,0.8165245002509697,0.5183111461945108,8.410489037363142,8.390476585881853,8.403571348532871
26.0,10,abf,0.629211031473809,0.35484132985277367,0.8066247779454927,0.5033558579941105,0.8025065297708769,0.5005002098287157,8.384258977700794,8.374201509437896,8.395208391235723
26.0,11,abf,0.6329676666190922,0.35663094083822433,0.8099438562856708,0.5055109788271448,0.8023598569088642,0.4988908622650454,8.401003801590445,8.389334048082825,8.407159146276515
26.0,12,abf,0.6299038184592649,0.3451195194631744,0.8012301073851578,0.49382723498705805,0.7966182539541156,0.4905152319168535,8.41105630096448,8.385227766327398,8.402902474030201
26.0,13,abf,0.6273774982791139,0.34562667699596966,0.8120420636555962,0.5099496245211371,0.8081797442523814,0.5073668561957321,8.409043310430505,8.387146487754405,8.400438216113196
27.0,10,abf,0.6244544022752333,0.34621921865684047,0.799020523599944,0.49240027517872326,0.7950084994460137,0.4894986289988449,8.382879446734282,8.373630310370915,8.394926202761553
27.0,11,abf,0.6280318190310356,0.347261830790484,0.8004786223219356,0.49247093558439253,0.7928662247869602,0.4858501433020847,8.398620670438925,8.385763184598924,8.403484704277504
27.0,12,abf,0.6264148800520144,0.33790075443360146,0.7934055501435976,0.4825537560280152,0.7886502703685992,0.4792460088918429,8.408312922723418,8.380722666188829,8.39945355515992
27.0,13,abf,0.6229924432010047,0.3376417553185194,0.801992262714848,0.4959700306429772,0.7978643194885898,0.49302741870262734,8.406758061428851,8.3857629219238,8.399012357689271
28.0,10,abf,0.6193158666743598,0.33528762470131696,0.789356046893822,0.47860924350751877,0.7851087768299936,0.4755372172173802,8.381941916063074,8.370916840808482,8.393164181025167
28.0,11,abf,0.6237996352268693,0.33954250441946787,0.7888497571629728,0.47707984203540077,0.7811661512354714,0.47015483616472575,8.395532811994453,8.383504661991902,8.400877166715116
28.0,12,abf,0.6234996846214801,0.33231620026309744,0.7854020702481692,0.4710048761822145,0.780360056584092,0.46718001728520897,8.405455249312347,8.378633529326208,8.397437933979772
28.0,13,abf,0.6187711749888938,0.33025248942749363,0.7916991073532577,0.48201734664989815,0.7876987225478606,0.47908231101081566,8.405201563288978,8.383226292462709,8.396099638985278
29.0,10,abf,0.613191511430493,0.3237971963652797,0.7779364965362527,0.4631728711158546,0.7737195969566968,0.4598926929080075,8.380070944446228,8.37027519600956,8.392221198781764
29.0,11,abf,0.6194012283097422,0.3313148366384445,0.7795763104898149,0.46409308612119327,0.7718600387712364,0.45704828530734953,8.392565509930504,8.380447751284636,8.397905344141266
29.0,12,abf,0.6204380801375253,0.3269736244518268,0.7791647420372264,0.4622292887838243,0.773827639796252,0.45792794872530934,8.402139749075424,8.375763224750338,8.394938145880303
29.0,13,abf,0.6155218698993241,0.3250202370529373,0.7843324487523305,0.47140114570094865,0.7800941254836087,0.4681715105984169,8.403370919555227,8.38214793429722,8.394572239140013
30.0,10,abf,0.6092572469949056,0.3169523633784621,0.7689370881232278,0.45085793238984945,0.7645229647201728,0.44716598531234786,8.378278370391746,8.368343552599095,8.390935821005419
30.0,11,abf,0.6172770413765329,0.3268133026763743,0.7732175649606733,0.45550727479570996,0.7656019547571054,0.448470184110823,8.390503443030633,8.378220200158177,8.395765997637282
