molecule,beta,method,seed,l2_online_F,l2_frozen_recon_F
butane,1.0,abf,1,0.2670947639378598,0.06730786017048104
butane,1.0,abf,2,0.2745960373810736,0.04477177522970673
butane,1.0,abf,3,0.26867840547732447,0.04937333002769174
butane,1.0,abf,4,0.27522260582418134,0.047808870389221936
butane,1.0,abf,5,0.27069564696546516,0.06708959116175667
butane,1.0,abf,6,0.276285548094259,0.04197429579422148
butane,1.0,fr_estimated,1,0.26904281383465073,0.06705556183584646
butane,1.0,fr_estimated,2,0.2748670519707066,0.048284374010097414
butane,1.0,fr_estimated,3,0.2681998186756859,0.05046596760612224
butane,1.0,fr_estimated,4,0.2749207476918183,0.0491177081175965
butane,1.0,fr_estimated,5,0.2722455115503011,0.06619779809330376
butane,1.0,fr_estimated,6,0.2786670634697458,0.04249623781273687
