cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b0.5_s2.3_full_trans,fr_estimated,final_l2_F,12,0.5154077908558946,0.5145639485977085,0.000355863380763044,-0.0004003760256030402,0.0009650401148799702,0.0006815409756281834,-0.0007917213985091216,0.001908106009653416,0.4166666666666667
butane_b0.5_s2.3_full_trans,fr_oracle,final_l2_F,12,0.5154077908558946,0.5155624711142041,0.00024142698831391973,-0.0007144426780550043,0.0013385088578790813,0.0004667913543477016,-0.0013953254544662817,0.002563418754776384,0.5
butane_b0.5_s2.3_full_trans,fr_uniform,final_l2_F,12,0.5154077908558946,0.5143828635614476,0.0001185058897585356,-0.00046897941523681017,0.000911914764907733,0.00022756581627802908,-0.0009082505163801563,0.0017731767072478519,0.5
butane_b0.5_s2.3_full_trans,opes,final_l2_F,12,0.5154077908558946,0.6111300496821357,0.09718594098781158,0.09361218138651897,0.09979035355166725,0.18945405529375298,0.18109144550056408,0.1932464184906472,0.0
butane_b1_s2.3_full_dispersed,fr_estimated,final_l2_F,16,0.2705376026014631,0.2706878383614445,-0.0001626134057670925,-0.000564948775193269,0.0005288391738155014,-0.0006030957636587285,-0.002060093521156698,0.001914407001676111,0.5625
butane_b1_s2.3_full_dispersed,fr_oracle,final_l2_F,16,0.2705376026014631,0.2704767008026574,-0.00045875072987205945,-0.0005415587235946004,6.592828036894845e-05,-0.0017176117070036997,-0.0019800151080310298,0.00022684397580873762,0.6875
butane_b1_s2.3_full_dispersed,fr_uniform,final_l2_F,16,0.2705376026014631,0.27069386111650884,-0.0002591632172276037,-0.0005856327440543231,0.0004909451676968128,-0.0009619286008057316,-0.002107745363458165,0.001800889154585457,0.5625
butane_b1_s2.3_full_dispersed,opes,final_l2_F,16,0.2705376026014631,0.31656537385655314,0.0472097182941664,0.04540949449936779,0.04941136354267901,0.17439250515046065,0.16713217232514888,0.18293669059220946,0.0
butane_b1_s2.3_full_trans,fr_estimated,final_l2_F,16,0.2747849950814891,0.27489389983126244,0.0002845166313078795,0.00019382391368893392,0.0011146499101363791,0.0010405598402867956,0.000740106294057895,0.004155660026024028,0.375
butane_b1_s2.3_full_trans,fr_oracle,final_l2_F,16,0.2747849950814891,0.2744019903859233,-0.00021013754559831566,-0.0003945632710507654,0.00018410258157979537,-0.0007737492400310202,-0.0014278439323964424,0.0007173777744082666,0.6875
butane_b1_s2.3_full_trans,fr_uniform,final_l2_F,16,0.2747849950814891,0.27468440405972017,0.0005210202897812377,0.0002481697969772585,0.0007508242218127536,0.0019164753346806941,0.0008930533750226851,0.002776193266111556,0.0625
butane_b1_s2.3_full_trans,opes,final_l2_F,16,0.2747849950814891,0.3526337740235162,0.080062041154149,0.07669083863725647,0.08174348491678962,0.29230728409242146,0.2800582538633947,0.30028506803508237,0.0
butane_b2_s2.3_full_trans,fr_estimated,final_l2_F,12,0.14239757801524483,0.1424513458813908,0.00026817283520307045,9.091010855886227e-05,0.000679524121161679,0.001899780266146537,0.0006044757587049743,0.004685370471176275,0.3333333333333333
butane_b2_s2.3_full_trans,fr_oracle,final_l2_F,12,0.14239757801524483,0.14225744713603466,-6.014746658097869e-05,-0.00017987339366474085,0.00018899280652044813,-0.000422217217732686,-0.0012631782664314383,0.001342775749668693,0.5833333333333334
butane_b2_s2.3_full_trans,fr_uniform,final_l2_F,12,0.14239757801524483,0.14252180986294538,0.00032474200448738555,0.00015116929223928636,0.000674362575640173,0.0022895446061092437,0.0010894049830821688,0.00466386289282072,0.16666666666666666
butane_b2_s2.3_full_trans,opes,final_l2_F,12,0.14239757801524483,0.25520251825991086,0.10985660034809809,0.10728074587091847,0.1129214510034055,0.7647429633679528,0.7479566065750973,0.7900611786075092,0.0
