cell,method,metric,rel_med,rel_lo,rel_hi,margin,verdict,win_rate
butane_b1_s2.3_dec_trans,fr_estimated,final_l2_F,-1.2628197549793367e-11,-2.7050483827953168e-11,1.7940887283664336e-12,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,fr_oracle,final_l2_F,3.1081434612235157e-11,-3.862379786227873e-12,6.602524901069819e-11,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,fr_uniform,final_l2_F,-1.4988991568944726e-11,-3.481235935631126e-11,4.834376218421809e-12,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,opes,final_l2_F,0.023313140969986948,-0.12987027032682505,0.17649655226679895,0.1,inconclusive,0.5
pentane_b1_s2.3_full_trans,fr_estimated,final_l2_F,-0.009636173257797361,-0.011524728187929744,-0.007747618327664979,0.1,equivalent,1.0
pentane_b1_s2.3_full_trans,fr_oracle,final_l2_F,-0.007901687534413157,-0.016408692805530783,0.0006053177367044708,0.1,equivalent,0.5
pentane_b1_s2.3_full_trans,fr_uniform,final_l2_F,-0.009636173260734307,-0.011524728189265124,-0.007747618332203488,0.1,equivalent,1.0
pentane_b1_s2.3_full_trans,opes,final_l2_F,-0.17905095272973975,-0.23793501482842788,-0.12016689063105165,0.1,improved,1.0
butane_b1_s2.3_dec_trans,fr_estimated,integrated_l2_F,-9.587326767611917e-13,-2.0499612141659952e-12,1.3249586064361195e-13,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,fr_oracle,integrated_l2_F,2.4586139922757443e-12,-2.8166223586361543e-13,5.198890220415104e-12,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,fr_uniform,integrated_l2_F,-1.2331848271061147e-12,-2.8221809497020863e-12,3.55811295489857e-13,0.1,equivalent,0.5
butane_b1_s2.3_dec_trans,opes,integrated_l2_F,0.12966398546530855,0.10140924090880869,0.15791873002180842,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,fr_estimated,integrated_l2_F,-0.0011518072136118488,-0.0014061045407743067,-0.0008975098864493911,0.1,equivalent,1.0
pentane_b1_s2.3_full_trans,fr_oracle,integrated_l2_F,-0.0009134921012703289,-0.0019008375727957052,7.385337025504742e-05,0.1,equivalent,0.5
pentane_b1_s2.3_full_trans,fr_uniform,integrated_l2_F,-0.0011518072140050378,-0.0014061045409940855,-0.0008975098870159901,0.1,equivalent,1.0
pentane_b1_s2.3_full_trans,opes,integrated_l2_F,0.0032122658675468457,-0.14586410544777909,0.15228863718287278,0.1,inconclusive,0.5
