cell,method,metric,rel_med,rel_lo,rel_hi,margin,verdict,win_rate
butane_b1_s2.3_full_trans,fr_r002,final_l2_F,0.0026161160051188103,-0.0009851327856323356,0.004875004108212906,0.1,equivalent,0.3333333333333333
butane_b1_s2.3_full_trans,fr_r005,final_l2_F,0.002018389013055917,0.0016143430134778784,0.004900327926918567,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r010,final_l2_F,0.014820637957023323,0.011205870212688915,0.016363934908245583,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r020,final_l2_F,0.01826091577139434,0.011630273318829746,0.02147603660360184,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r040,final_l2_F,0.028380318819090738,0.021453406600215944,0.02884005594950696,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,opes_b12_s30,final_l2_F,0.6341134178158604,0.6196751692498518,0.6541112658577892,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b4_s15,final_l2_F,0.3216432648258637,0.3082272767233854,0.32610356062894447,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b8_s15,final_l2_F,0.39281916870784356,0.3762265921267882,0.42565078579089755,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b8_s30,final_l2_F,0.6020677342972366,0.5758324878215626,0.6203751307964404,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,fr_r002,final_l2_F,0.0038309288220192716,-0.0008748229712874784,0.01328512751121814,0.1,equivalent,0.3333333333333333
pentane_b1_s2.3_full_trans,fr_r005,final_l2_F,0.012522024459586811,0.011783407996653986,0.016241209423794478,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r010,final_l2_F,0.03375267947498347,0.020066542211500626,0.04340211453476863,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r020,final_l2_F,0.07377937728058288,0.04905409417874365,0.08594344091046961,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r040,final_l2_F,0.08774334823326947,0.06771457524728708,0.09782022068666689,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,opes_b12_s30,final_l2_F,0.7680479547870502,0.7105026017235735,0.8240724760716279,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b4_s15,final_l2_F,0.44450268271238713,0.36924869162312496,0.4663501871670175,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b8_s15,final_l2_F,0.4722296781175848,0.42329062546814167,0.5246838200066861,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b8_s30,final_l2_F,0.6999995603312066,0.6688412670012852,0.7735824748984238,0.1,harmful,0.0
butane_b1_s2.3_full_trans,fr_r002,integrated_l2_F,0.0009030323576094906,0.00027842558045160356,0.0016929277258568845,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r005,integrated_l2_F,0.0015463000090018178,0.0012711204841437983,0.0016217002829218257,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r010,integrated_l2_F,0.005616416332958415,0.005187629208676697,0.006525781478120297,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r020,integrated_l2_F,0.007700341363116661,0.00710324733816629,0.01022747537040242,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,fr_r040,integrated_l2_F,0.013613118963718536,0.013561039306599758,0.014403773841350193,0.1,equivalent,0.0
butane_b1_s2.3_full_trans,opes_b12_s30,integrated_l2_F,0.5296045404718179,0.28211263294721656,0.606619485037888,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b4_s15,integrated_l2_F,0.31852017068182925,0.18715425087369045,0.4043529834894995,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b8_s15,integrated_l2_F,0.37102478408278267,0.30802402008807095,0.3969203412355276,0.1,harmful,0.0
butane_b1_s2.3_full_trans,opes_b8_s30,integrated_l2_F,0.4492897684741948,0.2406729095679373,0.4904629286389936,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,fr_r002,integrated_l2_F,0.0018812976168039934,0.0016431767818728936,0.0020395129514527858,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r005,integrated_l2_F,0.005103792378204841,0.002090357310540364,0.009191645724321799,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r010,integrated_l2_F,0.009252849032516487,0.00532236399589221,0.012171056586622665,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r020,integrated_l2_F,0.025114521214888837,0.022157138006411312,0.027575565773699035,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,fr_r040,integrated_l2_F,0.03296573165970109,0.0329014358789488,0.03430865577083309,0.1,equivalent,0.0
pentane_b1_s2.3_full_trans,opes_b12_s30,integrated_l2_F,0.4009587515593855,0.36064427160827334,0.4579899297298094,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b4_s15,integrated_l2_F,0.2789056147742832,0.2194428074809941,0.30524690962953643,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b8_s15,integrated_l2_F,0.3992008716040125,0.3470683893190491,0.40659213948810285,0.1,harmful,0.0
pentane_b1_s2.3_full_trans,opes_b8_s30,integrated_l2_F,0.3973804420931259,0.3288604419612598,0.43062984072544014,0.1,harmful,0.0
