kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_F_eqw,early_l2_F,mid_l2_F,meanforce_vec_err,basin_occupancy_tv,n_basins_visited,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,gram_lam_min_min,curl_pre_final,cond_tv_weighted,cond_kl_weighted,cond_basin_err_weighted,cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns4__fba81a54bb1e,1027.3986977851018,0,0.5014566336824638,15.393165435516659,0.45086766899017555,0.5676951401831717,0.513664434875794,1.963302249662925,0.24644197635536724,9,4158273,731398,0,,,,1.6088886873700103,1.9938331530985118,0.42607212038261394,0.960483677077988,0.1927059539871282,1.0,screen_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.005815396230080484,0.050151458984201855
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns4__fba81a54bb1e,1027.3986977851018,1,0.5030010843128158,15.519230965452115,0.4518766138030735,0.58259182347287,0.5174584238263014,1.9605162676660643,0.2440211588078684,9,4155617,732913,0,,,,1.5099126756743293,1.845482435395069,0.42604356137752464,0.9635947526467106,0.19065607178052424,1.0,screen_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.006999037279584216,0.05030592189732041
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns4__fba81a54bb1e,1027.3986977851018,2,0.5057771040153102,15.539408435170454,0.45554508803792193,0.5691277904464559,0.521882925549292,1.972238052887923,0.24304680514664603,9,4158842,736182,0,,,,1.6018916497805722,1.9739809837555606,0.4257460968991834,0.9557738368263391,0.19288217892657544,1.0,screen_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.006318058328843869,0.050583555951588685
joint2d,pentane,abf,abf,dispersed,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns4__fba81a54bb1e,1027.3986977851018,3,0.5042381377756386,15.51895669948018,0.4533625861934095,0.5751672261582819,0.5183879014957777,1.9606295149107875,0.24549248956859432,9,4170572,735134,0,,,,1.575661510310527,1.884899477564297,0.42711735530733985,0.9654776669483167,0.19452775846206866,1.0,screen_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.0074398574246040804,0.05042964154092435
joint2d,pentane,abf,abf,dispersed,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b2__N2048__T50000__ns4__d7536a936d0e,1219.0680979033932,0,0.720947263935726,21.118461212683897,0.3912620283948522,0.9462077936140433,0.7384244166897287,3.206055673376783,0.31884963942331085,9,1055648,249326,0,,,,1.9585546768654098,11.283636888410904,0.3465621251108296,0.870178067610724,0.2164893856027703,1.0,screen_joint2d_pentane_b2_dispersed_g48,9.996953987102186,0.0065203765006154385,0.07211669323134563
joint2d,pentane,abf,abf,dispersed,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b2__N2048__T50000__ns4__d7536a936d0e,1219.0680979033932,1,0.7242507932632201,21.244692961085555,0.389943429878673,0.9524899978994755,0.7448242229235948,3.219888227639879,0.31646067565607916,9,1055388,249350,0,,,,1.971427872866543,11.095804017840072,0.3540421541900516,0.8733713850945102,0.22773332856535208,1.0,screen_joint2d_pentane_b2_dispersed_g48,9.996953987102186,0.0061588644566487934,0.07244714682068457
joint2d,pentane,abf,abf,dispersed,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b2__N2048__T50000__ns4__d7536a936d0e,1219.0680979033932,2,0.7284450836031368,21.368318043908054,0.39758806142948033,0.9555949532431658,0.7489821587035521,3.223612329890936,0.30774550462592504,9,1050723,254713,0,,,,1.9456839919069806,10.733293175484594,0.3489788149370596,0.8634923449883216,0.22210582965678405,1.0,screen_joint2d_pentane_b2_dispersed_g48,9.996953987102186,0.008897039557414228,0.07286670365222826
joint2d,pentane,abf,abf,dispersed,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__dispersed__b2__N2048__T50000__ns4__d7536a936d0e,1219.0680979033932,3,0.7237878248479143,21.216993913166952,0.39846842525089504,0.9529298030715204,0.7412207347623052,3.202267533363056,0.3177531137267501,9,1063168,251845,0,,,,1.9512944375805532,11.573666515971489,0.3488990800529614,0.8822768630989528,0.21839388499291826,1.0,screen_joint2d_pentane_b2_dispersed_g48,9.996953987102186,0.0054327257903361344,0.07240083587277953
joint2d,pentane,abf,abf,trans,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b1__N2048__T50000__ns4__3ec4070df0b7,1196.9210563395172,0,0.4943212428822277,14.892059275900941,0.4835079422175533,0.5126521120315846,0.5038884023596275,1.9028683710468075,0.2523586649089136,9,4144885,712026,0,,,,1.6274151151547467,1.7390822089666693,0.42662470344836323,0.9969852535711013,0.19030414535485474,1.0,screen_joint2d_pentane_b1_trans_g48,9.998844377397416,0.006607045121038507,0.04943783743645921
joint2d,pentane,abf,abf,trans,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b1__N2048__T50000__ns4__3ec4070df0b7,1196.9210563395172,1,0.4987727185214172,15.037975146794096,0.48723120532034075,0.5232078050892736,0.5075677685329901,1.9084432189160632,0.24801533221668606,9,4139185,718596,0,,,,1.662366275722132,1.705091903845465,0.4252066406223266,0.9931989265789453,0.18787100195173131,1.0,screen_joint2d_pentane_b1_trans_g48,9.998844377397416,0.002592172809786151,0.04988303644858227
