kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,0,0.5100900213285898,20.71762316963113,7.810865770625309,256.48663996336484,1.045102452332295,0.5631678912034748,0.0,2353180.2028141404,2072326,36678,142,8,0,0,,,,0.3528645932674408,0.3294270932674408,screen_dist_butane_b1_trans_g256,9.917708335605308,0.015642925524224898,0.051432246650905115
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,1,0.49215276076764936,21.026728956129503,7.788700298429332,257.13059749862316,1.0867173751053234,0.5572065525749162,0.0,2345630.2639265456,2065815,35990,203,10,0,0,,,,0.3658854365348816,0.3098958432674408,screen_dist_butane_b1_trans_g256,9.917708335605308,0.02528617272023716,0.04962363724700236
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,2,0.5078130383755184,21.627244535787646,7.809214196284704,257.74980002790494,1.0803324995546122,0.5825628928326432,0.0,2352516.568262608,2069627,36437,161,10,0,0,,,,0.3567708432674408,0.3424479365348816,screen_dist_butane_b1_trans_g256,9.917708335605308,0.030348537254137352,0.05120265904094315
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,3,0.4964705858406123,21.345073245180007,7.788595976034452,257.6490258684346,1.0565948373632705,0.5678062844904775,0.0,2349363.195517515,2064465,36297,160,4,0,0,,,,0.3671875,0.3059895932674408,screen_dist_butane_b1_trans_g256,9.917708335605308,0.03768836860857485,0.05005900244699132
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,4,0.5240536868422755,21.436110371369114,7.8185886460583305,257.39834598917105,1.0414284168034915,0.5844799659398656,0.0,2357460.8812795086,2079351,36646,95,7,0,0,,,,0.3684895932674408,0.3177083432674408,screen_dist_butane_b1_trans_g256,9.917708335605308,0.03047033649027512,0.0528401994804469
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,5,0.5020629781756144,21.259591910963206,7.7972009137284175,257.4086776230268,1.1037770552870088,0.5621186909427798,0.0,2358666.313430992,2069420,36451,135,7,0,0,,,,0.32421875,0.3502604365348816,screen_dist_butane_b1_trans_g256,9.917708335605308,0.03884898857267484,0.05062288193868044
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,6,0.49158979041570317,20.462059454808607,7.790949375358585,255.8287819825853,1.0147854108283045,0.5585953820483731,0.0,2343049.371761759,2070787,36416,196,9,0,0,,,,0.3815104365348816,0.3359375,screen_dist_butane_b1_trans_g256,9.917708335605308,0.04888799980376236,0.0495668730901129
dist,butane,abf,abf,trans,1.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b1__N768__T60000__ns8__22090f539a74,535.4292690800503,7,0.5111160611954398,20.947847602174864,7.813733381959264,256.50008750877845,0.9903351076002913,0.5624123910603669,0.0,2352079.885118111,2076846,36535,109,3,0,0,,,,0.3203125,0.34375,screen_dist_butane_b1_trans_g256,9.917708335605308,0.03108575176516353,0.05153570198878458
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,0,0.865727934944398,33.06064830741078,10.358064442663737,343.16012366295615,2.6725339297761828,0.7940142928249989,0.03167420814479638,2667280.6927200016,1351147,16824,1066,133,0,0,,,,0.3151041865348816,0.3684895932674408,screen_dist_butane_b2_trans_g256,9.639211442945937,0.09221277541299104,0.08981314914281142
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,1,0.9108905088806586,33.34217683494889,10.467242131086024,343.83028388218145,2.56744287315133,0.8453808753474626,0.03167420814479638,2693506.9502239623,1366894,16965,367,57,0,0,,,,0.3190104365348816,0.3815104365348816,screen_dist_butane_b2_trans_g256,9.639211442945937,0.09449599046021882,0.09449844671134967
