x,F_ref,Fprime_ref,p_ref
-3.0,14.586946438418035,-21.76094701103388,2.064983438553011e-34
-2.985,14.26284500160631,-21.45323039325627,7.54985194818352e-34
-2.97,13.943329928792872,-21.149433358547938,2.710147744893048e-33
-2.955,13.62834235530408,-20.849565449725752,9.553938193498038e-33
-2.94,13.317823269530221,-20.553636710779543,3.3083338559431256e-32
-2.925,13.011713505632159,-20.26165765601343,1.1255802252423017e-31
-2.91,12.709953736755464,-19.97363923314089,3.763456187414672e-31
-2.895,12.412484468847568,-19.689592779665855,1.2369265481374007e-30
-2.88,12.119246035183979,-19.40952997184621,3.9971573551567174e-30
-2.865,11.830178591720232,-19.133462765504092,1.2703190992099816e-29
-2.85,11.545222113397536,-18.86140332792433,3.9713021619958406e-29
-2.835,11.264316391541675,-18.59336396006807,1.221563793446877e-28
-2.82,10.987401032506147,-18.329357008326074,3.69800421212794e-28
-2.805,10.714415457722247,-18.0693947650487,1.1020261919902076e-27
-2.79,10.44529890532996,-17.813489357118858,3.2336666776372055e-27
-2.775,10.179990433574332,-17.561652621884033,9.345085355924828e-27
-2.76,9.918428926161463,-17.313895969835354,2.660493179362826e-26
-2.745,9.66055309977703,-17.070230233520434,7.463427931524314e-26
-2.73,9.406301513976853,-16.830665502302345,2.0635670584787958e-25
-2.715,9.155612583663844,-16.595210942733967,5.62483597901999e-25
-2.7,8.908424594367554,-16.36387460450502,1.511887170928433e-24
-2.685,8.664675720541757,-16.136663212140057,4.0082476382897e-24
-2.67,8.424304047090985,-15.913581942878814,1.0483900991838569e-23
-2.6550000000000002,8.187247594328127,-15.694634191454089,2.7060271412787365e-23
-2.64,7.953444346552418,-15.4798213227944,6.894297018828026e-23
-2.625,7.722832284419232,-15.26914241401347,1.734219933729746e-22
-2.61,7.4953494212498,-15.062593987400653,4.308066342676494e-22
-2.595,7.27093384340089,-14.86016973648704,1.0571391849529713e-21
-2.58,7.049523754780374,-14.661860247621046,2.5630724943416737e-21
-2.565,6.831057525555759,-14.46765271983317,6.141516194168985e-21
-2.55,6.61547374505832,-14.277530686088646,1.454731980526654e-20
-2.535,6.402711278837115,-14.091473739304584,3.4071342522020306e-20
-2.52,6.192709329764625,-13.909457266730119,7.892234797171583e-20
-2.505,5.985407503040611,-13.731452196438543,1.808506837044725e-19
-2.49,5.780745874883906,-13.55742475974625,4.100660529684968e-19
-2.475,5.578665064644731,-13.38733627334175,9.202464296404356e-19
-2.46,5.379106310014405,-13.221142944770772,2.0444345181606852e-18
-2.4450000000000003,5.182011544956117,-13.0587957046737,4.497403778860993e-18
-2.43,4.987323479932261,-12.900240068810248,9.798727715974868e-18
-2.415,4.794985683961688,-12.74541603243585,2.1149235033943475e-17
-2.4,4.604942668005742,-12.594257999026288,4.523068825044192e-17
-2.385,4.417139969157009,-12.446694744696117,9.586937573111737e-17
-2.37,4.231524235089656,-12.302649418944293,2.0143153192692418e-16
-2.355,4.048043308226355,-12.162039581611687,4.1962994483619085e-16
-2.34,3.8666463090842838,-12.02477727518012,8.66932601137649e-16
-2.325,3.6872837182811065,-11.890769130810241,1.7765198675838456e-15
-2.31,3.5099074567111925,-11.759916505839307,3.611637845428636e-15
-2.295,3.334470963441099,-11.632115649867224,7.285654948632702e-15
-2.2800000000000002,3.1609292709199925,-11.507257896076935,1.4586174228665147e-14
-2.265,2.9892390771540187,-11.385229874084096,2.898663566063171e-14
-2.25,2.819358814550875,-11.265913740404851,5.718867760887167e-14
-2.235,2.651248715199986,-11.14918742257554,1.1203332058752945e-13
-2.2199999999999998,2.4848708724128405,-11.034924873053955,2.1795915948872108e-13
-2.205,2.3201892984043413,-10.922996329268008,4.211689246809077e-13
-2.19,2.157169978048045,-10.813268576538613,8.084438935713624e-13
-2.175,1.9957809186839144,-10.705605211066931,1.541740910620654e-12
-2.16,1.8359921959953012,-10.599866900714465,2.9214122018281372e-12
-2.145,1.6777759960016942,-10.495911641890222,5.501011201217431e-12
-2.13,1.5211066532345454,-10.393595011460281,1.0294495152732334e-11
-2.115,1.3659606851751993,-10.292770413184781,1.91479023814802e-11
-2.1,1.2123168230372803,-10.193289318738538,3.540201084167666e-11
-2.085,1.060156038971291,-10.095001503863086,6.506662586446222e-11
-2.0700000000000003,0.9094615697576116,-9.997755280612457,1.1888892276778222e-10
-2.055,0.7602189370372208,-9.90139772698191,2.1597446129832454e-10
-2.04,0.6124159641082498,-9.805774915441818,3.900878841374707e-10
-2.025,0.4660427892923633,-9.710732142037774,7.005493107474775e-10
-2.01,0.32109187584971965,-9.616114157766662,1.2509623457756956e-09
-1.995,0.17755801839569996,-9.521765403905382,2.2212021571472822e-09
-1.98,0.035438345748118216,-9.427530252863995,3.921707917432363e-09
-1.965,-0.10526767988867647,-9.333253255972243,6.885042842078436e-09
-1.95,-0.2445582675161968,-9.238779399399458,1.2019300168955987e-08
