config_id,method,target_type,gamma,eta,burnin_fraction,stop_fraction,fr_every,n_seeds,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_integrated_l2_F,iqr_integrated_l2_F,median_integrated_l2_Fprime,iqr_integrated_l2_Fprime,median_final_marginal_l2_uniform,iqr_final_marginal_l2_uniform,median_final_marginal_l2_target,iqr_final_marginal_l2_target,median_final_marginal_l2_physical_ref,iqr_final_marginal_l2_physical_ref,median_integrated_marginal_l2_physical_ref,iqr_integrated_marginal_l2_physical_ref,median_final_deltaF_error,iqr_final_deltaF_error,median_integrated_deltaF_error,iqr_integrated_deltaF_error,median_final_barrier_height_error,iqr_final_barrier_height_error,median_integrated_barrier_height_error,iqr_integrated_barrier_height_error,median_mean_fr_event_fraction,iqr_mean_fr_event_fraction,median_max_fr_event_fraction,iqr_max_fr_event_fraction,median_barrier_crossings,iqr_barrier_crossings,median_frac_left,iqr_frac_left,median_frac_barrier,iqr_frac_barrier,median_frac_right,iqr_frac_right,median_final_ancestor_ess,iqr_final_ancestor_ess,median_final_max_clone_multiplicity,iqr_final_max_clone_multiplicity,median_final_max_clone_weight,iqr_final_max_clone_weight,median_cumulative_fr_events,iqr_cumulative_fr_events,median_cumulative_replacements,iqr_cumulative_replacements,frac_nan
abf_fr_physical|tt=physical|g=0.002|eta=0.1|bi=0.2|sf=0.8|fe=100,abf_fr_physical,physical,0.002,0.1,0.2,0.8,100,8,0.0364979306869609,0.022615770653928273,0.10454812938942584,0.04187751888569785,12.262793461880987,1.343485542491269,28.711534673910556,5.714239055252143,0.05153791904564195,0.009283389966417796,0.428307635727344,0.011605181810629361,0.39862286731490376,0.01614435471343295,38.75799472876699,0.1677086351905075,0.04486106778387005,0.014647109900644648,9.08504200461219,12.368617986823129,0.10720363803362065,0.06235732071856709,25.820656414467564,6.458794760714813,0.0065173539959015505,0.00029136782786880113,0.025390625,0.00390625,36022.0,11797.25,0.35546875,0.0419921875,0.138671875,0.025390625,0.34375,0.0703125,45.86278630169655,7.287294870057103,15.0,4.5,0.05859375,0.017578125,300.0,0.0,500.0,17.75,0.0
abf_fr_physical|tt=physical|g=0.002|eta=0.1|bi=0.2|sf=0.8|fe=1000,abf_fr_physical,physical,0.002,0.1,0.2,0.8,1000,8,0.0477391727955412,0.02506892969819765,0.12456631706241955,0.027865441256358814,12.64989755046158,1.796837742545451,29.730412676468585,6.003428508463795,0.05829710973061135,0.007953209367147378,0.43353812328466623,0.01818139196829177,0.39894480371712815,0.014672638016058559,38.62704173524486,0.42476528407431147,0.0445552812634559,0.041113142012655576,9.305078688070736,12.42432588174815,0.1258345629481087,0.05628229867279813,26.6736755302007,7.352843974962109,0.06308593749999995,0.0035807291666666227,0.09375,0.0048828125,34577.0,14059.75,0.369140625,0.03125,0.1484375,0.0341796875,0.3125,0.078125,51.60634920634921,10.249845959418586,14.0,4.25,0.0546875,0.0166015625,30.0,0.0,484.5,27.5,0.0
abf_fr_physical|tt=physical|g=0.002|eta=0.1|bi=0.2|sf=0.8|fe=500,abf_fr_physical,physical,0.002,0.1,0.2,0.8,500,8,0.04595268713982665,0.026622473175261126,0.1081449686228802,0.06601015533193168,11.851949285296744,2.616791632637387,28.737731407067685,5.710419710615895,0.05471608497110825,0.009210607471847404,0.4162307784543279,0.025913407821868684,0.39701298497698184,0.015268085525561914,38.75932079737644,0.4598916493975622,0.0480943092276202,0.03663239272577947,9.93637905050863,12.422737244164791,0.10976153738398,0.07321454716818791,27.050364875471164,5.735988453695235,0.03144531249999995,0.0017740885416666283,0.05859375,0.0087890625,38688.5,7621.75,0.384765625,0.046875,0.162109375,0.0390625,0.2890625,0.072265625,52.39442322735012,5.267563058020997,12.0,5.75,0.046875,0.0224609375,60.0,0.0,483.0,27.25,0.0
abf_fr_physical|tt=physical|g=0.01|eta=0.1|bi=0.2|sf=0.8|fe=100,abf_fr_physical,physical,0.01,0.1,0.2,0.8,100,8,0.08539969034087144,0.02373952908947359,0.2388162192379947,0.05905582894270306,12.292243519677772,2.337334928893542,31.157341528351076,7.294319091463414,0.0575315875658598,0.01677139299224903,0.43206961658157783,0.019765347692112967,0.40781860053476804,0.005132706876042559,38.711992579016496,0.4604772663789092,0.05239530623136085,0.0491671780946219,8.191292333284705,9.752067625286,0.23253194227591362,0.056173911216797434,29.621483831600578,7.289107337468394,0.021409131659836,0.0007604380122950699,0.0546875,0.0078125,70155.0,11997.25,0.376953125,0.0283203125,0.1875,0.0283203125,0.279296875,0.05859375,14.50319351448002,1.1947033328641652,42.0,6.0,0.1640625,0.0234375,300.0,0.0,1636.0,57.0,0.0
abf_fr_physical|tt=physical|g=0.01|eta=0.1|bi=0.2|sf=0.8|fe=1000,abf_fr_physical,physical,0.01,0.1,0.2,0.8,1000,8,0.0997571540558522,0.01716525730702413,0.28883214369510046,0.05413468228534135,14.165738590741402,2.3178448285089512,33.71732185675984,8.272880528582775,0.05369811522835005,0.01898580523355417,0.4368145120397303,0.0367461713207341,0.3998838365263421,0.014909627588258978,38.58095309772682,0.7526298735889156,0.03557138725906035,0.05627563622414882,9.421884954862644,8.481762900778957,0.2724701260623153,0.04750751161072128,32.62962927311213,7.212638454496698,0.18828124999999996,0.012402343749999933,0.2421875,0.025390625,70470.0,10444.25,0.357421875,0.0673828125,0.154296875,0.041015625,0.310546875,0.0302734375,16.449268983022677,3.804772713903862,30.0,10.75,0.1171875,0.0419921875,30.0,0.0,1446.0,95.25,0.0
abf_fr_physical|tt=physical|g=0.01|eta=0.1|bi=0.2|sf=0.8|fe=500,abf_fr_physical,physical,0.01,0.1,0.2,0.8,500,8,0.079507934443459,0.04438781175158277,0.23029140892716377,0.1259346928144499,13.598550796005807,3.1157010714405544,31.69528862509495,10.384063721855917,0.0528004667090783,0.007254089388660817,0.4333547396412478,0.04927346528469051,0.4005635837147894,0.01184145780603657,38.36250656505978,0.40812270498410186,0.056824979907981146,0.03987694564118317,10.350571842238297,8.355799241170166,0.2232006235587064,0.11315106570011987,30.166077507416595,8.973962469310102,0.10045572916666665,0.005598958333333348,0.1484375,0.015625,67202.0,8634.0,0.34765625,0.0693359375,0.173828125,0.0322265625,0.298828125,0.048828125,14.634091681599724,3.4124258812987396,33.5,7.25,0.130859375,0.0283203125,60.0,0.0,1543.0,86.0,0.0
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.8|fe=100,abf_fr_physical,physical,0.05,0.1,0.2,0.8,100,8,0.04316740857500725,0.019338599039618022,0.12978752522755793,0.037481790926801026,13.016441311933285,3.159825863393383,29.490531404873323,3.393019167954499,0.05777505014268465,0.022395822282306202,0.4489749396862217,0.030042283943050307,0.4052480880233012,0.009249753807372307,36.40185198758056,0.4579771581923424,0.06260553435925681,0.0732920400052724,14.041186088675644,10.529195943248293,0.05455399163949305,0.04551472605600136,23.58346876704703,3.7878510161251953,0.0529216828893442,0.003237064549180324,0.1328125,0.0185546875,52108.0,12061.25,0.361328125,0.0869140625,0.1796875,0.05078125,0.3359375,0.0703125,6.385076045320592,1.4638250501940062,72.0,17.75,0.28125,0.0693359375,300.0,0.0,4003.0,226.0,0.0
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.8|fe=1000,abf_fr_physical,physical,0.05,0.1,0.2,0.8,1000,8,0.11840550336145644,0.03948256421737639,0.35066050326088516,0.10200368859097897,14.708548917928775,3.7110273942594816,38.78625203422628,6.42085620757824,0.057111753096628554,0.020605473165076868,0.41882829549773753,0.014331225986462526,0.39407065170746547,0.010052613418980061,38.19851689973305,0.808818097087574,0.0500643042973223,0.06251176830563404,10.617982723166252,10.8691212323399,0.3320525232916748,0.09286653760230285,36.46262600468296,4.546965257572708,0.3520833333333333,0.012076822916666674,0.4296875,0.0361328125,84208.0,10742.75,0.380859375,0.0888671875,0.1640625,0.0244140625,0.314453125,0.0869140625,6.254564736971682,1.5798256645432343,74.0,7.25,0.2890625,0.0283203125,30.0,0.0,2704.0,92.75,0.0
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.8|fe=500,abf_fr_physical,physical,0.05,0.1,0.2,0.8,500,8,0.0651948933472022,0.06859781454132848,0.14847751438563614,0.20405744422445715,13.397568358238065,2.7577119533697196,29.11548042341971,14.595219366465901,0.0649968937809382,0.025360507413763875,0.4399461574282234,0.03646255378127944,0.4005758819592266,0.014531417475813324,36.84440802551893,0.4588934149924242,0.0906567246842495,0.04275619534706411,11.131835126177837,11.011369147593019,0.1469513413122199,0.21040211086479627,27.2134197564069,16.07945625759181,0.22151692708333331,0.00813802083333326,0.36328125,0.0283203125,66543.5,11984.25,0.3359375,0.1279296875,0.171875,0.02734375,0.341796875,0.0947265625,8.110132968930856,3.687230027322401,56.5,23.75,0.220703125,0.0927734375,60.0,0.0,3402.5,125.0,0.0
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0.0,0.1,0.0,1.0,1,8,0.0280628589169996,0.017611047775076175,0.08756983687110226,0.022273575056455358,11.676952172259194,1.7031870493980765,29.427824794768505,4.957498128021829,0.055585128170892895,0.007481253784963178,0.41861789878866845,0.024487168062611253,0.4000429802395073,0.018447535376419855,39.14237764001187,0.3236007066706321,0.03503554063286705,0.046317645170243574,9.530487152852334,13.885642131637644,0.04014088769993435,0.020776807696344803,25.245893923278146,5.894396203574022,0.0,0.0,0.0,0.0,28228.5,6859.0,0.36328125,0.0458984375,0.140625,0.0419921875,0.33984375,0.0927734375,256.0,0.0,1.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0
