phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.75,15.0,abf,0,0.023552802289104963,0.07525682535708145,2.436897740872814,512.0,0.0,0.0
0.75,15.0,abf,1,0.02198466903267153,0.06925539410514911,2.8430670503564497,512.0,0.0,0.0
0.75,15.0,abf,10,0.028128814544599038,0.07401596680254292,2.7200615839557036,512.0,0.0,0.0
0.75,15.0,abf,11,0.024257032517242493,0.07266264476399066,2.508148107364594,512.0,0.0,0.0
0.75,15.0,abf,12,0.02826405164335514,0.07480103531308355,2.5839676968590455,512.0,0.0,0.0
0.75,15.0,abf,13,0.022971008123938732,0.06914630520197887,2.5741077225572893,512.0,0.0,0.0
0.75,15.0,abf,14,0.02280041301916024,0.06694402684021387,2.820097836627548,512.0,0.0,0.0
0.75,15.0,abf,15,0.01856977317169752,0.07181219817432406,2.5067321074897655,512.0,0.0,0.0
0.75,15.0,abf,16,0.020073935840993838,0.07254966280730646,2.6558535808115336,512.0,0.0,0.0
0.75,15.0,abf,17,0.028936743313344344,0.07455314188671171,2.811427204010822,512.0,0.0,0.0
0.75,15.0,abf,18,0.02638144471639211,0.07774763228508909,2.4547422658787625,512.0,0.0,0.0
0.75,15.0,abf,19,0.025475907719820612,0.07678452069859894,2.7237586158897926,512.0,0.0,0.0
0.75,15.0,abf,2,0.02098500040593829,0.06318487406172785,2.4392026991035562,512.0,0.0,0.0
0.75,15.0,abf,3,0.021122337037331428,0.06956709840511037,2.5848175340370707,512.0,0.0,0.0
0.75,15.0,abf,4,0.023802089196329288,0.07215514368480798,2.681018052625074,512.0,0.0,0.0
0.75,15.0,abf,5,0.022128457174878456,0.0723100737581169,2.7257934948413727,512.0,0.0,0.0
0.75,15.0,abf,6,0.02493311460407262,0.07046575244176416,2.662356599842494,512.0,0.0,0.0
0.75,15.0,abf,7,0.021748070943592778,0.06986599145840076,2.343512319845701,512.0,0.0,0.0
0.75,15.0,abf,8,0.022608287590087196,0.07268056459011508,2.4330414008866823,512.0,0.0,0.0
0.75,15.0,abf,9,0.02125275332709391,0.06930402615492512,2.5210739541235028,512.0,0.0,0.0
0.75,1.0,abf,0,0.019517595750407474,0.07148620190540013,2.407608716835842,512.0,0.0,0.0
0.75,1.0,abf,1,0.02166345919045574,0.07145062249222119,2.1378119217791323,512.0,0.0,0.0
0.75,1.0,abf,10,0.025144795632852632,0.07096226604090115,2.519274403974516,512.0,0.0,0.0
0.75,1.0,abf,11,0.026626593933148084,0.07182676092809116,2.7629074770000006,512.0,0.0,0.0
0.75,1.0,abf,12,0.026996529698604225,0.07500395590161145,2.7209236836580843,512.0,0.0,0.0
0.75,1.0,abf,13,0.020396377686564597,0.07102878071788954,2.554883987502471,512.0,0.0,0.0
0.75,1.0,abf,14,0.022434285899744496,0.06978399112170756,2.4652336014989573,512.0,0.0,0.0
0.75,1.0,abf,15,0.021875685175729777,0.06723626375446026,2.535197932769545,512.0,0.0,0.0
0.75,1.0,abf,16,0.02436508865777858,0.07078377661576671,2.637884940128516,512.0,0.0,0.0
0.75,1.0,abf,17,0.025433675906851503,0.0747504166707305,2.8606964833806163,512.0,0.0,0.0
