phi,H,omega_in,df_energetic,df_entropic,entropic_share,method,n_seeds,med_final_l2_f,iqr_final_l2_f,se_final_l2_f,med_int_l2_f,med_final_l2_fp,med_final_ess,med_final_cross,med_final_occ,med_repl_fraction,med_score_std,winrate_vs_abf,med_gain_pct_vs_abf
0.0,2.0,1.0,2.0,0.0,0.0,abf,20,0.046417196279799844,0.0015020365685922965,0.0002893326272076715,2.229145587055843,0.12193214599827273,512.0,124742.5,0.0966796875,0.0,0.0,nan,0.0
0.0,2.0,1.0,2.0,0.0,0.0,fr_estimated,20,0.03991905099224263,0.0007248105144505163,0.00011695394300088981,1.9721250665719565,0.11096763521887479,97.0,129666.0,0.099609375,0.007290771484375,0.1468359945251378,1.0,13.038441929238118
0.0,2.0,1.0,2.0,0.0,0.0,fr_oracle,20,0.04896465250813694,0.004360475167720958,0.0006667826227566764,2.1167561149076155,0.14826201596500088,115.5,124151.0,0.08984375,0.0055733642578125,0.11398259176164287,0.05,-6.480622658103598
0.0,2.0,1.0,2.0,0.0,0.0,fr_uniform,20,0.04014772279987904,0.0005604618308451617,0.00010445520324121936,1.9513484019100127,0.1128679756848889,97.5,129601.0,0.1005859375,0.007243041992187499,0.1426035603794178,1.0,13.047004311408692
0.25,1.5,2.718281828459045,1.5,0.5,0.25,abf,20,0.036022293198299596,0.0018881843709074794,0.0003199810312468607,2.068003181857658,0.09332547344953632,512.0,111614.5,0.0791015625,0.0,0.0,nan,0.0
0.25,1.5,2.718281828459045,1.5,0.5,0.25,fr_estimated,20,0.03507894872427809,0.0012486553942039555,0.00024621749855393546,1.8116448026697949,0.08805043259308667,108.5,126666.0,0.1005859375,0.0061292724609375,0.11688611534257823,0.75,4.735062140731072
0.25,1.5,2.718281828459045,1.5,0.5,0.25,fr_oracle,20,0.03796935000066253,0.0018155587950505064,0.00032734625043686196,1.741526648809323,0.10175886827401927,118.5,112162.0,0.0810546875,0.005714111328125,0.11410022037832421,0.3,-5.69675690536458
0.25,1.5,2.718281828459045,1.5,0.5,0.25,fr_uniform,20,0.033865199397837,0.0012870842851923775,0.00023581776573250107,1.7387879024481774,0.08531585669188636,114.0,126616.0,0.099609375,0.0059832763671875,0.11028787622284689,0.8,6.02612765540605
0.5,1.0,7.38905609893065,1.0,1.0,0.5,abf,20,0.028570888543766354,0.0037907093051884506,0.0006280054430666092,2.4306996467989626,0.07084209504420878,512.0,110166.5,0.0810546875,0.0,0.0,nan,0.0
0.5,1.0,7.38905609893065,1.0,1.0,0.5,fr_estimated,20,0.03171000613971109,0.0022602244175085953,0.0005225566907699643,1.9318527181241711,0.0833150675419618,117.5,126292.5,0.1005859375,0.0057390136718749995,0.10810984447703248,0.2,-9.712357604611935
0.5,1.0,7.38905609893065,1.0,1.0,0.5,fr_oracle,20,0.02514368103219131,0.0016799498572021045,0.00037629300381914166,1.5002586259340815,0.07343304629875815,119.5,106910.5,0.0771484375,0.0058267822265625,0.10956487003247843,0.95,9.168710373325771
0.5,1.0,7.38905609893065,1.0,1.0,0.5,fr_uniform,20,0.03316144969937794,0.0029361341664529902,0.0005367694743116262,2.051524040480384,0.08630942020491823,116.5,126797.5,0.0966796875,0.0056678466796875,0.10316246491875825,0.15,-14.333611485873291
0.75,0.5,20.085536923187668,0.5,1.5,0.75,abf,20,0.024799842954854368,0.00423073698018224,0.000611002760234066,2.6759678416738497,0.07399552231364565,512.0,113939.5,0.0888671875,0.0,0.0,nan,0.0
0.75,0.5,20.085536923187668,0.5,1.5,0.75,fr_estimated,20,0.026314923984968194,0.005947255486804748,0.0008827863690146509,2.026776405221275,0.08644714768400982,117.5,126468.0,0.0966796875,0.0056180419921874995,0.10387610471330212,0.35,-8.116205798322692
0.75,0.5,20.085536923187668,0.5,1.5,0.75,fr_oracle,20,0.013898066296377392,0.0012159647936227317,0.0002962025180178901,1.222920461747984,0.06900603414780718,121.0,118542.5,0.087890625,0.0056921386718749994,0.10609422209383226,1.0,43.66451345257467
0.75,0.5,20.085536923187668,0.5,1.5,0.75,fr_uniform,20,0.025085928414173852,0.005239821851401694,0.0010117340758704605,1.920101243647609,0.08643522224578497,120.5,126285.0,0.1025390625,0.00556640625,0.10139671690559408,0.45,-0.5327542233491698
0.9,0.19999999999999996,36.59823444367799,0.19999999999999996,1.8,0.9,abf,20,0.03121695819974564,0.003873493471318726,0.0008150987799414832,2.9120156981316647,0.1373704929581805,512.0,115669.5,0.0927734375,0.0,0.0,nan,0.0
0.9,0.19999999999999996,36.59823444367799,0.19999999999999996,1.8,0.9,fr_estimated,20,0.026356283273208908,0.00453087602968744,0.0009392326918642226,2.1080129920709894,0.1432970480715342,116.5,125050.0,0.09765625,0.005574462890625,0.10237069493766565,0.75,12.664181646567002
0.9,0.19999999999999996,36.59823444367799,0.19999999999999996,1.8,0.9,fr_oracle,20,0.017781190298774653,0.0008254414484118247,0.00020224496027639532,1.430299249213458,0.12510257559910523,113.0,143265.5,0.10546875,0.0059283447265625,0.11032046931764007,1.0,42.36477586861122
0.9,0.19999999999999996,36.59823444367799,0.19999999999999996,1.8,0.9,fr_uniform,20,0.028414496131310297,0.007087831933176136,0.0009884882411841825,2.1708132236641333,0.14395138888306658,115.0,125454.5,0.0986328125,0.0055731201171875,0.1013157331716147,0.7,12.892092082904583
