cell,seed,arm,R_s,tv_future,n_future_total,empty_live_cells,ess_anc_final,p90,s90,dtau,n_events,n_replacements,kl_pre,kl_post,tv_pre,tv_post,ess_anc,wmax_family,local_ess_min,local_ess_median,n_gaining_occupied
K3,8000,abf,0.011543295158873606,0.8208726555241076,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8000,p0.02,0.01159345442604634,0.8156576017606667,595200.0,0,0.9552238805970149,0.02,0.7685997155476354,0.026285083000746133,6.0,6.0,1.94427510825372,1.8957021515572974,0.8102728631866589,0.7988955400658265,0.9552238805970149,0.0078125,0.6666666666666666,0.7777777777777778,5.0
K3,8000,p0.05,0.011824949704011942,0.8131021582122797,595200.0,0,0.9142857142857143,0.05,0.7685997155476354,0.06673603092736453,12.0,12.0,1.94427510825372,1.8842302471777033,0.810272863186659,0.7980166331250426,0.9142857142857143,0.0078125,0.5555555555555555,0.7777777777777778,5.0
K3,8000,p0.1,0.011664045398787695,0.8111733947714195,595200.0,0,0.8590604026845637,0.1,0.7685997155476354,0.13708112757074833,21.0,20.0,1.94427510825372,1.8042562880346729,0.8102728631866589,0.7800349893870372,0.8590604026845637,0.01171875,0.4736842105263158,0.6666666666666666,5.0
K3,8000,p0.2,0.012006297654349631,0.7995957738036775,595200.0,0,0.7529411764705882,0.2,0.7685997155476354,0.2903247903952418,42.0,38.0,1.94427510825372,1.730027067289524,0.8102728631866589,0.7634484268215728,0.7529411764705882,0.01171875,0.42857142857142855,0.5,5.0
K3,8001,abf,0.014805128256011102,0.839788306451613,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8001,p0.02,0.014870569284423265,0.8379301075268817,595200.0,0,0.9696969696969697,0.02,0.8548390859730346,0.023633345326651043,4.0,4.0,2.1379042951907974,2.126454945903547,0.8506781780985787,0.8492965593129068,0.9696969696969697,0.0078125,1.0,1.0,4.0
K3,8001,p0.05,0.014802434048583566,0.8376159274193549,595200.0,0,0.9343065693430657,0.05,0.8548390793636218,0.06000345050408255,9.0,9.0,2.13790457088336,2.0971265675108004,0.8506782188066885,0.8456735949624001,0.9343065693430657,0.0078125,0.6,1.0,4.0
K3,8001,p0.1,0.015039190865367284,0.8293615591397849,595200.0,0,0.847682119205298,0.1,0.8548390793636218,0.12325187067519314,21.0,19.0,2.13790457088336,2.010552512120806,0.8506782188066885,0.8311711468021988,0.847682119205298,0.015625,0.36363636363636365,0.8,4.0
K3,8001,p0.2,0.015212860655816113,0.8211424731182796,595200.0,0,0.7852760736196319,0.2,0.8548390793636218,0.26103573959244725,36.0,32.0,2.1379045708833595,1.954263795522801,0.8506782188066886,0.8239359817361132,0.7852760736196319,0.01171875,0.4285714285714286,0.5,4.0
K3,8002,abf,0.01871030790393743,0.8483971774193548,595200.0,0,1.0,,,,,,,,,,,,,,
