cell,seed,j,C,a,V,pi_star,occ0,f_ref
K3,8000,0,57562.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.05859375,-20.001447663525564
K3,8000,1,59467.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.0234375,-16.736926222184675
K3,8000,2,65940.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.01171875,-14.119694821265368
K3,8000,3,72992.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.06640625,-12.112613681448535
K3,8000,4,88427.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.01953125,-10.612314324874749
K3,8000,5,106309.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.04296875,-9.37970088141536
K3,8000,6,119065.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.03515625,-8.130169058873427
K3,8000,7,127406.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.05859375,-6.598728030372591
K3,8000,8,130024.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.0625,-4.620588418274956
K3,8000,9,128638.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.03515625,-2.252863240698835
K3,8000,10,122242.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.02734375,0.22605911217101549
K3,8000,11,110060.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.046875,2.355230571581429
K3,8000,12,91287.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.03125,3.6060840625782453
K3,8000,13,63073.0,0.0006483694517539563,3.081559448889604,0.1235280405625348,0.01953125,3.275144141174126
K3,8000,14,57432.0,0.0007190962031104933,11.419147589547167,0.3687637420295664,0.00390625,0.6855115062732063
K3,8000,15,56072.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.0234375,-0.08397731392047976
K3,8000,16,57183.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.015625,0.27399170958044256
K3,8000,17,56384.0,0.0006642914303916642,6.234667423308631,0.23568956633352553,0.0234375,-0.3699228766684197
K3,8000,18,57742.0,0.0007031742244727865,3.514616106962375,0.15822900821138405,0.0234375,-2.9743058338938515
K3,8000,19,87312.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.05078125,-3.436226280277556
K3,8000,20,124052.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.05859375,-2.215293491858746
K3,8000,21,139779.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.046875,-0.11939669396034924
K3,8000,22,144492.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.05859375,2.3566676671297633
K3,8000,23,130268.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.05078125,4.739356923226084
K3,8000,24,100235.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.03515625,6.729879356794805
K3,8000,25,68252.0,0.0003287051114123004,0.196608374066459,0.00390625,0.0234375,8.282174936728236
K3,8000,26,41533.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.02734375,9.536218308969232
K3,8000,27,26034.0,0.00016826055744771585,0.6110501768355009,0.00832089286298914,0.0078125,10.762180863513906
K3,8000,28,22089.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.00390625,12.251816073352863
K3,8000,29,19990.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.00390625,14.228240678469687
K3,8000,30,16412.0,0.0,0.527435034298937,0.00390625,0.0,16.82835293200227
K3,8000,31,12247.0,0.0,0.5145073422937076,0.00390625,0.00390625,20.20578082012556
K3,8001,0,45709.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.01171875,-20.001447663525564
K3,8001,1,47454.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.01171875,-16.736926222184675
K3,8001,2,53023.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.03515625,-14.119694821265368
K3,8001,3,65375.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.0078125,-12.112613681448535
K3,8001,4,84558.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.046875,-10.612314324874749
K3,8001,5,102261.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.02734375,-9.37970088141536
K3,8001,6,118160.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.0625,-8.130169058873427
K3,8001,7,122027.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.05078125,-6.598728030372591
K3,8001,8,121826.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.0703125,-4.620588418274956
K3,8001,9,118149.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.0546875,-2.252863240698835
K3,8001,10,117501.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.03515625,0.22605911217101549
K3,8001,11,102861.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.0546875,2.355230571581429
K3,8001,12,77668.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.01953125,3.6060840625782453
