cell,seed,H,M,G_ideal,G_asym,lam,n_floor_bound,pi_max,pi_top5,pi_max_prev,pi_top5_prev,tv_to_prev,C_total
K2,8000,2635,674560.0,0.585827426000857,0.7204056231553155,5.6628954428799295e-08,28,0.3783588635768405,0.8945312499999998,0.7037693420806526,0.89453125,0.5735724592455642,2560000.0
K2,8001,2635,674560.0,0.6568830402553715,0.7204056231553155,7.168480851608663e-08,28,0.35897469620204103,0.89453125,0.8345909650254902,0.8945312499999999,0.6910634638977317,2560000.0
K2,8002,2635,674560.0,0.6230583314251281,0.7204056231553155,6.573748209177185e-08,28,0.3648026264038113,0.89453125,0.6814866240518896,0.89453125,0.5622739419435268,2560000.0
K2,8003,2635,674560.0,0.6231974854137954,0.7204056231553155,6.424983409530697e-08,28,0.36862950978797143,0.8945312499999998,0.87890625,0.89453125,0.7359706880338737,2560000.0
K2,8004,2635,674560.0,0.6182019527288551,0.7204056231553155,6.334561271898193e-08,28,0.3721320155889534,0.89453125,0.8169005701280452,0.8945312499999999,0.6785570474338228,2560000.0
K2,8005,2635,674560.0,0.6137305132396704,0.7204056231553155,6.323149562024735e-08,28,0.3680635340860521,0.8945312499999999,0.5922131254140789,0.89453125,0.5653105920912942,2560000.0
K2,8006,2635,674560.0,0.5847791750962015,0.7204056231553155,5.8675067332888355e-08,28,0.3683113986338552,0.89453125,0.87890625,0.89453125,0.7381029765688074,2560000.0
K2,8007,2635,674560.0,0.6292119259194662,0.7204056231553155,6.523240055668453e-08,28,0.37037867479954767,0.89453125,0.87890625,0.89453125,0.7374076949347973,2560000.0
K3,8000,2325,595200.0,0.5633952778462732,0.7192541150812307,6.373447256997007e-08,27,0.36876374202956225,0.8945312500000002,0.87890625,0.89453125,0.7206772417886174,2560000.0
K3,8001,2325,595200.0,0.6200133347770442,0.7192541150812307,7.242480029319253e-08,28,0.36669938815611147,0.8945312500000001,0.8789062500000001,0.8945312500000001,0.7204078817067816,2560000.0
K3,8002,2325,595200.0,0.6180968903743373,0.7192541150812307,7.38608335286321e-08,28,0.3624407739243656,0.8945312499999999,0.87890625,0.89453125,0.7196337063713784,2560000.0
K3,8003,2325,595200.0,0.6002104833175713,0.7192541150812307,6.918871841277499e-08,28,0.368713271995168,0.89453125,0.87890625,0.89453125,0.7212735747266941,2560000.0
K3,8004,2325,595200.0,0.5992256775205067,0.7192541150812307,7.001232332510664e-08,28,0.3593787435270592,0.8945312500000002,0.87890625,0.89453125,0.7132546980970544,2560000.0
K3,8005,2325,595200.0,0.6194071534289115,0.7192541150812307,7.431867610300966e-08,28,0.3563073989384711,0.89453125,0.8789062500000001,0.8945312500000001,0.7087220210588293,2560000.0
K3,8006,2325,595200.0,0.5801646264076287,0.7192541150812307,6.457078288119563e-08,28,0.37353834347928205,0.89453125,0.8789062500000001,0.8945312500000001,0.7255630404523032,2560000.0
K3,8007,2325,595200.0,0.6122827852715922,0.7192541150812307,7.12814160279957e-08,28,0.36205921021922577,0.89453125,0.87890625,0.89453125,0.715076148971921,2560000.0
