seed,d_int_0.025,d_fin_0.025,d_int_0.0125,d_fin_0.0125,d_int_0.00625,d_fin_0.00625,d_int_raw+sigma,d_fin_raw+sigma,d_int_raw,d_fin_raw,min_ess_frac_fr,wmax_fr
700,-30.917,-39.973,-33.063,-46.171,-31.807,-47.610,-33.415,-48.007,-33.436,-48.214,0.1654,0.0205
701,-29.627,-44.921,-30.714,-49.250,-31.057,-50.200,-34.245,-50.457,-34.266,-50.597,0.2016,0.0156
702,-0.763,-35.703,-0.049,-40.604,-0.636,-41.711,-6.504,-42.000,-6.530,-42.164,0.1585,0.0234
703,-15.433,-41.536,-18.024,-47.214,-18.405,-48.491,-16.916,-48.804,-16.976,-48.992,0.1685,0.0205
704,-17.052,-37.537,-18.586,-43.772,-19.510,-45.254,-20.399,-45.644,-20.469,-45.860,0.1525,0.0273
705,-16.315,-33.155,-17.810,-38.651,-16.467,-39.932,-20.509,-40.259,-20.562,-40.445,0.1671,0.0176
706,-2.814,-38.863,-4.244,-44.708,-5.220,-46.061,-8.092,-46.402,-8.163,-46.601,0.1692,0.0195
707,-16.608,-44.290,-18.836,-49.851,-19.495,-51.086,-9.113,-51.427,-9.149,-51.601,0.1702,0.0195
708,-25.434,-43.644,-26.271,-49.011,-26.354,-50.173,-26.517,-50.502,-26.513,-50.671,0.1840,0.0137
709,-15.552,-43.262,-16.997,-46.877,-17.010,-47.604,-12.012,-47.787,-12.026,-47.887,0.1657,0.0166
710,-16.277,-48.802,-19.386,-53.560,-20.130,-54.539,-19.122,-54.782,-19.180,-54.925,0.1684,0.0186
711,-28.583,-45.311,-30.288,-51.246,-30.284,-52.573,-26.989,-52.890,-27.036,-53.078,0.1716,0.0234
712,-0.357,-38.843,-1.275,-43.470,-2.608,-44.468,-8.625,-44.759,-8.620,-44.909,0.1659,0.0205
713,-28.488,-43.241,-31.525,-48.391,-33.640,-49.517,-34.877,-49.829,-34.899,-49.993,0.1660,0.0156
714,-9.372,-45.090,-10.409,-49.838,-8.746,-50.837,5.485,-51.100,5.397,-51.240,0.1726,0.0215
715,-12.129,-37.535,-13.998,-42.986,-15.456,-44.244,-22.613,-44.583,-22.655,-44.765,0.1756,0.0176
