=== CONFIRM EB  N=256 steps=40000 fe=1.02e+07 seeds=32 floor=0.00403 ===
  wfr          I_F=0.03612 e_F=0.03362 (/fl    8.3) chan=0.1754 cov=1.000 ess=1.00 [29s]
  wfr_anneal   I_F=0.03767 e_F=0.01265 (/fl    3.1) chan=0.1822 cov=1.000 ess=1.00 [28s]
  wfr_flow     I_F=0.02858 e_F=0.01004 (/fl    2.5) chan=0.1572 cov=1.000 ess=1.00 [30s]
  wfr_flow_fr  I_F=0.05553 e_F=0.05078 (/fl   12.6) chan=0.1624 cov=1.000 ess=1.00 [31s]
  wfr_scaled   I_F=0.00711 e_F=0.00615 (/fl    1.5) chan=0.1699 cov=1.000 ess=1.00 [29s]
  wfr_oracle   I_F=0.00456 e_F=0.00444 (/fl    1.1) chan=0.1604 cov=1.000 ess=1.00 [40s]
  w_only       I_F=0.07650 e_F=0.03656 (/fl    9.1) chan=0.1681 cov=1.000 ess=1.00 [19s]
  fr_only      I_F=1.03684 e_F=1.03676 (/fl  257.2) chan=0.0497 cov=0.067 ess=1.00 [27s]
  w_count      I_F=0.03502 e_F=0.03283 (/fl    8.1) chan=0.1879 cov=1.000 ess=1.00 [27s]
  w_sham       I_F=0.08185 e_F=0.03786 (/fl    9.4) chan=0.1840 cov=0.978 ess=1.00 [21s]
