feature,deployable,n_cells_scored,n_systems,systems,loso_auc,loso_auc_lo,loso_auc_hi,loso_balacc,loso_balacc_lo,loso_balacc_hi,loso_tpr,loso_fpr,mean_within_fold_auc,loso_spearman,sign_stable_across_folds,fold_signs,in_sample_auc,in_sample_auc_lo,in_sample_auc_hi,in_sample_spearman,in_sample_spearman_lo,in_sample_spearman_hi,loso_auc_no_orphan,loso_auc_no_orphan_lo,loso_auc_no_orphan_hi,n_cells_no_orphan,eta2_system,mean_abs_within_system_rho,range_overlap,status
log10_n_relax,yes,40,7,alkane_dist|alkane_torsion|alkane_torus|edb|edb_slow|toy2d|wca,0.15364583333333334,0.03021978021978022,0.29396008403361346,0.5,0.4,0.6041666666666667,0.125,0.125,0.16296296296296295,-0.5165103189493433,False,-1|-1|-1|-1|+1|-1|-1,0.3255208333333333,0.13731398809523812,0.5392154301637062,-0.09662288930581614,-0.4685789135256342,0.26568826258074585,0.20496894409937888,0.085,0.32920136928289107,30,0.8722483364953263,0.7630203130203129,0.19047619047619047,ok
log10_cross_per_replica,yes,40,7,alkane_dist|alkane_torsion|alkane_torus|edb|edb_slow|toy2d|wca,0.1484375,0.02849002849002849,0.286445345801364,0.5,0.4,0.6041666666666667,0.125,0.125,0.1259259259259259,-0.4973733583489681,False,-1|-1|-1|-1|+1|-1|-1,0.3151041666666667,0.1304291213768116,0.5202178030303031,-0.10938086303939963,-0.4721104772663089,0.26038729084414364,0.20496894409937888,0.0861244019138756,0.3269230769230769,30,0.8913782781253112,0.7842324342324342,0.23809523809523808,ok
cross_rate_per_time,yes,40,7,alkane_dist|alkane_torsion|alkane_torus|edb|edb_slow|toy2d|wca,0.3411458333333333,0.25245530626780627,0.4670846394984326,0.5416666666666667,0.5185185185185186,0.5714285714285714,1.0,0.9166666666666666,0.23703703703703702,-0.18649155722326455,False,-1|+1|-1|-1|-1|-1|-1,0.4375,0.26261331261331267,0.6287878787878788,0.11707317073170732,-0.23927419883058815,0.4625325248960255,0.16770186335403728,0.058175620675620675,0.32098765432098764,30,0.899683497409771,0.6592324342324343,0.2857142857142857,ok
roundtrips_per_replica,yes,24,4,alkane_dist|alkane_torsion|alkane_torus|wca,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,+1|+1|+1,0.9578947368421052,0.8315789473684211,1.0,0.6,0.22476319017638438,0.8148351251991238,nan,nan,nan,24,0.42192047207360867,0.7151098901098901,0.3333333333333333,no out-of-sample positives and negatives: the 'help' label is confined to systems that cannot be scored on this feature
roundtrip_rate_per_time,yes,24,4,alkane_dist|alkane_torsion|alkane_torus|wca,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,-1|+1|+1,0.5052631578947369,0.2777777777777778,0.7272727272727273,0.5408695652173913,0.08400921529956054,0.774386165920693,nan,nan,nan,24,0.8945967345606343,0.4651098901098901,0.0,no out-of-sample positives and negatives: the 'help' label is confined to systems that cannot be scored on this feature
n_relax,yes,40,7,alkane_dist|alkane_torsion|alkane_torus|edb|edb_slow|toy2d|wca,0.3072916666666667,0.1718710542929293,0.45112781954887216,0.5,0.4,0.6041666666666667,0.125,0.125,0.16296296296296295,-0.4729831144465291,False,-1|-1|-1|-1|+1|-1|-1,0.3255208333333333,0.13810084674602105,0.5378984848484849,-0.09662288930581614,-0.46544956361284023,0.2685267017675818,0.20496894409937888,0.0861244019138756,0.3264022435897436,30,0.8983837189319626,0.7630203130203129,0.19047619047619047,ok
min_state_occupancy,yes,48,8,alkane_dist|alkane_torsion|alkane_torus|eb|edb|edb_slow|toy2d|wca,0.3479020979020979,0.19926752645502646,0.5018278769841271,0.4947552447552448,0.40384615384615385,0.5939137022397892,0.18181818181818182,0.19230769230769232,0.43611111111111106,-0.2662831089882762,False,-1|-1|-1|-1|+1|+1|+1|-1,0.4772727272727273,0.29979325138189916,0.6684325396825397,0.09064264003473729,-0.20459090899385832,0.3675082229536245,0.39076923076923076,0.2,0.5892857142857143,38,0.42159468925329424,0.06559107559107559,0.6428571428571429,ok
cv_coverage,yes,47,7,alkane_dist|alkane_torsion|alkane_torus|eb|edb|edb_slow|wca,0.54,0.4945054945054945,0.5681818181818182,0.5172727272727273,0.462037037037037,0.5652173913043479,0.9545454545454546,0.92,0.4791666666666667,0.08576634202217866,True,+1|+1|+1|+1|+1|+1|+1,0.54,0.46545454545454545,0.62,0.08576634202217866,-0.13221305674058548,0.2875021480266031,0.5288461538461539,0.45,0.5714285714285714,37,0.7377118701115589,0.24743582965269675,0.5238095238095238,ok
n_states_visited_frac,yes,40,7,alkane_dist|alkane_torsion|alkane_torus|edb|edb_slow|toy2d|wca,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,nan,True,+1|+1|+1|+1|+1|+1|+1,0.5,0.5,0.5,nan,nan,nan,0.5,0.5,0.5,30,nan,nan,1.0,ok
fpt_frac,yes,17,3,alkane_dist|alkane_torus|wca,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,-1|-1,0.375,0.23076923076923078,0.5,0.10133605871255334,-0.24322149534991747,0.43482062909976077,nan,nan,nan,17,0.3804240721432145,0.1032031374230672,1.0,no out-of-sample positives and negatives: the 'help' label is confined to systems that cannot be scored on this feature
