indicator,column,alkane_dist,alkane_torsion,alkane_torus,eb,edb,edb_slow,toy2d,wca
transition rate per unit physical time,cross_rate_per_time,yes,yes,yes,no,yes,yes,yes,yes
round trips per replica per unit physical time,roundtrip_rate_per_time,yes,yes,yes,no,no,no,no,yes
fraction of replicas with >=1 round trip,UNAVAILABLE,no,no,no,no,no,no,no,no
median first-passage time / horizon,UNAVAILABLE,no,no,no,no,no,no,no,no
ensemble first-passage / horizon (surrogate),fpt_frac,yes,no,yes,no,no,no,no,yes
state-transition spectral-gap proxy (2-state rate),log10_n_relax,yes,yes,yes,no,yes,yes,yes,yes
state-transition spectral-gap proxy (matrix eigenvalue),spectral_gap_matrix,no,no,yes,no,no,no,no,no
basin-discovery completeness (states visited),n_states_visited_frac,yes,yes,yes,no,yes,yes,yes,yes
basin-discovery completeness (CV coverage),cv_coverage,yes,yes,yes,yes,yes,yes,no,yes
number of distinct crossing lineages,UNAVAILABLE,no,no,no,no,no,no,no,no
