system,cell,method,seed,stage,n_replicas,n_steps,dt,t_phys,l2_f,int_l2_f,n_cross,n_roundtrips,p_a,p_b,cv_coverage,low_support_fraction,support_min_over_median,f_range,spectral_gap_matrix,n_states_visited_frac,fpt_frac,sweep,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy
wca,b1_h1_w2_n10_a1.5,abf,0,production,1024.0,120000.0,0.002,240.0,0.0983255474718814,41.73843826180162,1544694.0,772048.0,0.43017643915761855,0.5698235608423814,1.0,0.0,0.7281088723086193,1.5351479717064649,nan,1.0,0.0,physics,False,1508.490234375,3.1788303077064044,6.2853759765625,753.953125,3.141471354166667,3076.985748136183,3.4882666046052253,0.43017643915761855
wca,b1_h1_w2_n10_a1.5,abf,1,production,1024.0,120000.0,0.002,240.0,0.10284767044380866,37.27577528732918,1554694.0,777048.0,0.4326183308843388,0.5673816691156612,1.0,0.0,0.7308835633932649,1.5351479717064649,nan,1.0,0.0,physics,False,1518.255859375,3.181630919983529,6.326066080729166,758.8359375,3.16181640625,3092.678336595865,3.4904751561947536,0.4326183308843388
wca,b1_h1_w2_n10_a1.5,abf,2,production,1024.0,120000.0,0.002,240.0,0.10315123959832545,46.392987606172966,1556247.0,777826.0,0.4293622551149663,0.5706377448850337,1.0,0.0,0.7143076618811698,1.5351479717064649,nan,1.0,0.0,physics,False,1519.7724609375,3.1820642394628775,6.33238525390625,759.595703125,3.1649820963541666,3101.4459496736,3.491704224026375,0.4293622551149663
wca,b1_h1_w2_n10_a1.5,abf,3,production,1024.0,120000.0,0.002,240.0,0.09771581331817727,42.867428434706454,1561315.0,780346.0,0.43770151935268886,0.5622984806473111,1.0,0.0,0.7339408751032943,1.5351479717064649,nan,1.0,0.0,physics,False,1524.7216796875,3.1834753173672223,6.353006998697917,762.056640625,3.1752360026041666,3097.5306731178725,3.49115579969496,0.43770151935268886
wca,b1_h2_w2_n10_a1.5,abf,0,production,1024.0,120000.0,0.002,240.0,0.09239884189654113,37.78489731406954,1560174.0,779792.0,0.43184404326177933,0.5681559567382207,1.0,0.0,0.7266740223182514,2.348273277282715,nan,1.0,0.0,physics,False,1523.607421875,3.1831580296092143,6.3483642578125,761.515625,3.172981770833333,3104.9069260804595,3.492188437195724,0.43184404326177933
wca,b1_h2_w2_n10_a1.5,abf,1,production,1024.0,120000.0,0.002,240.0,0.09848450204996467,43.11839066115224,1557068.0,778245.0,0.4313735941003255,0.5686264058996746,1.0,0.0,0.7284057531149628,2.348273277282715,nan,1.0,0.0,physics,False,1520.57421875,3.182293141056622,6.335725911458334,760.0048828125,3.16668701171875,3099.5385816214766,3.4914371398697326,0.4313735941003255
wca,b1_h2_w2_n10_a1.5,abf,2,production,1024.0,120000.0,0.002,240.0,0.08974311813109472,37.98909673582804,1562920.0,781163.0,0.43127257699078414,0.5687274230092157,1.0,0.0,0.7191584448661633,2.348273277282715,nan,1.0,0.0,physics,False,1526.2890625,3.183921241619566,6.359537760416667,762.8544921875,3.1785603841145833,3111.363716736782,3.4930903437616223,0.43127257699078414
wca,b1_h2_w2_n10_a1.5,abf,3,production,1024.0,120000.0,0.002,240.0,0.09122162893076358,41.60845651230639,1557686.0,778533.0,0.43210506457740366,0.5678949354225963,1.0,0.0,0.7306772191273804,2.348273277282715,nan,1.0,0.0,physics,False,1521.177734375,3.1824653650178063,6.338240559895834,760.2861328125,3.16785888671875,3099.506933119385,3.491432706820568,0.43210506457740366
wca,b1_h4_w2_n10_a1.5,abf,0,production,1024.0,120000.0,0.002,240.0,0.09029130418765274,50.55853214120057,1561902.0,780663.0,0.4314492344888108,0.5685507655111892,1.0,0.0,0.74052829418886,4.268068313598633,nan,1.0,0.0,physics,False,1525.294921875,3.183638459285668,6.3553955078125,762.3662109375,3.17652587890625,3109.029746770163,3.4927645429806486,0.4314492344888108
wca,b1_h4_w2_n10_a1.5,abf,1,production,1024.0,120000.0,0.002,240.0,0.09489908617322972,51.59255652659891,1560856.0,780130.0,0.429206222096497,0.5707937779035029,1.0,0.0,0.7342390678703655,4.268068313598633,nan,1.0,0.0,physics,False,1524.2734375,3.1833477071269494,6.351139322916667,761.845703125,3.1743570963541665,3110.9114282690243,3.4930272275331316,0.429206222096497
wca,b1_h4_w2_n10_a1.5,abf,2,production,1024.0,120000.0,0.002,240.0,0.09596504669783451,49.187651789960576,1566666.0,783032.0,0.43006322111588996,0.56993677888411,1.0,0.0,0.7334483648387978,4.268068313598633,nan,1.0,0.0,physics,False,1529.947265625,3.184960231428173,6.3747802734375,764.6796875,3.186165364583333,3120.9548015191626,3.4944266112206614,0.43006322111588996
