study,stage,name,beta,h,n_dim,a,opes_barrier,opes_pace,opes_sigma,opes_gamma,n_seeds,n_nan,l2_f_common_mean,l2_f_common_std,l2_f_common_sem,l2_f_common_ci95,l2_fp_common_mean,l2_fp_common_std,l2_fp_common_sem,l2_fp_common_ci95,l2_f_native_mean,l2_f_native_std,l2_f_native_sem,l2_f_native_ci95,l2_fp_native_mean,l2_fp_native_std,l2_fp_native_sem,l2_fp_native_ci95,integrated_l2_f_mean,integrated_l2_f_std,integrated_l2_f_sem,integrated_l2_f_ci95,normalized_anytime_l2_f_mean,normalized_anytime_l2_f_std,normalized_anytime_l2_f_sem,normalized_anytime_l2_f_ci95,tau_abs_mean,tau_abs_std,tau_abs_sem,tau_abs_ci95,tau_rel_mean,tau_rel_std,tau_rel_sem,tau_rel_ci95,marginal_kl_mean,marginal_kl_std,marginal_kl_sem,marginal_kl_ci95,marginal_tv_mean,marginal_tv_std,marginal_tv_sem,marginal_tv_ci95,covered_fraction_mean,covered_fraction_std,covered_fraction_sem,covered_fraction_ci95,n_round_trips_mean,n_round_trips_std,n_round_trips_sem,n_round_trips_ci95,first_passage_step_mean,first_passage_step_std,first_passage_step_sem,first_passage_step_ci95,opes_neff_frac_min_mean,opes_neff_frac_min_std,opes_neff_frac_min_sem,opes_neff_frac_min_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem,runtime_seconds_ci95
opes_closure_eb,representative,opes,8.0,None,None,None,3.0,50,0.02,24.0,5,0,0.18393770170503715,0.005553805832165756,0.0024837374749114836,0.004868125450826508,1.744318013614573,0.060226832162966634,0.026934258157172816,0.052791145988058716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.067154438979923,0.044894637348225186,0.020077492187166483,0.039351884686846306
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,100,0.03,24.0,2,0,0.2186077346008695,0.007721361882405658,0.005459827347044366,0.010701261600206957,1.8373534910822709,0.14324963920936915,0.10129279128747126,0.19853387092344368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.694481576792896,0.013698338212432984,0.009686187840998171,0.018984928168356414
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,100,0.05,24.0,2,0,0.3033767675910249,0.022385785146303516,0.015829140479136306,0.031025115339107158,2.4391273113304637,0.2168307349556448,0.1533224830567994,0.30051206679132686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.676748625468463,0.01479001995566159,0.010458123404532671,0.020497921872884035
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,100,0.08,24.0,2,0,0.4098611767728985,0.0031663012302116625,0.0022389130711619742,0.0043882696194774695,3.089332309795262,0.029158821057632817,0.02061840010125726,0.04041206419846423,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.14895593142137,0.12050613294363506,0.08521070377901195,0.1670129794068634
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,100,0.12,24.0,2,0,0.46921134250477514,0.025946340120546738,0.01834683304621118,0.035959792770573915,3.671950999826721,0.31017104186725314,0.21932404703203123,0.4298751321827812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.036909367889166,0.09678063470925274,0.06843424309045076,0.13413111645728348
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,200,0.03,24.0,2,0,0.2149991286497117,0.0027225331858411307,0.0019251216777136785,0.00377323848831881,1.860898429313912,0.11238630907730314,0.07946912126108828,0.15575947767173304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.798177117016166,0.11015873260562134,0.07789398683235048,0.15267221419140695
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,200,0.05,24.0,2,0,0.2986647736492917,0.013498734539368836,0.009545046730224771,0.01870829159124055,2.343467254895468,0.0746805483046549,0.052807122128951,0.10350195937274397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.75307441642508,0.04532056086295851,0.03204647591337561,0.0628110927902162
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,200,0.08,24.0,2,0,0.40988391181234907,0.003794420154336557,0.0026830602218022854,0.005258798034732479,3.0893167437644906,0.03494962169936065,0.024713114503522426,0.048437704426903955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.858592786826193,0.12416814814583464,0.08780013956129551,0.1720882735401392
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,200,0.12,24.0,2,0,0.4680691102094625,0.027315752089311102,0.01931515353556248,0.03785770092970246,3.671944239589572,0.3105057428493214,0.2195607163661215,0.4303390040775982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.968332739546895,0.05951850715909513,0.04208594001829624,0.08248844243586063
opes_closure_eb,tune_r1,opes,8.0,None,None,None,3.0,50,0.03,24.0,2,0,0.2109859624293492,0.0007146533655440298,0.000505336240973972,0.000990459032308985,1.850152111476448,0.08988830424691148,0.06356062948235064,0.12457883378540725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.003992546349764,0.0018435268614687924,0.001303570345044136,0.0025549978762865067
