run_id,study,stage,name,method,seed,beta,h,w,n_dim,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_gamma_from_barrier,n_steps,n_replicas,had_nan,l2_f_common,l2_fp_common,l2_f_native,l2_fp_native,primary_estimator,l2_f_compact,l2_fp_compact,l2_f_transition,l2_fp_transition,l2_f_stretched,l2_fp_stretched,integrated_l2_f,normalized_anytime_l2_f,tau_abs,tau_rel,marginal_kl,marginal_tv,marginal_entropy,min_density,covered_fraction,marginal_l2_ref,marginal_l2_uniform,n_round_trips,n_barrier_crossings,n_compact_to_stretched,n_stretched_to_compact,first_passage_step,iat_frac_compact,mixing_ess,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,opes_max_bias,opes_sigma_cur_final,runtime_seconds,wall_seconds,budget,force_evaluations,device,cuda_visible_devices
,opes_closure_eb,representative,opes,opes,0,8.0,,,,,,3.0,50,0.02,24.0,,40000,0,False,0.18483174256265275,1.7753476541349096,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.14310214482248,nan,nan,0.0,,
,opes_closure_eb,representative,opes,opes,1,8.0,,,,,,3.0,50,0.02,24.0,,40000,0,False,0.1844762170225632,1.7534465795922798,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.02851794473827,nan,nan,0.0,,
,opes_closure_eb,representative,opes,opes,2,8.0,,,,,,3.0,50,0.02,24.0,,40000,0,False,0.17619990342761396,1.6462606005012814,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.041041790507734,nan,nan,0.0,,
,opes_closure_eb,representative,opes,opes,3,8.0,,,,,,3.0,50,0.02,24.0,,40000,0,False,0.1917021644662224,1.8062183423474865,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.06687994953245,nan,nan,0.0,,
,opes_closure_eb,representative,opes,opes,4,8.0,,,,,,3.0,50,0.02,24.0,,40000,0,False,0.1824784810461334,1.7403168914969078,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.05623036529869,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,100,0.03,24.0,,40000,0,False,0.22406756194791386,1.7360606997947996,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.684795388951898,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,100,0.05,24.0,,40000,0,False,0.3192059080701612,2.5924497943872633,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.66629050206393,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,100,0.08,24.0,,40000,0,False,0.4121000898440605,3.1099507098965193,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.063745227642357,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,100,0.12,24.0,,40000,0,False,0.450864509458564,3.45262695279469,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.105343610979617,nan,nan,0.0,,
,opes_closure_eb,tune_r1,opes,opes,20,8.0,,,,,,3.0,200,0.03,24.0,,40000,0,False,0.21307400697199802,1.7814293080528236,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.876071103848517,nan,nan,0.0,,
