run_id,study,stage,name,method,seed,beta,h,w,n_dim,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_gamma_from_barrier,n_steps,n_replicas,had_nan,l2_f_common,l2_fp_common,l2_f_native,l2_fp_native,primary_estimator,l2_f_compact,l2_fp_compact,l2_f_transition,l2_fp_transition,l2_f_stretched,l2_fp_stretched,integrated_l2_f,normalized_anytime_l2_f,tau_abs,tau_rel,marginal_kl,marginal_tv,marginal_entropy,min_density,covered_fraction,marginal_l2_ref,marginal_l2_uniform,n_round_trips,n_barrier_crossings,n_compact_to_stretched,n_stretched_to_compact,first_passage_step,iat_frac_compact,mixing_ess,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,opes_max_bias,opes_sigma_cur_final,runtime_seconds,wall_seconds,budget,force_evaluations,device,cuda_visible_devices
,opes_closure_meta,pilot_sigma_ref,opes,opes,0,4.0,,,,,,8.0,200,0.12,32.0,,100000,0,False,0.1094023737394463,0.5465312678855672,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.1801381111145,nan,nan,0.0,,
,opes_closure_meta,pilot_sigma_ref,opes,opes,1,4.0,,,,,,8.0,200,0.12,32.0,,100000,0,False,0.14032271106342648,1.543384122041699,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.47936201095581,nan,nan,0.0,,
,opes_closure_meta,pilot_sigma_ref,opes,opes,2,4.0,,,,,,8.0,200,0.12,32.0,,100000,0,False,0.11129490551313172,0.8720838949314634,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.97933053970337,nan,nan,0.0,,
,opes_closure_meta,pilot_sigma_ref,opes,opes,3,4.0,,,,,,8.0,200,0.12,32.0,,100000,0,False,0.12129804858400858,1.2492672322502338,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.21153450012207,nan,nan,0.0,,
,opes_closure_meta,pilot_sigma_ref,opes,opes,4,4.0,,,,,,8.0,200,0.12,32.0,,100000,0,False,0.1021152350956279,0.8977481357134616,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.90050792694092,nan,nan,0.0,,
,opes_closure_meta,representative,opes,opes,0,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.0608113813777948,0.3275425827808404,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.44954991340637,nan,nan,0.0,,
,opes_closure_meta,representative,opes,opes,1,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.0579167296437643,0.3044097063663275,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.50040221214294,nan,nan,0.0,,
,opes_closure_meta,representative,opes,opes,2,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.05847763127971873,0.30702271443993157,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.3987193107605,nan,nan,0.0,,
,opes_closure_meta,representative,opes,opes,3,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.05568529807325491,0.3061677469562785,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.2406325340271,nan,nan,0.0,,
,opes_closure_meta,representative,opes,opes,4,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.05278869014889329,0.30820998181868386,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.23123979568481,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,100,0.03,24.0,,100000,0,False,0.06313671764805086,0.3798187140304768,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.07669854164124,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,100,0.045,24.0,,100000,0,False,0.06533985350218319,0.3304469543752487,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.86350274085999,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,100,0.06,24.0,,100000,0,False,0.07091969030463505,0.3497569526299068,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.46586155891418,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,200,0.03,24.0,,100000,0,False,0.061178036951901396,0.3342835091098404,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.50593256950378,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,200,0.045,24.0,,100000,0,False,0.06148732269221741,0.3144592538617598,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.52883529663086,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,6.0,200,0.06,24.0,,100000,0,False,0.06627071397827262,0.3311026256948382,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.3200364112854,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,100,0.03,32.0,,100000,0,False,0.05644738916915283,0.3433980423976029,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.95668053627014,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,100,0.045,32.0,,100000,0,False,0.05821801759961307,0.3132662396466655,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.80142092704773,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,100,0.06,32.0,,100000,0,False,0.06337308131147038,0.30728459012103515,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.04138970375061,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,200,0.03,32.0,,100000,0,False,0.05316347849468472,0.30603204435051995,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.56436538696289,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.05452931474978253,0.2920742517558541,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.51081252098083,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,20,4.0,,,,,,8.0,200,0.06,32.0,,100000,0,False,0.059060471511852355,0.2940378818753257,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.97873950004578,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,6.0,100,0.03,24.0,,100000,0,False,0.06700193788310163,0.3982786701459339,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.2413079738617,nan,nan,0.0,,
