run_id,study,stage,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_estimator,l2_f,l2_fp,l2_f_reweight,l2_fp_reweight,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_ref,n_barrier_crossings,n_round_trips,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,had_nan,runtime_seconds,physics_tag
representative__opes__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__b4_p500_s0.05_ginf__091871999b78,opes_wca,representative,opes,opes,0.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.1328483476002365,0.486865980182534,0.1382054891005788,1.0070711456675792,68.71010934246117,0.04843313789827047,0.49873022746603757,0.12871056601129963,0.4138261655755854,1259826.0,629638.0,0.7439178819753678,0.41943296280422837,160.0,1.7392385005950928,0.0,137.35633181687444,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__b4_p500_s0.05_ginf__c190d55fdaae,opes_wca,representative,opes,opes,1.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.1341549535925324,0.48068959305346715,0.14234247257902846,0.9679780181821817,65.22497072843146,0.053545979121173856,0.4987230688903896,0.19529104050567242,0.36125455122577804,1262567.0,630989.0,0.7395220765777536,0.4025814387246794,160.0,1.748153567314148,0.0,143.65672817640007,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__b4_p500_s0.05_ginf__dd116c900b7b,opes_wca,representative,opes,opes,2.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.13380933697571504,0.4856587247955692,0.13695737105990488,0.9303255081498205,58.399338196983194,0.05313930072047546,0.4903005495079503,0.15958272576925023,0.41177985449656296,1255391.0,627407.0,0.7381967433074587,0.4039045513556236,160.0,1.7551724910736084,0.0,142.6107952222228,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__b4_p500_s0.05_ginf__e156b3ca98d9,opes_wca,representative,opes,opes,3.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.1327331584046931,0.4968732719294961,0.1367519744327406,0.9816273188356781,59.79574596866681,0.05224467458676383,0.5216453301086311,0.14877226633324966,0.4190825131816614,1263382.0,631407.0,0.7422503329113309,0.40028301171340785,160.0,1.751176357269287,0.0,137.17989272624254,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed4__N1024__T120000__b4_p500_s0.05_ginf__3acb855b2cf8,opes_wca,representative,opes,opes,4.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.12932066735888242,0.47812872408617063,0.14108813115635888,0.969366633108751,59.677053450498526,0.05046196585255569,0.487696852519054,0.13826541461357525,0.4085744218783994,1262875.0,631158.0,0.7379290553343939,0.40182359170334614,160.0,1.745112419128418,0.0,156.00751653313637,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed5__N1024__T120000__b4_p500_s0.05_ginf__2a382f05a14e,opes_wca,representative,opes,opes,5.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.13423681724820308,0.4708942736150076,0.13665021021216903,0.9467006174732331,66.10213047042234,0.05340144137769557,0.4876281282486521,0.1983548712545186,0.35789828409903546,1247063.0,623251.0,0.7366442127785698,0.39284579403596787,160.0,1.73907470703125,0.0,143.13280845899135,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed6__N1024__T120000__b4_p500_s0.05_ginf__2a6d9510eec8,opes_wca,representative,opes,opes,6.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.12933460948008824,0.4741763313221739,0.13668433559295645,0.9730487985881262,57.758743541462195,0.05338547717209697,0.5057132779221044,0.16445510682609857,0.38821494701586085,1248180.0,623802.0,0.7381561402414808,0.4044876902340185,160.0,1.7466424703598022,0.0,137.38020669482648,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed7__N1024__T120000__b4_p500_s0.05_ginf__e5f273523c18,opes_wca,representative,opes,opes,7.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.1361033038159045,0.4900657303115473,0.1400010613758722,0.9780010772338155,62.21826203871387,0.0537219837725932,0.5082326443044898,0.1985146170075869,0.3869485661148573,1250520.0,624967.0,0.7425290513289803,0.40573788578582787,160.0,1.7474181652069092,0.0,143.22662579175085,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed8__N1024__T120000__b4_p500_s0.05_ginf__44f04ed2a7e1,opes_wca,representative,opes,opes,8.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.12100864062928664,0.46300012996615336,0.12717613022636423,0.9061093252797717,60.424525790821235,0.04910435056243661,0.4786184727184144,0.17871619167333402,0.3735669934529742,1257695.0,628566.0,0.7388846663109796,0.39785805745647346,160.0,1.7408273220062256,0.0,143.01801531016827,b1_h2_w2_n10_a1.5
representative__opes__b1_h2_w2_n10_a1.5__seed9__N1024__T120000__b4_p500_s0.05_ginf__2d3827f9ffd7,opes_wca,representative,opes,opes,9.0,120000.0,1024.0,122880000.0,1.0,2.0,2.0,10.0,100.0,1.5,2.0,4.0,500.0,0.05,inf,meanforce,0.13629467652999738,0.48034794270934444,0.13722356148176845,0.9495957693883667,65.27274261067147,0.06186205138121431,0.5028040404942054,0.17521264589678637,0.38049349437969815,1238725.0,619080.0,0.738372198133451,0.3935369733446131,160.0,1.749206781387329,0.0,137.51962495222688,b1_h2_w2_n10_a1.5
