config_id,method,target_type,gamma,eta,burnin_fraction,stop_fraction,duration_fraction,fr_every,n_seeds,median_gain_I_F_pct,median_gain_I_Fprime_pct,favorable_I_F,favorable_I_Fprime,median_ancestor_ess,median_ancestor_ess_fraction,seeds_ancestor_ess_ge_half,median_max_clone_weight,seeds_max_clone_weight_le_0p10,median_cumulative_replacements,post_stop_integrity,passes_gain,passes_genealogy,passes_all
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=100,abf_fr_physical,physical,0.02,0.1,0.2,0.3,0.09999999999999998,100,8,-0.532146887784718,-1.6035641133922307,4,3,140.35013573996625,0.5482427177342432,6,0.0234375,8,87.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=20,abf_fr_physical,physical,0.02,0.1,0.2,0.3,0.09999999999999998,20,8,-3.7489165518277634,-1.8475648485375418,2,2,133.48838444178944,0.52143900172574,7,0.025390625,8,95.5,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=500,abf_fr_physical,physical,0.02,0.1,0.2,0.3,0.09999999999999998,500,8,-4.9441361899684395,-4.37525931021664,1,2,139.14287774972954,0.543526866209881,8,0.01953125,8,88.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.5|fe=100,abf_fr_physical,physical,0.02,0.1,0.2,0.5,0.3,100,8,-12.602506335018814,-16.8719818955564,1,2,65.35459701088902,0.25529139457378525,0,0.044921875,8,269.0,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.5|fe=20,abf_fr_physical,physical,0.02,0.1,0.2,0.5,0.3,20,8,-10.187144550128767,-13.995543672689204,2,3,68.93475144672342,0.2692763728387634,0,0.03515625,8,268.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.5|fe=500,abf_fr_physical,physical,0.02,0.1,0.2,0.5,0.3,500,8,-12.576805927433476,-16.83209955153184,2,1,74.05207194876562,0.2892659060498657,0,0.037109375,8,262.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.5|fe=100,abf_fr_physical,physical,0.02,0.1,0.4,0.5,0.09999999999999998,100,8,-0.2985022721921582,-1.7962310428157047,4,4,141.55237917521924,0.5529389811532002,7,0.01953125,8,89.5,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.5|fe=20,abf_fr_physical,physical,0.02,0.1,0.4,0.5,0.09999999999999998,20,8,-2.408545789676486,-2.3979139827573603,1,2,141.55237917521924,0.5529389811532002,8,0.01953125,8,90.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.5|fe=500,abf_fr_physical,physical,0.02,0.1,0.4,0.5,0.09999999999999998,500,8,-1.2707216297013102,-1.2663161233925857,3,3,140.64555586257714,0.549396702588192,7,0.01953125,8,92.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.7|fe=100,abf_fr_physical,physical,0.02,0.1,0.4,0.7,0.29999999999999993,100,8,-3.240291546992158,-6.273873685115571,2,2,71.90148930539182,0.2808651925991868,0,0.037109375,8,273.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.7|fe=20,abf_fr_physical,physical,0.02,0.1,0.4,0.7,0.29999999999999993,20,8,-3.357611778751912,-6.200759831978608,1,2,69.44367816091955,0.271264367816092,0,0.044921875,8,266.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.4|sf=0.7|fe=500,abf_fr_physical,physical,0.02,0.1,0.4,0.7,0.29999999999999993,500,8,-4.412992899141555,-6.976815285514692,3,2,71.46995471324732,0.27917951059862234,0,0.041015625,8,255.0,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.7|fe=100,abf_fr_physical,physical,0.02,0.1,0.6,0.7,0.09999999999999998,100,8,0.17022343086563474,0.17216688970919658,5,4,130.58296419782488,0.5100897038977534,6,0.025390625,8,95.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.7|fe=20,abf_fr_physical,physical,0.02,0.1,0.6,0.7,0.09999999999999998,20,8,-0.452031747518733,-0.24996276561049524,3,4,137.40713130318588,0.5367466066530698,7,0.0234375,8,92.0,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.7|fe=500,abf_fr_physical,physical,0.02,0.1,0.6,0.7,0.09999999999999998,500,8,0.00718247493411428,0.10802890176599966,4,5,131.36051929689256,0.5131270285034866,6,0.0234375,8,95.5,True,False,True,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.9|fe=100,abf_fr_physical,physical,0.02,0.1,0.6,0.8999999999999999,0.29999999999999993,100,8,-0.2746428930064271,-0.1425536770705671,4,4,72.90969210969212,0.28480348480348483,0,0.03515625,8,268.0,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.9|fe=20,abf_fr_physical,physical,0.02,0.1,0.6,0.8999999999999999,0.29999999999999993,20,8,-1.3289730543430522,-0.7180237820100355,2,3,71.20184213506474,0.27813219584009663,0,0.03515625,8,271.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.6|sf=0.9|fe=500,abf_fr_physical,physical,0.02,0.1,0.6,0.8999999999999999,0.29999999999999993,500,8,-1.0706961605065235,-1.1974783379980036,2,3,72.34823295462854,0.28261028497901775,0,0.037109375,8,255.0,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.3|fe=100,abf_fr_physical,physical,0.05,0.1,0.2,0.3,0.09999999999999998,100,8,-4.913577880154774,-1.564988003594292,1,3,84.78151316758378,0.33117778581087415,0,0.037109375,8,194.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.3|fe=20,abf_fr_physical,physical,0.05,0.1,0.2,0.3,0.09999999999999998,20,8,-4.908742265271049,-3.1885662795277714,3,3,80.94861660079052,0.31620553359683795,0,0.033203125,8,207.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.3|fe=500,abf_fr_physical,physical,0.05,0.1,0.2,0.3,0.09999999999999998,500,8,-7.2881002843753215,-7.932833467915968,1,2,88.57833789954338,0.34600913242009135,0,0.02734375,8,189.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.5|fe=100,abf_fr_physical,physical,0.05,0.1,0.2,0.5,0.3,100,8,1.811473254523005,0.25894141208090415,4,4,33.32085171146692,0.13015957699791766,0,0.072265625,7,578.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.5|fe=20,abf_fr_physical,physical,0.05,0.1,0.2,0.5,0.3,20,8,4.9535701846122215,2.0729306335875775,5,5,34.1624844893267,0.13344720503643243,0,0.06640625,8,589.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.2|sf=0.5|fe=500,abf_fr_physical,physical,0.05,0.1,0.2,0.5,0.3,500,8,-5.309570976559774,-8.802178203545253,2,3,41.5024874186158,0.16211909147896797,0,0.05859375,8,532.0,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.4|sf=0.5|fe=100,abf_fr_physical,physical,0.05,0.1,0.4,0.5,0.09999999999999998,100,8,-1.4290020184126395,-2.001237817707824,3,3,80.48800482218203,0.3144062688366486,0,0.03125,8,205.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.4|sf=0.5|fe=20,abf_fr_physical,physical,0.05,0.1,0.4,0.5,0.09999999999999998,20,8,-2.763938623888351,-1.8963429810356702,2,3,79.75062769434838,0.31152588943104836,0,0.0390625,8,203.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.4|sf=0.5|fe=500,abf_fr_physical,physical,0.05,0.1,0.4,0.5,0.09999999999999998,500,8,-3.1315309877123387,-4.3513816096401925,2,2,85.93518938612772,0.3356843335395614,0,0.03515625,8,192.5,True,False,False,False
abf_fr_physical|tt=physical|g=0.05|eta=0.1|bi=0.4|sf=0.7|fe=100,abf_fr_physical,physical,0.05,0.1,0.4,0.7,0.29999999999999993,100,8,0.2915541203636407,-2.0517890477577128,4,2,38.02256907285883,0.1485256604408548,0,0.05859375,8,563.5,True,False,False,False
