run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,stop_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,final_marginal_l2_physical_ref,integrated_marginal_l2_physical_ref,final_deltaF_error,integrated_deltaF_error,final_barrier_height_error,integrated_barrier_height_error,deltaF_ref,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,final_ancestor_ess,final_max_clone_multiplicity,final_max_clone_weight,cumulative_fr_events,cumulative_replacements,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,0.0588063478092435,0.0990268357266294,18.41793419476083,34.18800877623799,0.0747168788408483,0.074706259409518,0.3813814562482261,38.8073731148958,0.1203667581708947,30.37406325925406,0.0887687301998584,32.941872359456426,0.2136588086310551,26522,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.4765625,0.1171875,0.2578125,7.526148736476898,26522
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=1,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,1,0.0,0.1,0.0,1.0,1,0.028773407103742,0.068902350762727,7.555861174575174,19.71158274171015,0.0497454325901826,0.0497358133711374,0.4012009679221657,39.34199562047695,0.038014679227726,4.574012319724642,0.0668976762445256,17.37801491523479,0.2136588086310551,41592,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.37109375,0.125,0.32421875,7.526148736476898,41592
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=2,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,2,0.0,0.1,0.0,1.0,1,0.0272499312632117,0.1014482185569704,9.756814622970218,26.598297833960533,0.0498387901411938,0.0498435764786367,0.3907432325931753,39.01263493241207,0.0500218169567103,9.708828813233868,0.0263225972328765,19.867843728158444,0.2136588086310551,32226,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.359375,0.13671875,0.3203125,7.526148736476898,32226
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=3,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,3,0.0,0.1,0.0,1.0,1,0.0597633603776576,0.1249829805568728,13.690441957414642,31.48502034992643,0.0740896950335329,0.0740931185605953,0.3821087350597466,39.24381460393469,0.0938165989926096,17.2643867648729,0.1363965324884593,30.20834955937048,0.2136588086310551,35070,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.421875,0.09765625,0.26953125,7.526148736476898,35070
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=4,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,4,0.0,0.1,0.0,1.0,1,0.0408941686649353,0.0845730246308815,11.677373275405715,26.792512681654657,0.0517917541906291,0.0517939097820776,0.3839952607307876,39.10195964111616,0.0814745354959987,12.773165512597911,0.067331247000766,24.866353526850524,0.2136588086310551,33536,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.39453125,0.125,0.34375,7.526148736476898,33536
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=5,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,5,0.0,0.1,0.0,1.0,1,0.0173661978596157,0.102818285887458,12.41785255116452,29.247323219713213,0.0605770123390182,0.0606042598885851,0.3887414902743715,38.84903093517901,0.0134622099090888,15.848068918016356,0.0099305516671026,23.40216305198045,0.2136588086310551,32337,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.3984375,0.13671875,0.28125,7.526148736476898,32337
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=6,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,6,0.0,0.1,0.0,1.0,1,0.0144279718837222,0.0662399478875868,9.926257318016308,23.300754156971497,0.0487742395097944,0.0487713702419129,0.4009427007783778,39.03466107480333,0.0043390319381968,11.11220340001363,0.0381238433881412,21.40885433285363,0.2136588086310551,33034,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.375,0.140625,0.33203125,7.526148736476898,33034
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=7,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,7,0.0,0.1,0.0,1.0,1,0.0311285163000313,0.076190716782721,9.729989377123417,25.625365646958805,0.0626942960240733,0.0626930084097354,0.376293224793162,39.532080694297626,0.0595955032635506,7.630433990149877,0.0573786860898732,22.959819185749545,0.2136588086310551,29756,256,0.0,0.0,False,256.0,1,0.00390625,0,0,0.390625,0.09765625,0.34375,7.526148736476898,29756
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=20|seed=0,abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=20,abf_fr_physical,physical,0,0.02,0.1,0.2,0.3,20,0.0903597186498945,0.1241998325533716,20.37924839517936,36.08960422504308,0.0763938088980388,0.3889978699496686,0.385815636671164,38.77697206082593,0.1897968162610359,34.813188286504065,0.13139806954496,35.522997043464656,0.2136588086310551,27534,176,0.00142578125,0.01171875,False,129.00787401574803,7,0.02734375,250,100,0.4765625,0.1328125,0.2421875,2.619779497385025,27534
abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=20|seed=1,abf_fr_physical|tt=physical|g=0.02|eta=0.1|bi=0.2|sf=0.3|fe=20,abf_fr_physical,physical,1,0.02,0.1,0.2,0.3,20,0.0411857230835857,0.0876966909885214,8.059758825261003,20.787317643918403,0.0506748421996261,0.451122018717095,0.4018142343232059,39.01849087239415,0.0640675011959013,5.440775597303873,0.0860623064647783,18.291556583155263,0.2136588086310551,43131,182,0.0012825520833333,0.01171875,False,143.09170305676855,5,0.01953125,250,90,0.3828125,0.12890625,0.3203125,2.619779497385025,43131
