run,stage,method,n_grid,abf_bandwidth,abf_min_count,trust_fraction,max_abs_dB,B_scale,rel_dB,rel_force_median,rel_force_max,max_abs_force_diff,force_diff_pct_of_gmax,curl_legacy,curl_fixed
screen__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns4__fba81a54bb1e,screen,abf,48,0.2,5.0,1.0,1.5041936606507988e-05,18.455132121291562,8.15054398291422e-07,8.819254488928743e-05,9.187970010636111e-05,0.002617419488898456,0.010376027949400308,0.007817020066244225,2.296460843848197e-14
screen__joint2d__pentane__abf__dispersed__b2__N2048__T50000__ns4__d7536a936d0e,screen,abf,48,0.2,5.0,0.9717,0.004228751927311869,5.14692813487205,0.0008216069501069483,0.006467463958244751,0.00906105171651159,0.15090056113410671,1.7860544745730333,0.5136376416497522,1.3987945482264355e-14
screen__joint2d__pentane__abf__trans__b1__N2048__T50000__ns4__3ec4070df0b7,screen,abf,48,0.2,5.0,1.0,1.6021750781192168e-05,19.129598736964954,8.375372113913002e-07,6.596703616450864e-05,7.088614605220169e-05,0.0024021435867243443,0.009358247858837787,0.00592847158250024,2.363802355938666e-14
screen__joint2d__pentane__abf__trans__b2__N2048__T50000__ns4__0ad9e0effd37,screen,abf,48,0.2,5.0,0.9724,0.005979337423434927,5.531908395536721,0.0010808814962046738,0.007661825912200023,0.007749590899576516,0.1652633366135483,1.8179154377718418,0.35656977423073954,1.4285323303217007e-14
screen__joint2d__pentane__abf__trans__b3__N2048__T70000__ns4__386b3585954e,screen,abf,48,0.2,5.0,0.9326,0.002205104142244396,2.7323441090259313,0.0008070374939086666,0.011568713737252613,0.013152047825576557,0.10433587045108045,1.7838640773880687,0.3871122605159615,8.561816211598693e-15
control__joint2d__pentane__abf__dispersed__b1__N2048__T50000__ns6__415135235d8c,control,abf,48,0.2,5.0,1.0,1.7739893037216348e-05,18.516356911591085,9.58066055969753e-07,8.149152279887554e-05,9.472325689188187e-05,0.0026594495575515704,0.010479163803474228,0.007689666373964132,2.2656417967599213e-14
control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,control,fr_estimated,48,0.2,5.0,1.0,1.761026896929252e-05,18.669941309333044,9.432417958640932e-07,7.701556047458377e-05,8.849197463357897e-05,0.002418340090614259,0.009595093514983702,0.007543232152141887,2.260037418685704e-14
control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,control,opes,48,0.2,5.0,0.9835,0.0020847481327264106,8.636267703290489,0.0002413945704730881,0.010986583869635138,0.011205788954606572,0.20461928267941834,1.5250958818354488,1.1293834562414096,1.6468301139037837e-14
production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,production,abf,48,0.2,5.0,0.9724,0.005982553472522412,5.730776149832745,0.0010439342448748438,0.006769343221351631,0.008387502274829631,0.15949527380977205,1.680759630248212,0.38554001046499076,1.3904898809148983e-14
production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,production,fr_estimated,48,0.2,5.0,0.9729,0.007157597009721073,5.678435659387803,0.001260487472088878,0.007748505798776385,0.008930955622596343,0.16044975479511714,1.6890497165551934,0.4298303923534224,1.4152554227874355e-14
production__joint2d__pentane__fr_estimated__trans__b2__N2048__T45000__ns6__3cd11cccd909,production,fr_estimated,48,0.2,5.0,0.9724,0.005991258610325012,5.739140989129149,0.0010439295047243854,0.006812989730835782,0.008366291570058323,0.15974117766467824,1.6647865516909104,0.38287414443209156,1.460721511540021e-14
production__joint2d__pentane__opes__trans__b2__N2048__T45000__ns6__482eb1798187,production,opes,48,0.2,5.0,0.9014,0.005073921748078636,6.438060540669313,0.0007881133947136107,0.01830830112965915,0.01991691719793843,0.182819650378026,2.253775513894687,0.6037015898968952,1.077775509076438e-14
smoke__joint2d__pentane__abf__dispersed__b1__N128__T1200__ns2__ba56159fa2c0,smoke,abf,24,0.2,5.0,0.9497,0.030000325042365716,7.867403886175468,0.0038132432853843976,0.028964437390714665,0.03014972450531847,0.5173721367828212,3.7240925787744996,0.9303380918260588,8.4078603356674e-15
smoke__joint2d__pentane__fr_estimated__dispersed__b1__N128__T1200__ns2__a6ae749be682,smoke,fr_estimated,24,0.2,5.0,0.9497,0.030032066045448502,7.865774244310778,0.0038180686493984165,0.02898496755944346,0.03014843915138857,0.5173330664421185,3.7261733896537677,0.9303990743191977,7.633152779039775e-15
smoke__joint2d__pentane__fr_oracle__dispersed__b1__N128__T1200__ns2__fa410a80ad0b,smoke,fr_oracle,24,0.2,5.0,0.9497,0.030000325042365716,7.867403886175468,0.0038132432853843976,0.028964437390714665,0.03014972450531847,0.5173721367828212,3.7240925787744996,0.9303380918260588,8.4078603356674e-15
smoke__joint2d__pentane__fr_uniform__dispersed__b1__N128__T1200__ns2__1f57f9cf869c,smoke,fr_uniform,24,0.2,5.0,0.9497,0.030032066045448502,7.865774244310778,0.0038180686493984165,0.02898496755944346,0.03014843915138857,0.5173330664421185,3.7261733896537677,0.9303990743191977,7.633152779039775e-15
smoke__joint2d__pentane__opes__dispersed__b1__N128__T1200__ns2__274796e149f1,smoke,opes,24,0.2,5.0,0.9141,0.021409095322858285,5.399914860842322,0.003964709791650071,0.030487207481488768,0.033371006810039495,0.39912025221106584,3.9101323678638953,0.8805199101022526,7.220376713752474e-15
