step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,row,seed
10000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,0,5300
10000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
10000,A6b,0.07573842622458632,32,False,0.0,0.0,0,0.0,False,,2,5302
10000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
10000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,4,5304
10000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
10000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
10000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
10500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
10500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
10500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
10500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
10500,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,4,5304
10500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
10500,A6b,0.20570797491462295,32,False,0.0,0.0,0,0.0,False,,6,5306
10500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
11000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
11000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
11000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,2,5302
11000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
11000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,4,5304
11000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
11000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,6,5306
11000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
11500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
11500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
11500,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,2,5302
11500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
11500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
11500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
11500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,6,5306
11500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
12000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
12000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
12000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,2,5302
12000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,3,5303
12000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,4,5304
12000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,5,5305
12000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
12000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
12500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
12500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
12500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,2,5302
12500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,3,5303
12500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
12500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
12500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,6,5306
12500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
13000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
13000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
13000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,2,5302
13000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
13000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
13000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,5,5305
13000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
13000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
13500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,0,5300
13500,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,1,5301
13500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,2,5302
13500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
13500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,4,5304
13500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
13500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
13500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
14000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
14000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
14000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,2,5302
14000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
14000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
14000,A6b,0.0,25,False,0.0,0.0,0,0.0,False,,5,5305
14000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
14000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
14500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,0,5300
14500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,1,5301
14500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,2,5302
14500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
14500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
14500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,5,5305
14500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,6,5306
14500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
15000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
15000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
15000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,2,5302
15000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
15000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,4,5304
15000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
15000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,6,5306
15000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
15500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
15500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
15500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,2,5302
15500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
15500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
15500,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,5,5305
15500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
15500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,7,5307
16000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
16000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,1,5301
16000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,2,5302
16000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,3,5303
16000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,4,5304
16000,A6b,0.0,26,False,0.0,0.0,0,0.0,False,,5,5305
16000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,6,5306
16000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,7,5307
16500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
16500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
16500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
16500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
16500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
16500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
16500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
16500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
17000,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,0,5300
17000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
17000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
17000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
17000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
17000,A6b,0.0,26,False,0.0,0.0,0,0.0,False,,5,5305
17000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,6,5306
17000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
17500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
17500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,1,5301
17500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,2,5302
17500,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,3,5303
17500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
17500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
17500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
17500,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,7,5307
18000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
18000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
18000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
18000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,3,5303
18000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,4,5304
18000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,5,5305
18000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
18000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,7,5307
18500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,0,5300
18500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
18500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,2,5302
18500,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,3,5303
18500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,4,5304
18500,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,5,5305
18500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
18500,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,7,5307
19000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,0,5300
19000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,1,5301
19000,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,2,5302
19000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
19000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,4,5304
19000,A6b,0.0,27,False,0.0,0.0,0,0.0,False,,5,5305
19000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,6,5306
19000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
19500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,0,5300
19500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,1,5301
19500,A6b,0.0,28,False,0.0,0.0,0,0.0,False,,2,5302
19500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,3,5303
19500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,4,5304
19500,A6b,0.0,31,False,0.0,0.0,0,0.0,False,,5,5305
19500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,6,5306
19500,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,7,5307
20000,A6b,0.0,30,False,0.0,0.0,0,0.0,False,,0,5300
20000,A6b,0.0,29,False,0.0,0.0,0,0.0,False,,1,5301
20000,A6b,0.06598550602774951,32,False,0.0,0.0,0,0.0,False,,2,5302
