step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,row,seed,hold_max,n_clones,cooldown_until
10000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.1653237443560025,0,5200,,,
10000,A4a,0.2776117714854348,32,True,0.5777146253329364,0.0,30,144.0,False,,3.8536717622655123,1,5201,716.0,30.0,10716.0
10000,A4a,0.2255229751231901,32,True,0.3890161368690938,0.0,27,66.0,False,,3.8564799783549786,2,5202,632.0,27.0,10632.0
10000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.288969184936927,3,5203,,,
10000,A4a,0.2768560050841067,32,True,0.6396857508964171,0.0,29,150.0,False,,4.93710091991342,4,5204,711.0,29.0,10711.0
10000,A4a,0.23537422919946133,32,True,0.5548920635456871,0.0,22,116.0,False,,2.5695977633477636,5,5205,716.0,22.0,10716.0
10000,A4a,0.08783687648737293,32,True,0.5169918040365875,0.0,24,90.0,False,,2.809325396825397,6,5206,711.0,24.0,10711.0
10000,A4a,0.2970200448783826,32,True,0.6297878642949932,0.0,29,172.0,False,,3.2411187770562773,7,5207,716.0,29.0,10716.0
10000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.322406088535121,8,5208,,,
10000,A4a,0.13327702333418018,32,True,0.49290200501269155,0.0,31,108.0,False,,3.218474927849928,9,5209,716.0,31.0,10716.0
10000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.5342654657170787,10,5210,,,
10000,A4a,0.1455813696543236,32,True,0.4892733819989199,0.0,25,106.0,False,,2.86764181998557,11,5211,716.0,25.0,10716.0
10000,A4a,0.1578460025667765,32,True,0.3911162721172273,0.0,26,72.0,False,,3.201765422077922,12,5212,678.0,26.0,10678.0
10000,A4a,0.1785566980186948,32,True,0.5090824776435441,0.0,29,98.0,False,,3.600582837301587,13,5213,678.0,29.0,10678.0
10000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.1049675324675325,14,5214,,,
10000,A4a,0.17165393988537664,32,True,0.5204002969405567,0.0,31,120.0,False,,4.454901695526695,15,5215,716.0,31.0,10716.0
10500,A4a,0.13062647177328215,32,True,0.5906445441280714,0.0,32,160.0,False,,4.71111562049062,0,5200,716.0,32.0,11216.0
10500,A4a,0.23214916202433059,32,False,0.0,0.0,0,0.0,True,,,1,5201,,,
10500,A4a,0.21221632226838105,32,False,0.0,0.0,0,0.0,True,,,2,5202,,,
10500,A4a,0.10677805515962646,32,True,0.603900526633687,0.0,33,166.0,False,,4.916885371572872,3,5203,716.0,33.0,11216.0
10500,A4a,0.22680893133782348,32,False,0.0,0.0,0,0.0,True,,,4,5204,,,
10500,A4a,0.3182460632116308,32,False,0.0,0.0,0,0.0,True,,,5,5205,,,
10500,A4a,0.10818753474330443,32,False,0.0,0.0,0,0.0,True,,,6,5206,,,
10500,A4a,0.2277251601585256,32,False,0.0,0.0,0,0.0,True,,,7,5207,,,
10500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.3336882651398785,8,5208,,,
10500,A4a,0.17050619395774472,32,False,0.0,0.0,0,0.0,True,,,9,5209,,,
10500,A4a,0.1966218936545348,32,True,0.5876976858897648,0.0,31,158.0,False,,4.133559929653679,10,5210,716.0,31.0,11216.0
10500,A4a,0.12343436372008511,32,False,0.0,0.0,0,0.0,True,,,11,5211,,,
10500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,12,5212,,,
10500,A4a,0.21547639937659213,32,False,0.0,0.0,0,0.0,True,,,13,5213,,,
10500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.6983708048224178,14,5214,,,
10500,A4a,0.13250716337584342,32,False,0.0,0.0,0,0.0,True,,,15,5215,,,
11000,A4a,0.13942789418966703,32,False,0.0,0.0,0,0.0,True,,,0,5200,,,
11000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.8474002699809153,1,5201,,,
11000,A4a,0.2538236405231295,32,True,0.28971568338680853,0.0,19,42.0,False,,2.104944534632035,2,5202,632.0,19.0,11632.0
11000,A4a,0.1448821760791669,32,False,0.0,0.0,0,0.0,True,,,3,5203,,,
11000,A4a,0.29296408756263986,32,True,0.2617312771995819,0.0,19,38.0,False,,2.223960588023088,4,5204,576.0,19.0,11576.0
11000,A4a,0.2734251625047669,32,True,0.28285790461275606,0.0,18,40.0,False,,2.185855203823954,5,5205,632.0,18.0,11632.0
11000,A4a,0.12942342438948398,32,True,0.26070316036571717,0.0,17,38.0,False,,2.0517237103174604,6,5206,632.0,17.0,11632.0
11000,A4a,0.22628353819863858,32,True,0.24586053854178902,0.0,18,36.0,False,,3.161698457792208,7,5207,504.0,18.0,11504.0
11000,A4a,0.24166712669914164,32,True,0.5126118142462819,0.0,35,114.0,False,,5.40252187049062,8,5208,678.0,35.0,11678.0
11000,A4a,0.16846645757809717,32,True,0.201753951794213,0.0,10,24.0,False,,2.1898967352092353,9,5209,632.0,10.0,11632.0
11000,A4a,0.19874327689307883,32,False,0.0,0.0,0,0.0,True,,,10,5210,,,
11000,A4a,0.14719901206056668,32,True,0.30423683934741513,0.0,17,46.0,False,,2.284551993145743,11,5211,678.0,17.0,11678.0
11000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.946812169312169,12,5212,,,
11000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,1.8241365265558813,13,5213,,,
11000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,4.13436507936508,14,5214,,,
11000,A4a,0.19182987687779027,32,False,0.2511883760457897,0.0,0,0.0,False,,1.9847943722943724,15,5215,,,
11500,A4a,0.18226260903324665,32,True,0.3185266716342122,0.0,22,48.0,False,,3.169063401875902,0,5200,632.0,22.0,12132.0
11500,A4a,0.19774722698985794,32,True,0.23569192640612166,0.0,14,28.0,False,,2.461133658008658,1,5201,576.0,14.0,12076.0
11500,A4a,0.2760335758214722,32,False,0.0,0.0,0,0.0,True,,,2,5202,,,
11500,A4a,0.07321239759646629,32,True,0.356579729070064,0.0,18,56.0,False,,2.2569534632034634,3,5203,678.0,18.0,12178.0
11500,A4a,0.2378758512861791,32,False,0.0,0.0,0,0.0,True,,,4,5204,,,
11500,A4a,0.20244601349070254,32,False,0.0,0.0,0,0.0,True,,,5,5205,,,
11500,A4a,0.16735013121150602,32,False,0.0,0.0,0,0.0,True,,,6,5206,,,
11500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,7,5207,,,
11500,A4a,0.14189388027653496,32,False,0.0,0.0,0,0.0,True,,,8,5208,,,
11500,A4a,0.11192755931743426,32,False,0.0,0.0,0,0.0,True,,,9,5209,,,
11500,A4a,0.23087115737303265,32,True,0.2024030009328595,0.0,16,32.0,False,,2.1925550144300145,10,5210,504.0,16.0,12004.0
11500,A4a,0.10379891584369393,32,False,0.0,0.0,0,0.0,True,,,11,5211,,,
11500,A4a,0.1093876918290155,32,True,0.2713286107759283,0.0,18,38.0,False,,2.3728321158008656,12,5212,648.0,18.0,12148.0
11500,A4a,0.22664999134608654,32,True,0.2925953926908937,0.0,16,44.0,False,,2.243494092712843,13,5213,678.0,16.0,12178.0
11500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.328893698893699,14,5214,,,
11500,A4a,0.18501029837457558,32,True,0.2226296175297874,0.0,18,38.0,False,,2.560822510822511,15,5215,648.0,18.0,12148.0
12000,A4a,0.18238311451532715,32,False,0.0,0.0,0,0.0,True,,,0,5200,,,
12000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,1,5201,,,
12000,A4a,0.1875901622889078,32,True,0.20096811660741798,0.0,12,24.0,False,,2.062472943722944,2,5202,576.0,12.0,12576.0
12000,A4a,0.1347201407110191,32,False,0.0,0.0,0,0.0,True,,,3,5203,,,
12000,A4a,0.2927776488657079,32,False,0.1329786743682175,0.0,0,0.0,False,,0.9301914231601731,4,5204,,,
12000,A4a,0.27256253692775906,32,False,0.19896843959342816,0.0,0,0.0,False,,1.432865485209235,5,5205,,,
12000,A4a,0.15962848115922187,32,True,0.19810191201525248,0.0,16,32.0,False,,2.6984138257575765,6,5206,504.0,16.0,12504.0
12000,A4a,0.2543653255336333,32,False,0.2328403616533265,0.0,0,0.0,False,,1.8824156746031746,7,5207,,,
12000,A4a,0.15726261039013253,32,False,0.2362789079584729,0.0,0,0.0,False,,1.8585046897546897,8,5208,,,
12000,A4a,0.2119570980989912,32,False,0.14197123054599495,0.0,0,0.0,False,,1.6546232413419912,9,5209,,,
12000,A4a,0.22958321912847376,32,False,0.0,0.0,0,0.0,True,,,10,5210,,,
12000,A4a,0.09120272812990111,32,False,0.2266790122449662,0.0,0,0.0,False,,1.9924941378066376,11,5211,,,
12000,A4a,0.0775772008210463,32,False,0.0,0.0,0,0.0,True,,,12,5212,,,
12000,A4a,0.30160432625060474,32,False,0.0,0.0,0,0.0,True,,,13,5213,,,
12000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,4.0077014383466,14,5214,,,
12000,A4a,0.11634083903459347,32,False,0.0,0.0,0,0.0,True,,,15,5215,,,
12500,A4a,0.200347331787045,32,False,0.17235777979747405,0.0,0,0.0,False,,1.5408414502164502,0,5200,,,
12500,A4a,0.16836994900927033,32,True,0.2141716926572556,0.0,15,30.0,False,,2.37142068001443,1,5201,504.0,15.0,13004.0
12500,A4a,0.1677985452563165,32,False,0.0,0.0,0,0.0,True,,,2,5202,,,
12500,A4a,0.0960862002929355,32,True,0.337959886080844,0.0,19,54.0,False,,2.392654220779221,3,5203,678.0,19.0,13178.0
12500,A4a,0.22197003878531013,32,True,0.23383589312922953,0.0,12,26.0,False,,2.2678763077200577,4,5204,622.0,12.0,13122.0
12500,A4a,0.2599391818501795,32,True,0.17841122453577915,0.0,17,34.0,False,,2.3608811327561328,5,5205,504.0,17.0,13004.0
12500,A4a,0.15097278341810497,32,False,0.0,0.0,0,0.0,True,,,6,5206,,,
12500,A4a,0.169477761740589,32,True,0.3238643706940186,0.0,22,52.0,False,,4.257052669552669,7,5207,632.0,22.0,13132.0
12500,A4a,0.18338960505450802,32,True,0.2073880433333192,0.0,13,26.0,False,,2.1150184884559886,8,5208,475.0,13.0,12975.0
12500,A4a,0.1406665796959795,32,False,0.14728025598271463,0.0,0,0.0,False,,1.6623241341991342,9,5209,,,
12500,A4a,0.16534619044788523,32,True,0.19621524985365837,0.0,15,30.0,False,,3.0062240710678214,10,5210,436.0,15.0,12936.0
12500,A4a,0.11583508309511323,32,True,0.40209092427047716,0.0,18,78.0,False,,3.115300324675325,11,5211,716.0,18.0,13216.0
12500,A4a,0.07998065014485056,32,False,0.29886060910396395,0.0,0,0.0,False,,1.771757756132756,12,5212,,,
12500,A4a,0.20119870959668013,32,False,0.15901915757902385,0.0,0,0.0,False,,1.931890331890332,13,5213,,,
