step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,row,seed,hold_max,n_clones,cooldown_until
10000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,9.425843636441755,0,5200,,,
10000,A4b,0.27761177149349403,32,True,0.8004029926088055,0.0,67,462.0,False,,7.606979377330305,1,5201,24.0,67.0,10024.0
10000,A4b,0.225522975123682,32,True,0.6976562319981612,0.0,69,256.0,False,,7.835667882744495,2,5202,19.0,69.0,10019.0
10000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,8.912170217620718,3,5203,,,
10000,A4b,0.27685600508410707,32,True,0.767339977144323,0.0,69,350.0,False,,8.824909122651292,4,5204,26.0,69.0,10026.0
10000,A4b,0.23537422919946144,32,True,0.6940233460266253,0.0,65,258.0,False,,6.962049415725886,5,5205,24.0,65.0,10024.0
10000,A4b,0.08783687648716408,32,True,0.7321423040618081,0.0,63,294.0,False,,6.947783978174603,6,5206,25.0,63.0,10025.0
10000,A4b,0.2970200448774043,32,True,0.7352113037430305,0.0,74,296.0,False,,8.101199302127611,7,5207,24.0,74.0,10024.0
10000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,8.942833526372427,8,5208,,,
10000,A4b,0.13327702333418348,32,True,0.7709972199120604,0.0,62,372.0,False,,7.096387985869637,9,5209,23.0,62.0,10023.0
10000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,6.692969318457434,10,5210,,,
10000,A4b,0.1455813696546288,32,True,0.7659015773220755,0.0,63,344.0,False,,6.882405570557156,11,5211,21.0,63.0,10021.0
10000,A4b,0.15784600256676984,32,True,0.7187245811677403,0.0,65,290.0,False,,7.782173295454546,12,5212,20.0,65.0,10020.0
10000,A4b,0.1785566980184781,32,True,0.7563459194014073,0.0,64,310.0,False,,7.35142016147857,13,5213,20.0,64.0,10020.0
10000,A4b,0.0,30,False,0.0,0.0,0,0.0,False,,4.900162809744013,14,5214,,,
10000,A4b,0.17165393988524988,32,True,0.8002556943619767,0.0,66,460.0,False,,8.620734030426224,15,5215,20.0,66.0,10020.0
10500,A4b,0.13062647178435385,32,True,0.786075641540731,0.0,70,380.0,False,,8.93090703439695,0,5200,22.0,70.0,10522.0
10500,A4b,0.21548805614446886,32,True,0.5934197630226345,0.0,52,152.0,False,,5.108323363464493,1,5201,32.0,52.0,10532.0
10500,A4b,0.23296021327512662,32,True,0.49647869514997217,0.0,43,108.0,False,,4.007260916872593,2,5202,16.0,43.0,10516.0
10500,A4b,0.10677805515959177,32,True,0.7479299228304636,0.0,75,338.0,False,,9.631816620879121,3,5203,23.0,75.0,10523.0
10500,A4b,0.23740414357518863,32,True,0.6629360452817049,0.0,57,214.0,False,,5.379456099037642,4,5204,23.0,57.0,10523.0
10500,A4b,0.3161016445326799,32,True,0.6121370379913167,0.0,52,184.0,False,,5.646926873489374,5,5205,26.0,52.0,10526.0
10500,A4b,0.15397481818198605,32,True,0.5993054998973494,0.0,51,156.0,False,,4.807028914678126,6,5206,23.0,51.0,10523.0
10500,A4b,0.26395917097633315,32,True,0.6527204510235766,0.0,48,200.0,False,,4.28327643557423,7,5207,25.0,48.0,10525.0
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,9.038824131803258,8,5208,,,
10500,A4b,0.17425867283912572,32,True,0.5346040699005975,0.0,42,126.0,False,,4.3124042585784315,9,5209,19.0,42.0,10519.0
10500,A4b,0.1966218936545341,32,True,0.7356147233630865,0.0,65,294.0,False,,7.747576121794872,10,5210,23.0,65.0,10523.0
10500,A4b,0.11955952926368389,32,True,0.507938392658131,0.0,48,116.0,False,,5.322599467418546,11,5211,21.0,48.0,10521.0
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,4.776816603219128,12,5212,,,
10500,A4b,0.22650085627092528,32,True,0.49894084301168107,0.0,43,110.0,False,,4.363615509895307,13,5213,21.0,43.0,10521.0
10500,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,5.903396484041646,14,5214,,,
10500,A4b,0.12612961042625048,32,True,0.6224385068711845,0.0,43,168.0,False,,4.142435515873016,15,5215,16.0,43.0,10516.0
11000,A4b,0.15823922844661908,32,True,0.5012285972501891,0.0,44,106.0,False,,3.869486703495773,0,5200,19.0,44.0,11019.0
11000,A4b,0.18980518347930084,32,True,0.49028787411791147,0.0,41,104.0,False,,3.902536085153273,1,5201,39.0,41.0,11039.0
11000,A4b,0.0,31,True,0.7638539196505102,0.0,52,350.0,False,,5.187101166263496,2,5202,25.0,52.0,11025.0
11000,A4b,0.0,31,True,0.553427035247399,0.0,49,150.0,False,,4.944483983861068,3,5203,22.0,49.0,11022.0
11000,A4b,0.21745656579593184,32,True,0.5380944072359363,0.0,43,116.0,False,,3.669928940568475,4,5204,43.0,43.0,11043.0
11000,A4b,0.31706869582709163,32,True,0.6790606923565602,0.0,60,234.0,False,,5.92515986969112,5,5205,28.0,60.0,11028.0
11000,A4b,0.0,31,True,0.5043532887001965,0.0,45,112.0,False,,4.3944178132844955,6,5206,16.0,45.0,11016.0
11000,A4b,0.22652557476453167,32,True,0.5306442142040678,0.0,46,118.0,False,,4.55087291861189,7,5207,27.0,46.0,11027.0
11000,A4b,0.2416671266997072,32,True,0.8508223935733641,0.0,82,666.0,False,,10.473577038259942,8,5208,26.0,82.0,11026.0
11000,A4b,0.14346107028874347,32,True,0.47527196001047367,0.0,42,98.0,False,,4.231614399792176,9,5209,22.0,42.0,11022.0
11000,A4b,0.0,31,False,0.0,0.0,0,0.0,False,,5.003737549610414,10,5210,,,
11000,A4b,0.14172210562734994,32,True,0.5479821256385481,0.0,48,128.0,False,,5.200602871779343,11,5211,24.0,48.0,11024.0
