seed,arm,e_F_final,e_F_full_final,e_Fprime_final,e_F_integrated,ancestor_ess_final,n_replacements,gamma_final,tau_final
5200,A6c,0.06844581592372538,0.118317285058961,0.21556491795099458,20.1874274280066,256.0,0,"[0.0022157688495444434, 0.004240777993353198, 0.002816480704915081, 0.005293704158797847, 0.008036562712862818, 0.008067268904746239, 0.00518607099674261, 0.0027939952053042914, 0.0016564523030729804, 0.0013382424258573944, 0.0014246217415462509, 0.0028939694479169025, 0.011423558057769356, 0.06094133540198065, 0.05854224151757237, 0.005047913118560085, 0.004311796579605717, 0.07100592287908145, 0.05970109207452424, 0.013017431611528584, 0.0028012439279440984, 0.001305624375164036, 0.0011863455482288726, 0.0013820495524706706, 0.001641672056994314, 0.0022509988558942207, 0.0032280787113295436, 0.004038840361668567, 0.0036632426862453016, 0.0027780380003179696, 0.0022819300516529685, 0.0021306310821473523]","[NaN, 0.024899530524813564, 0.013811503257280953, 0.014950469996585015, 0.013200669616722676, 0.014048523529124593, 0.013909335052291366, 0.012686885078937244, 0.011777084395138412, 0.01345888022171178, 0.011331252840288188, 0.014136489394204468, 0.01644166990425629, 0.02492300999218509, 0.025369411639979834, 0.01692931397220387, 0.012020002884871855, 0.030568444831763776, 0.02842147152343686, 0.018323835147379824, 0.01339258263891442, 0.007691389040833389, 0.007951985801646768, 0.012197012081764132, 0.010772560585191673, 0.013164908338528467, 0.015300808283290626, 0.016321155485442745, 0.01570600270100764, 0.012640552664188752, 0.010317449083679596, 0.010137974506820682]"
5201,A6c,0.06543975395139598,0.09269970173607515,0.20294731088759677,20.829292453782138,256.0,0,"[0.0022328129580240536, 0.0020616059082559706, 0.0016748219340308678, 0.006320021040045193, 0.006617884689505539, 0.00511754378921766, 0.0034591325754029204, 0.0021298770606385953, 0.0013840086998762506, 0.0011033076741091261, 0.0013235085283395229, 0.0027766537802863837, 0.01860027897813722, 0.07189482435565346, 0.039053050961038234, 0.0034669464955035347, 0.0034341121454700752, 0.060572418045223335, 0.07022775584182614, 0.009499192075977055, 0.0017799688138441236, 0.0010972758087619367, 0.0011072412467088664, 0.001157804441421217, 0.0014754364510478884, 0.002024612939456858, 0.0025388059278494794, 0.0037983355954104786, 0.004137486103960987, 0.002930807219601024, 0.0015937242463629872, 0.0023003472459020265]","[0.014704105011089246, 0.008905815646021211, 0.004841875086319384, 0.015869845101789064, 0.011790857846904451, 0.012154911369952136, 0.012272544918365347, 0.01159311925276132, 0.011497674142314607, 0.010372866592135323, NaN, 0.012910855531702736, 0.021004396482323582, 0.025686114012856476, 0.017588589361181163, 0.017243636442569505, 0.015414772544565346, 0.026499283723798128, 0.02585644327821377, 0.015284424848161603, 0.010350758323684409, 0.007038524569778763, 0.011960641125373695, 0.009274452617687313, 0.010737686338633631, 0.012017105692688958, 0.011401546062476332, 0.01579625882135945, 0.01719973843141405, 0.013623788457037336, 0.0093106211232847, 0.012646549177886253]"
5202,A6c,0.052499289473796784,0.08997172172666565,0.19382713901506965,22.265063338968993,256.0,0,"[0.0021917882517244894, 0.0028291457046456733, 0.0031705652582925655, 0.007463065463158209, 0.011444080583327812, 0.004671785208507413, 0.004598108189361811, 0.002123382307431367, 0.001413255427554755, 0.0012565999068685065, 0.001431379361390028, 0.0030999393037470027, 0.018469710853868358, 0.06874966645353921, 0.05456648550797401, 0.004370199697566504, 0.004436627525805608, 0.05999249231128071, 0.06167496083976348, 0.008397546146840091, 0.0017619202261641659, 0.001241058223416894, 0.0011599040287839097, 0.001216084237519953, 0.0016589223414454118, 0.0027136945920465142, 0.0031184264205672174, 0.005605807991565025, 0.0031635102581840466, 0.002652368188914866, 0.0026854853367767385, 0.0025260934484560536]","[0.012700589894916443, 0.012060163238585083, 0.012281444276963847, 0.017503818883807004, 0.019705427549417204, 0.009231625089981396, 0.016109776704934797, 0.011607379079927059, 0.010545868021386764, 0.013642379052451714, 0.011008682173154396, 0.010971037571272711, 0.017768020508098753, 0.02615571714129136, 0.02306997290348525, 0.01564879604031661, 0.014635558656256152, 0.023701984567775263, 0.026549070227999967, 0.013918313156094209, 0.008722081924247217, 0.008989834185468934, 0.007364556073916906, 0.006966527734588589, 0.012261808969201812, 0.01931548791178394, 0.016231905571415454, 0.025602578212264904, 0.012471265775755065, 0.011534441563360913, 0.014736026780304204, 0.014132399273141584]"
5203,A6c,0.08166718122774048,0.08392745437856101,0.18082136535014437,27.806148123098986,256.0,0,"[0.0027187668644056886, 0.002009724892437546, 0.0032810703105856827, 0.0054611178651465305, 0.005549407684999246, 0.005927410305808569, 0.0034298996347538946, 0.0020791994108735855, 0.0014643708068298009, 0.0011653626861306524, 0.001425276502766332, 0.004103409205959412, 0.035496454512701836, 0.07072116709478428, 0.04768595105660265, 0.004635405073164941, 0.004303582228821028, 0.07461407379026892, 0.054909106304104914, 0.009982589368958654, 0.002258319136741325, 0.0012303548464024149, 0.0011769279662948108, 0.0013622914065796697, 0.001410359991394571, 0.001786042150452256, 0.002483483754474796, 0.0036707715546109806, 0.0030721120570040587, 0.0025563452171599214, 0.0021880087623016844, 0.002282976973972088]","[0.01711158268750737, 0.011375536702162856, 0.011399207604417148, 0.012951800653970252, 0.011512767403906029, 0.015769381206643278, 0.012076936624722175, 0.010652574931991237, 0.012148585568959591, 0.01204244923981619, 0.010126816791260738, 0.012426211765643631, 0.028079831534414547, 0.024767299770139705, 0.020723652819253147, 0.01914269505635297, 0.013195017500803416, 0.029838890401171318, 0.024849477394227153, 0.02108564069140287, 0.013622722149382371, 0.008731519357562811, 0.009628599912289912, 0.011756423654185324, 0.007612815509094256, 0.008207877954993139, 0.010233977796216044, 0.015843612310529127, 0.012204406966694961, 0.011970291084061429, 0.010873313203040169, 0.013078326201749877]"
5204,A6c,0.06772544776125733,0.09934004370239617,0.20239193966125302,25.574136785511634,256.0,0,"[0.0030761163071636476, 0.0030227062071371113, 0.0030734940785573134, 0.008051976040188872, 0.007861485044350105, 0.007805192024361995, 0.004714565523121978, 0.002416905524066356, 0.0016607930140076334, 0.001303227147406352, 0.0017944220166620849, 0.003651102406518685, 0.02616960890579373, 0.06940679091726105, 0.08198056231912441, 0.0036589030397341394, 0.005261653228995696, 0.07402152335087654, 0.041508957674274864, 0.012177788837061826, 0.0026026289518097916, 0.0014219255642034744, 0.0013339252763077602, 0.0014448682761193268, 0.0016779310085966517, 0.0025056568284284016, 0.003982328414156565, 0.004479860159226697, 0.004381706572504906, 0.002079118747542546, 0.002100399905439263, 0.002547757051574787]","[0.021204105158722036, 0.014891376531296, 0.012409418173631167, 0.01875141683874213, 0.011910432618133342, 0.015309486360948817, 0.01438905369379804, 0.010768289490930408, 0.011454056604033756, 0.010071902242517252, 0.015775970628217926, 0.009796800270033304, 0.02110545664795285, 0.024845120222818512, 0.03963313560095323, 0.012848424058969186, 0.01718723807509739, 0.030991485715058786, 0.017622809601876274, 0.016005451456077145, 0.01419912872824689, 0.010765365478263718, 0.01088418899278344, 0.010925912751820735, 0.010335710205776807, 0.015208464876097692, 0.021053797074664163, 0.021038169111931824, 0.018727846852378674, 0.006882233158882032, 0.006735063045873355, 0.013661472286456183]"
5205,A6c,0.10222084532628282,0.11102525088911855,0.2616381735956226,27.48204028151748,256.0,0,"[0.0025039256024098557, 0.0021259493621034993, 0.004153002098680941, 0.002199075370810052, 0.007732818551562486, 0.009395070261545596, 0.004231678833164718, 0.002275513577885567, 0.0015531778693823719, 0.0012420648611672575, 0.0013997034792208986, 0.0029316076073824925, 0.028546667743461807, 0.08015867571223703, 0.04064191500359401, 0.003142985336002431, 0.004591811611456992, 0.07820841938728651, 0.05790098553987207, 0.014058552278972769, 0.002705929273711966, 0.001279861246611506, 0.001252987944329544, 0.0013553299359378367, 0.0014267756773651379, 0.0025117205115590705, 0.0033412730204011145, 0.004724806441620932, 0.003623054810005682, 0.003279152687943085, 0.0019176565914568924, 0.0029104591542005336]","[0.01682426093544369, 0.013038065911606807, 0.020127255579217535, 0.003873758903228846, 0.01142630714708649, 0.01413288493556908, 0.010047927288492851, 0.00937703597638884, 0.010934121884416326, 0.012011271824121317, 0.009677576438883638, 0.009924810788158284, 0.023714846015777804, 0.02436016039186079, 0.02138963769074171, 0.016598068187688, 0.019885109477143562, 0.033069880112515396, 0.021089108453555855, 0.017846618244418622, 0.014581982868444001, 0.008867920132998421, 0.011956959690175796, 0.01162996346203085, 0.007254293143033055, 0.015979099356446282, 0.015796850904434282, 0.019023166970945117, 0.013018992346784322, 0.01430904652604991, 0.0074458004394189516, 0.017876265492584503]"
5206,A6c,0.09950088127412521,0.11030833466076903,0.2336254238952446,29.540407766962698,256.0,0,"[0.002684270069964762, 0.0021378894624030052, 0.003106806652847227, 0.003533395712922786, 0.010860443081787316, 0.006666612783042865, 0.0037495825897116185, 0.0020786472934703195, 0.0013696693749938621, 0.0011364531774885724, 0.0014833056367717283, 0.004160740642990398, 0.02667049871190759, 0.060168249236719824, 0.04129967204812185, 0.0030092361445566915, 0.00391548540533643, 0.06267483625518007, 0.06479143884488817, 0.008312763824304688, 0.0020208070583927, 0.0012052214679299728, 0.0012299333607496679, 0.001368794252039804, 0.0016386614243729231, 0.002029189742543286, 0.0041962957521143205, 0.0042052745134058805, 0.004157451098882206, 0.0028103035908812056, 0.00304183887516882, 0.002706660671433243]","[0.017289361206612924, 0.012262824464804407, 0.010971836035212368, 0.005710520726795827, 0.016889330041246094, 0.012891272695380054, 0.010740331374007253, 0.009719792320442023, 0.009285718944717615, 0.007631691050078595, 0.010872928190966632, 0.012197765867524997, 0.019345336452395084, 0.019572721519788644, 0.02083640126824589, 0.015187094504089688, 0.015350995224439534, 0.02562827920661037, 0.02635207246086246, 0.01679556826039461, 0.011835844913047698, 0.006941803656553621, 0.01102097524194497, 0.01174167325538805, 0.011716906254479187, 0.010955373485261573, 0.02183142094042933, 0.016449238651448244, 0.016783824639252782, 0.012918985004102162, 0.016300961083649316, 0.015024700699054958]"
5207,A6c,0.058086598726876465,0.09322961056419285,0.2093420957805633,22.921658085801365,256.0,0,"[0.002970048870702788, 0.0037463643026341125, 0.0035940209980563223, 0.003932828670591039, 0.010406791705183674, 0.007477356524273967, 0.003276698151741927, 0.0020098704242040395, 0.0017092882754413546, 0.0012837514952722642, 0.0015102495150353494, 0.003574309218450324, 0.03254321244787605, 0.06448770272942515, 0.04482194896577925, 0.004178438079106728, 0.006526426639721044, 0.06044387917624139, 0.04423446988618313, 0.012302268957253849, 0.002175877445370859, 0.001391021986253713, 0.0012457860738541195, 0.001393552834730608, 0.0016811564462996791, 0.002368961331776573, 0.0028170169348792126, 0.003510591474134582, 0.0036131512675278057, 0.0030092712587441468, 0.0024367230469608874, 0.002068726299087379]","[0.02116869814849795, 0.017520127354713484, 0.01582399227600386, 0.007840057282634264, 0.017278733749454676, 0.015104039659150166, 0.009234743348628355, 0.00801712710123837, NaN, 0.012525131216329371, 0.010620336499904282, 0.01162053992897416, 0.030272524483570613, 0.025149282373545107, 0.01953864623707427, 0.01429128016681588, 0.020564499450829984, 0.023717190302422503, 0.01998375123328181, 0.02091803234183136, 0.01118944605598289, 0.012309819942017035, 0.009217456138883222, 0.011702150301342435, 0.01221394126302123, 0.015559711597670679, 0.013169168304301098, 0.013956397916384602, 0.015004533079596594, 0.014609202836272029, 0.010441983619701068, 0.0096649386868525]"
5208,A6c,0.05344679531604578,0.0811174767562661,0.17277399974617108,20.984538476488787,256.0,0,"[0.002293957396698689, 0.0026488600705802776, 0.003084955946000032, 0.0056577118450308024, 0.00868408353748716, 0.005666561987217355, 0.002956263208843078, 0.002567037510176783, 0.0014156696444745575, 0.0011823663453536869, 0.0013193990855537739, 0.0027827533404711623, 0.014523561342891499, 0.06817054165554932, 0.06346290505017697, 0.0038339150329704443, 0.0032868974062872118, 0.04974673430069186, 0.05484109357856129, 0.011948256254951132, 0.0022738106805444665, 0.0013429257931145743, 0.0011712325245799807, 0.0011798238535679123, 0.0017322998178440708, 0.0021784779472880707, 0.0038463956026866548, 0.003956651483645693, 0.0034609854952927475, 0.003067490523331803, 0.0017593036811085708, 0.0025736191224144684]","[0.014936097425736275, 0.01300234065019396, 0.013630497643303749, 0.015135083747012355, 0.015357976888986671, 0.01215337639088971, 0.00829441560840119, 0.013403124291655622, 0.010074630653974468, 0.010445668364129378, 0.009441759127532309, 0.012707292316296675, 0.018116381955081466, 0.025076879058412854, 0.025162918453079098, 0.015674076010522706, 0.011582902377315447, 0.01935502708169355, 0.022602410301072427, 0.017724571591792717, 0.013007097066506728, 0.012929201316667756, 0.010489428772074046, 0.006758371672159737, 0.01304693609868544, 0.012110833359146622, 0.019004766929447966, 0.01664407339172167, 0.014606938193107322, 0.0161206691702403, 0.011845324769544812, 0.016240510214218108]"
5209,A6c,0.0934677309315394,0.10634879063139414,0.24062627603417877,24.488317261347564,256.0,0,"[0.0025744012529708826, 0.0022245789812811627, 0.002786968644331096, 0.005392521622631489, 0.006605058292598821, 0.009375170746673597, 0.006086751008598223, 0.0030334827350638966, 0.0017015680180255482, 0.001246527291298034, 0.0014460741281911882, 0.0025763464303465806, 0.02264173751194161, 0.07657419172998893, 0.04060821987690045, 0.0037763102928286664, 0.003353032942929768, 0.04973539749693358, 0.047920147628026134, 0.011209254684264062, 0.002229394433970121, 0.0012863118127399214, 0.0012601441695580609, 0.00137748355060806, 0.00154011449512015, 0.00213045544154185, 0.0033668438655210034, 0.004250336574475252, 0.0053983222424914094, 0.003060988256882973, 0.002863810378652062, 0.002628344514786788]","[0.016913700478113386, 0.013762693482669853, 0.01084363723346132, 0.014683606927789796, 0.010223108643869801, 0.015066555333886717, 0.014334021637553589, 0.012287742624417603, 0.012504653494355675, 0.011074857464730522, 0.011941107514854547, 0.010128653719200423, 0.02259555669674288, 0.024642609910452102, 0.02227225616611789, 0.02183687732807801, 0.012553816951853786, 0.021697866781246026, 0.018460243335635663, 0.01708570354047623, 0.012343313231518398, 0.009081669154045669, 0.011684670766906326, 0.011632255299371086, 0.009274676045698673, 0.011081805713053887, 0.015823276522256537, 0.017537099923335093, 0.02244787668020598, 0.013494884697476275, NaN, 0.015074487358961323]"
