config_id,method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_integrated_l2_F,iqr_integrated_l2_F,median_integrated_l2_Fprime,iqr_integrated_l2_Fprime,median_final_marginal_l2_uniform,iqr_final_marginal_l2_uniform,median_final_marginal_l2_target,iqr_final_marginal_l2_target,median_mean_fr_event_fraction,iqr_mean_fr_event_fraction,median_max_fr_event_fraction,iqr_max_fr_event_fraction,median_barrier_crossings,iqr_barrier_crossings,median_frac_left,iqr_frac_left,median_frac_barrier,iqr_frac_barrier,median_frac_right,iqr_frac_right,frac_nan
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0.01,0.075,0.2,5,5,0.0146438478032414,0.0009986276689442006,0.0774316474438464,0.021523717058848993,15.921778448586403,0.5471827867039405,40.67892955207286,3.977311730247216,0.0330220130321123,0.0065179744746886,0.0330208614644333,0.0065199712362519965,1.3125000862146407e-06,1.2500000252657632e-07,0.0010000000474974,0.0,490062.0,40442.0,0.342,0.013999999999999957,0.174,0.01899999999999999,0.32,0.013000000000000012,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0.01,0.075,0.4,5,5,0.011973576338127,0.0004145603355427997,0.0672525303029562,0.008270082602376203,15.24662204164353,1.2119706589249848,38.93514390445256,1.6781593529902281,0.0334520897188777,0.0023465236077897036,0.0334541136433353,0.002349619853675898,1.0833334044946242e-06,1.6708543929174384e-07,0.0010000000474974,0.0,505884.0,36899.0,0.322,0.01100000000000001,0.179,0.008000000000000007,0.336,0.016000000000000014,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0.01,0.075,0.0,5,5,0.0140848594849533,0.0007933848570787997,0.0781725760434918,0.014213096087930296,15.725307877652885,0.8746275438124069,40.92809590695544,3.2888630052745995,0.0326225634525743,0.0020434649012690993,0.0326254206055625,0.002050981130553603,1.700000111668487e-06,3.5000002299057063e-07,0.0010000000474974,0.0,485364.0,42969.0,0.321,0.014000000000000012,0.166,0.014999999999999986,0.34,0.01100000000000001,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.15|bi=0.2|fe=5,abf_fr_estimated,estimated,0.01,0.15,0.2,5,5,0.0130693463065426,0.00037394229356100053,0.0800074684233293,0.0019126319742966968,15.867338270268888,0.471138378567284,42.23781891710593,3.0293532750168737,0.0194268774790563,0.0021085672741138,0.0194283663981934,0.0021160931690543984,1.0625000697928043e-06,2.496859451639467e-07,0.0010000000474974,0.0,486779.0,25182.0,0.334,0.009000000000000008,0.169,0.00799999999999998,0.327,0.02999999999999997,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.15|bi=0.4|fe=5,abf_fr_estimated,estimated,0.01,0.15,0.4,5,5,0.0145437255072085,0.001994906447183,0.0771958556989335,0.014410248332392503,15.36911851359396,0.6939995322380739,41.80152859543991,3.8560165412804395,0.0191717732600028,0.006744018796946201,0.0191694245993256,0.006741075386449098,8.337521497499741e-07,1.6666667761455751e-07,0.0010000000474974,0.0,498493.0,27627.0,0.328,0.015000000000000013,0.167,0.0010000000000000009,0.338,0.010999999999999954,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.15|bi=0|fe=5,abf_fr_estimated,estimated,0.01,0.15,0.0,5,5,0.0128111205903069,0.0010811404317963014,0.0728256278541433,0.002539812643092207,14.964203000469976,2.0566726837235,40.04115928864162,1.1946384514730823,0.0215580184907273,0.0034057862662047016,0.0215574348915292,0.0034039482090956995,1.350000088677916e-06,6.500000426967751e-07,0.0010000000474974,0.0,501015.0,13085.0,0.327,0.010000000000000009,0.178,0.013000000000000012,0.335,0.03799999999999998,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.1|bi=0.2|fe=5,abf_fr_estimated,estimated,0.01,0.1,0.2,5,5,0.0126346805196996,0.0005335445935104009,0.0778846762271893,0.012523216436541293,15.186212133361918,0.5409872184844495,39.74118207014726,3.0267031362622205,0.0273958424298404,0.0017190464110916973,0.0273981394278475,0.0017249579675759005,1.1250000738982636e-06,4.375000287382136e-07,0.0010000000474974,0.0,479888.0,39945.0,0.336,0.021999999999999964,0.168,0.01899999999999999,0.322,0.014000000000000012,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.1|bi=0.4|fe=5,abf_fr_estimated,estimated,0.01,0.1,0.4,5,5,0.0128807559940222,0.0014030908626294011,0.0733729826086592,0.0058282460321831125,15.784878845185442,0.7812973135058758,40.53934909021746,1.9682578952994447,0.0260816689074017,0.0021891419314406975,0.026087968100204,0.0021930709840753994,1.0833334044946242e-06,8.333333880727865e-08,0.0010000000474974,0.0,494698.0,3768.0,0.343,0.01799999999999996,0.165,0.008000000000000007,0.327,0.014000000000000012,0.0
abf_fr_estimated|tt=estimated|g=0.01|eta=0.1|bi=0|fe=5,abf_fr_estimated,estimated,0.01,0.1,0.0,5,5,0.0153287393553663,0.003173468594545599,0.067995297350599,0.0017530243223003034,15.308105612786209,1.1237962717905372,38.94105474273462,3.1796721155713783,0.0242400658826763,0.0045612623155016005,0.02424066014671,0.004560380337890999,1.500000098531018e-06,1.4999999621068105e-07,0.0010000000474974,0.0,507698.0,15753.0,0.323,0.035999999999999976,0.167,0.026999999999999996,0.339,0.01100000000000001,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0.02,0.075,0.2,5,5,0.013021369383148,0.0047667957070032,0.0751653133325394,0.01755692537775201,14.777090896066005,2.0587993829939677,40.04077103319607,4.4939275177846625,0.0308659965064544,0.0020715628999042023,0.0308612930828668,0.0020663532195133,2.625000161060598e-06,4.3750003442255547e-07,0.0010000000474974,0.0,488863.0,11371.0,0.345,0.023999999999999966,0.178,0.00899999999999998,0.325,0.014000000000000012,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0.02,0.075,0.4,5,5,0.0129854732750663,0.0018848929584067003,0.0689206711604792,0.006222960243764203,15.004838123018654,0.9260184200692052,40.7248471920171,1.6445764654531771,0.032404317696104,0.0026945715970977044,0.0324046007698505,0.0026921002321489,2.2500001402174047e-06,2.5041876294077816e-07,0.0010000000474974,0.0,512892.0,1464.0,0.353,0.020999999999999963,0.168,0.009999999999999981,0.327,0.017000000000000015,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0.02,0.075,0.0,5,5,0.0135624183641672,0.0015004829309077997,0.0764418054645717,0.011718122383947205,15.836929160689932,1.7307870507097949,38.65361821000808,3.269011824924874,0.0333972066203561,0.0029004864727097956,0.0333984658252748,0.0029007950291048967,3.200000205652032e-06,4.5050255266687593e-07,0.0010000000474974,0.0,482153.0,4900.0,0.337,0.009999999999999953,0.167,0.013999999999999985,0.326,0.008000000000000007,0.0
