run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0,0.01,0.075,0.0,5,0.0138729664851216,0.0844326058353126,15.759007896706398,41.8787002881145,0.0326225634525743,0.0326254206055625,485364,962,2.0000001313746906e-06,0.0010000000474974,False,0.296,0.189,0.343,14.137531733512878,485364
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,1,0.01,0.075,0.0,5,0.0166749887771402,0.0701761412621302,15.90374519582595,40.92809590695544,0.0312208951103724,0.0312193472082839,514661,967,1.700000111668487e-06,0.0010000000474974,False,0.35,0.161,0.332,14.137531733512878,514661
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,2,0.01,0.075,0.0,5,0.0140848594849533,0.0781725760434918,14.884380352893992,43.28307971987584,0.0287432575074531,0.0287434815445587,537434,971,1.5500001018153853e-06,0.0010000000474974,False,0.329,0.166,0.33,14.137531733512878,537434
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,3,0.01,0.075,0.0,5,0.0118361655369209,0.0683998759471184,14.177407646749067,34.84801369322912,0.0332643600116415,0.0332703283388375,471692,973,1.4500000952466508e-06,0.0010000000474974,False,0.315,0.163,0.355,14.137531733512878,471692
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,4,0.01,0.075,0.0,5,0.0146663513422004,0.0843892373500605,15.725307877652885,38.5898372828399,0.0362411007841995,0.0362429720789026,453859,964,1.900000124805956e-06,0.0010000000474974,False,0.321,0.178,0.34,14.137531733512878,453859
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0,0.02,0.075,0.0,5,0.0147690335947862,0.0765383027203052,17.512387125070074,43.80280057376992,0.0402152005286485,0.0402135356148193,486876,946,3.000000187967089e-06,0.0020000000949949,False,0.347,0.182,0.295,14.137531733512878,486876
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,1,0.02,0.075,0.0,5,0.0139222093268528,0.064820180336358,13.203438615440822,37.5034590411811,0.0333972066203561,0.0333984658252748,529526,936,3.450502740633965e-06,0.0010000000474974,False,0.366,0.161,0.326,14.137531733512878,529526
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,2,0.02,0.075,0.0,5,0.0116593345662759,0.0630555481428289,14.196741224631785,36.69072968238491,0.030838538216324,0.0308385117296714,482153,951,2.650000160429045e-06,0.0010000000474974,False,0.337,0.167,0.318,14.137531733512878,482153
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,3,0.02,0.075,0.0,5,0.012421726395945,0.0771302391792464,15.92752827534158,38.65361821000808,0.0318518851641736,0.0318514091646652,452623,933,3.550000210452708e-06,0.0010000000474974,False,0.33,0.159,0.353,14.137531733512878,452623
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,4,0.02,0.075,0.0,5,0.0135624183641672,0.0764418054645717,15.836929160689932,40.77247086610598,0.0347523716368834,0.0347522041937701,481976,941,3.200000205652032e-06,0.0010000000474974,False,0.337,0.175,0.326,14.137531733512878,481976
