rank,method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_integrated_l2_F,iqr_integrated_l2_F,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_mean_fr_event_fraction,median_max_fr_event_fraction,median_barrier_crossings,frac_nan
1,abf_fr_oracle,oracle,0.1,0.075,0.0,5,5,13.267515252650862,1.1130761613928186,0.0113176817292962,0.0008112211189664,0.0602371305578991,0.0089631986599535,1.6651006130814495e-05,0.0020000000949949,475842.0,0.0
2,abf_fr_estimated,estimated,0.1,0.075,0.0,5,5,14.081111206279628,2.144161230603439,0.0126394139727194,0.0048855896585714,0.0771296723289129,0.0172878003674514,1.5800503492755526e-05,0.0020000000949949,465009.0,0.0
3,abf_fr_oracle,oracle,0.05,0.15,0.2,5,5,14.22604993203304,2.3468823696796037,0.0143259230575079,0.0017785415804156,0.0670912661271228,0.0196881278788537,4.625314340955811e-06,0.0010000000474974,505880.0,0.0
4,abf_fr_oracle,oracle,0.05,0.1,0.0,5,5,14.28305071672855,1.414970747490484,0.013641971470452,0.0020667478191927,0.0678013131512328,0.0057417369717409,8.150251828737964e-06,0.0020000000949949,482479.0,0.0
5,abf_fr_oracle,oracle,0.05,0.1,0.4,5,5,14.32575322817652,0.6866256091281535,0.0125246987012693,0.0005286406880459,0.0646106576832122,0.0089388465179734,3.917085670461044e-06,0.0010000000474974,513616.0,0.0
6,abf_fr_oracle,oracle,0.05,0.075,0.2,5,5,14.34010708849431,0.5926072839752425,0.0119808678401275,0.001008218520704,0.0660630286899391,0.0023326433152206,5.750314409169733e-06,0.0010000000474974,504514.0,0.0
7,abf_fr_oracle,oracle,0.1,0.1,0.0,5,5,14.375002873286713,0.570232560223852,0.0115351943828485,0.000229203750879,0.0638663275978267,0.0035463145746226,1.4900252267580072e-05,0.0020000000949949,489243.0,0.0
8,abf_fr_uniform,uniform,0.05,0.15,0.2,5,5,14.46256526891927,1.678687023074314,0.0124659709401209,0.000497483505419,0.0769331091754065,0.0038273595012186,5.250314387694743e-06,0.0010000000474974,490762.0,0.0
9,abf_fr_oracle,oracle,0.05,0.075,0.0,5,5,14.485156084078604,1.1878306988588676,0.0129234168981972,0.0017047845955024,0.0664468841156969,0.0035635092923897,8.350000471182283e-06,0.0020000000949949,489868.0,0.0
10,abf_fr_estimated,estimated,0.05,0.15,0.4,5,5,14.58694283671768,1.005198804496061,0.0145047824280686,0.0023318945229764,0.0729977352470154,0.0071324457785693,4.417085695725594e-06,0.0010000000474974,527459.0,0.0
11,abf_fr_estimated,estimated,0.05,0.1,0.0,5,5,14.64769277958001,2.1095998107283407,0.0135610255711321,0.0013602897390694,0.0773558706852271,0.0102282172356411,7.35025166250125e-06,0.0020000000949949,508963.0,0.0
12,abf_fr_oracle,oracle,0.02,0.1,0.0,5,5,14.70713328550211,0.5593052717499987,0.0130257971376839,0.002395324953953,0.0701081397986011,0.0048072673562453,3.350251463416498e-06,0.0010000000474974,474580.0,0.0
13,abf_fr_estimated,estimated,0.02,0.1,0.0,5,5,14.720626526953254,1.0193277899824622,0.012398737118458,0.0006680528923877,0.072502957406892,0.0026662988171577,2.9000001813983544e-06,0.0010000000474974,490019.0,0.0
14,abf_fr_oracle,oracle,0.02,0.075,0.2,5,5,14.7631146767667,0.7141540027103908,0.0125661652468716,0.0007142731147341,0.0731311559141505,0.0078258506470934,2.4375001544285626e-06,0.0010000000474974,502485.0,0.0
15,abf_fr_estimated,estimated,0.02,0.075,0.2,5,5,14.777090896066005,2.058799382993968,0.013021369383148,0.0047667957070032,0.0751653133325394,0.017556925377752,2.625000161060598e-06,0.0010000000474974,488863.0,0.0
16,abf_fr_estimated,estimated,0.05,0.075,0.4,5,5,14.828638917420564,0.4777316532748799,0.0151045309930977,0.0022629746115344,0.0717842079858921,0.0058069259059159,5.417085768992062e-06,0.0010000000474974,500030.0,0.0
17,abf_fr_uniform,uniform,0.02,0.1,0.0,5,5,14.83166840910078,1.8855889786205484,0.0121292826446774,0.0018257868092804,0.070968635621454,0.0088386318300971,2.950000180135248e-06,0.0010000000474974,484053.0,0.0
18,abf_fr_estimated,estimated,0.1,0.15,0.4,5,5,14.837200126865866,0.336583530488026,0.0135293172463779,0.0011208313286111,0.0737321271326297,0.0006133209374565,8.16834220434733e-06,0.0020000000949949,489572.0,0.0
19,abf_fr_oracle,oracle,0.05,0.075,0.4,5,5,14.91066819506882,1.2066635420657388,0.0126298876337446,0.0035170192249835,0.0691382897905919,0.001205947652598,5.833752425132843e-06,0.0010000000474974,493978.0,0.0
20,abf_fr_estimated,estimated,0.05,0.15,0.0,5,5,14.961284405510424,0.3806127357199589,0.0134133792355628,0.0021172611644675,0.0774370924201394,0.0125775686933359,6.750251650373684e-06,0.0010000000474974,494120.0,0.0
