seed,method,ess_age_min,ess_age_mean,ess_perm_min,wmax_max,wmax_rare_max,ess_age_rare_min,n_events,n_opportunities,event_fraction,event_fraction_cumulative,n_unique_min
0,abf,1.0,1.0,1.0,0.00048828125,0.012048192771084338,0.04052734375,0.0,161,0.0,0.0,2048.0
1,abf,1.0,1.0,1.0,0.00048828125,0.011764705882352941,0.04150390625,0.0,161,0.0,0.0,2048.0
2,abf,1.0,1.0,1.0,0.00048828125,0.010752688172043012,0.04541015624999999,0.0,161,0.0,0.0,2048.0
3,abf,1.0,1.0,1.0,0.00048828125,0.011111111111111112,0.04394531249999999,0.0,161,0.0,0.0,2048.0
4,abf,1.0,1.0,1.0,0.00048828125,0.012345679012345678,0.03955078125,0.0,161,0.0,0.0,2048.0
5,abf,1.0,1.0,1.0,0.00048828125,0.01098901098901099,0.044433593749999986,0.0,161,0.0,0.0,2048.0
6,abf,1.0,1.0,1.0,0.00048828125,0.01098901098901099,0.044433593749999986,0.0,161,0.0,0.0,2048.0
7,abf,1.0,1.0,1.0,0.00048828125,0.012195121951219513,0.0400390625,0.0,161,0.0,0.0,2048.0
8,abf,1.0,1.0,1.0,0.00048828125,0.011111111111111112,0.04394531249999999,0.0,161,0.0,0.0,2048.0
9,abf,1.0,1.0,1.0,0.00048828125,0.012195121951219513,0.0400390625,0.0,161,0.0,0.0,2048.0
10,abf,1.0,1.0,1.0,0.00048828125,0.011235955056179775,0.04345703125,0.0,161,0.0,0.0,2048.0
11,abf,1.0,1.0,1.0,0.00048828125,0.011235955056179775,0.04345703125,0.0,161,0.0,0.0,2048.0
12,abf,1.0,1.0,1.0,0.00048828125,0.011494252873563218,0.04248046875,0.0,161,0.0,0.0,2048.0
13,abf,1.0,1.0,1.0,0.00048828125,0.012048192771084338,0.04052734375,0.0,161,0.0,0.0,2048.0
14,abf,1.0,1.0,1.0,0.00048828125,0.011235955056179775,0.04345703125,0.0,161,0.0,0.0,2048.0
15,abf,1.0,1.0,1.0,0.00048828125,0.011494252873563218,0.04248046875,0.0,161,0.0,0.0,2048.0
0,fr_uniform,0.9715370018975332,0.9874882094093872,0.7469000729394603,0.00244140625,0.017857142857142856,0.04248046875,363.0,161,0.0011009074145962733,0.17724609375,1753.0
1,fr_uniform,0.9669499527856469,0.98668922506709,0.7246992215145082,0.00244140625,0.019417475728155338,0.04248046875,380.0,161,0.0011524650621118012,0.185546875,1730.0
2,fr_uniform,0.9706161137440759,0.986836599351497,0.729864575908767,0.00244140625,0.018867924528301886,0.04638671875000001,372.0,161,0.0011282026397515528,0.181640625,1734.0
3,fr_uniform,0.9687795648060549,0.9869817588909136,0.7309064953604568,0.00244140625,0.018018018018018018,0.04101562500000001,369.0,161,0.0011191042313664597,0.18017578125,1740.0
4,fr_uniform,0.9624060150375939,0.9865196790687872,0.7032967032967034,0.0029296875,0.01694915254237288,0.04052734375,386.0,161,0.0011706618788819875,0.1884765625,1709.0
5,fr_uniform,0.9696969696969697,0.9865186167817824,0.7252124645892352,0.001953125,0.018518518518518517,0.04248046875,394.0,161,0.001194924301242236,0.1923828125,1715.0
6,fr_uniform,0.9715370018975332,0.987818901373993,0.7372210223182145,0.001953125,0.020833333333333332,0.04052734375,365.0,161,0.0011069730201863355,0.17822265625,1737.0
7,fr_uniform,0.9696969696969697,0.9870575981632256,0.7277896233120114,0.0029296875,0.017543859649122806,0.0400390625,358.0,161,0.001085743400621118,0.1748046875,1736.0
8,fr_uniform,0.9669499527856469,0.987220896409249,0.7252124645892352,0.00244140625,0.020833333333333332,0.04345703125,372.0,161,0.0011282026397515528,0.181640625,1726.0
9,fr_uniform,0.9669499527856469,0.9869196873518442,0.7329992841803865,0.0029296875,0.0196078431372549,0.04150390625,365.0,161,0.0011069730201863355,0.17822265625,1744.0
10,fr_uniform,0.9651272384542884,0.9867925296527934,0.7246992215145082,0.001953125,0.019417475728155338,0.046875,395.0,161,0.001197957104037267,0.19287109375,1718.0
11,fr_uniform,0.9669499527856469,0.9867036933537917,0.7246992215145082,0.0029296875,0.018867924528301886,0.04296875,369.0,161,0.0011191042313664597,0.18017578125,1732.0
12,fr_uniform,0.9687795648060549,0.9867795168530082,0.7372210223182145,0.001953125,0.021052631578947368,0.04296875,377.0,161,0.001143366653726708,0.18408203125,1731.0
13,fr_uniform,0.9696969696969697,0.9871389473407157,0.7293447293447294,0.001953125,0.02040816326530612,0.04248046875,370.0,161,0.0011221370341614907,0.1806640625,1726.0
14,fr_uniform,0.9696969696969697,0.9867610618982412,0.7425670775924583,0.001953125,0.017391304347826087,0.04150390625,364.0,161,0.0011039402173913043,0.177734375,1746.0
15,fr_uniform,0.9706161137440759,0.9883085278337697,0.7518355359765051,0.001953125,0.01818181818181818,0.04394531249999999,342.0,161,0.001037218555900621,0.1669921875,1761.0
