seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct
800,127.7857,117.4777,-8.067,0.32574,0.28662,-12.008
801,128.7332,116.9241,-9.173,0.43467,0.34625,-20.342
802,122.1091,115.3601,-5.527,0.34463,0.31315,-9.134
803,135.4241,125.1204,-7.608,0.43905,0.36871,-16.021
804,142.6036,134.0526,-5.996,0.42092,0.36874,-12.396
805,120.7678,108.1308,-10.464,0.36861,0.29071,-21.135
806,132.2666,123.4428,-6.671,0.37427,0.35333,-5.596
807,131.5060,125.2669,-4.744,0.36884,0.33325,-9.648
808,87.8902,82.8372,-5.749,0.33807,0.32815,-2.935
809,108.9326,105.6612,-3.003,0.33497,0.33323,-0.520
810,134.3933,125.1194,-6.901,0.44696,0.35089,-21.494
811,139.2154,130.6286,-6.168,0.40717,0.35135,-13.709
812,147.3002,139.5109,-5.288,0.36705,0.30572,-16.709
813,147.9679,139.2004,-5.925,0.33255,0.33588,1.002
814,127.8448,123.9956,-3.011,0.36006,0.34557,-4.024
815,129.8515,125.7376,-3.168,0.41920,0.34164,-18.503
