kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,0,0.8610998858838917,47.93188107386499,6.9807988213719225,319.9319670101389,2.619538064312072,0.8950487308685016,0.05434782608695652,5486552.644071851,4509477,10729,2097,82,0,0,,,,0.09765625,0.2685546875,0.08682252783334325,0.115114837340071,0.06259921653734643,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.020563637631463218,0.08751823071978042
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,1,0.8507698357023404,47.17452456194022,6.935793885990539,317.4328086929572,2.5854846836761873,0.8716013886869878,0.043478260869565216,5425605.266453398,4483704,10002,1274,95,0,0,,,,0.1025390625,0.2822265625,0.0806002607204241,0.10697048152074826,0.04984867864404463,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.028107777861778073,0.0864683319450199
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,2,0.8597230261712326,48.10154232702876,6.984803601693597,320.3297996232098,2.54064927758509,0.9034708024756481,0.04891304347826087,5497434.655628778,4549132,10923,1251,137,0,0,,,,0.0947265625,0.2919921875,0.08288735441048442,0.11531328323155288,0.05349491623887791,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.017784408458036638,0.08737829303313495
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,3,0.8682476179987682,48.32144515341817,7.009076073561059,321.13457414843265,2.656226656004537,0.9029613739136407,0.059782608695652176,5531835.151435599,4558368,10986,1490,68,0,0,,,,0.08984375,0.28125,0.08531956646735052,0.11888566514035107,0.05896841074560783,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.014241412832329502,0.08824469332720583
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,4,0.8415380452255279,48.14738128664962,6.946857654096313,320.26149041679116,2.6286849092048934,0.8981050490037757,0.04891304347826087,5457342.467952436,4556873,10698,859,97,0,0,,,,0.099609375,0.2802734375,0.08079379348784142,0.11000168035669808,0.05180531650354993,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.015565472711897914,0.0855300552338611
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,5,0.8674646318761527,48.87992257974216,7.006623588123258,321.88231423127985,2.68745613142924,0.8935910546470907,0.05434782608695652,5536743.446862421,4600653,10819,901,89,0,0,,,,0.099609375,0.2705078125,0.08297543585752315,0.11723299684850216,0.053888786745840495,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.01845198573235661,0.08816511422000493
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,6,0.8408355385524582,46.727276840445406,6.932769411357336,316.62284977809156,2.490068459580387,0.8882568809226585,0.043478260869565216,5434186.964765289,4499619,10421,748,119,0,0,,,,0.0908203125,0.275390625,0.0801299976692079,0.10827003270445282,0.04969932626636856,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.019007729525312135,0.08545865568764843
dist,pentane,abf,abf,trans,1.2,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.2__N1024__T80000__ns8__08a4c7226658,1106.809876404237,7,0.862921718142667,48.562253227287925,6.983122021340822,321.2991827063639,2.6681773063230945,0.8927574784918489,0.06521739130434782,5516560.940272573,4562425,10950,1502,44,0,0,,,,0.0751953125,0.263671875,0.08463578943486963,0.11694371539675372,0.058086537632903036,0.8333333333333334,screen_dist_pentane_b1.2_trans_g256,9.839091567572908,0.01577708074801733,0.08770339336881802
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,0,1.062174429725814,62.962181195567524,8.550247449612353,389.48086431810157,3.210772282069125,1.2134795398322853,0.15053763440860216,6091223.322558172,4895156,12277,2156,148,0,0,,,,0.150390625,0.20703125,0.09336505295708372,0.22480583665847192,0.06123959651164125,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.0015539937908128495,0.10806788182294938
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,1,1.0437376163111332,63.16316559949923,8.478412576966328,389.15510836979666,3.1187289382677856,1.235374844254145,0.15053763440860216,6029461.220600496,4886079,12034,1620,113,0,0,,,,0.1318359375,0.224609375,0.09037309975453811,0.21266719533812484,0.05974777256625333,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,0.0074945849612827785,0.1061920812787734
