seed,int_lf_abf,int_lf_uni,d_int_pct,final_abf,final_uni,d_final_pct,min_ess_uni,wmax_uni,rt_abf,rt_uni
400,45.856,32.767,-28.544,0.08722,0.05232,-40.011,0.1644,0.0186,780764,783670
401,43.728,30.815,-29.530,0.08505,0.05206,-38.795,0.1451,0.0352,777800,786868
402,37.205,30.685,-17.524,0.08328,0.05370,-35.520,0.1635,0.0225,773653,794477
403,41.554,34.841,-16.155,0.09731,0.05606,-42.388,0.1417,0.0322,781918,787625
404,50.389,36.510,-27.543,0.10270,0.05552,-45.938,0.1730,0.0225,777013,790541
405,40.753,32.994,-19.040,0.09620,0.05441,-43.438,0.1706,0.0195,781550,792567
406,41.427,30.029,-27.513,0.09334,0.05048,-45.917,0.1643,0.0186,779639,780369
407,41.564,30.635,-26.295,0.08883,0.05064,-42.986,0.1707,0.0215,777654,790523
408,39.722,36.925,-7.042,0.09532,0.05242,-45.009,0.1766,0.0176,774444,792177
409,44.106,35.127,-20.356,0.09174,0.05401,-41.130,0.1606,0.0205,776984,786231
410,41.981,32.682,-22.151,0.09846,0.05403,-45.131,0.1744,0.0166,777741,786936
411,44.699,34.405,-23.030,0.09290,0.05874,-36.768,0.1588,0.0205,778894,793249
412,41.807,32.674,-21.846,0.08542,0.05132,-39.921,0.1616,0.0195,780221,787034
413,41.473,32.580,-21.443,0.09325,0.04902,-47.429,0.1778,0.0166,784098,793518
414,44.134,38.401,-12.990,0.09779,0.05943,-39.228,0.1760,0.0215,785850,795201
415,42.250,32.968,-21.968,0.08884,0.05529,-37.770,0.1633,0.0225,782370,791707
