seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct
800,165.65379,174.81264,5.529,0.274184,0.306604,11.824
801,173.01921,181.69848,5.016,0.246088,0.274213,11.429
802,199.35259,205.55983,3.114,0.294661,0.304351,3.288
803,157.86726,161.55816,2.338,0.250651,0.270194,7.797
804,184.17384,185.47471,0.706,0.281824,0.279726,-0.744
805,174.33737,174.10380,-0.134,0.275545,0.266002,-3.463
806,169.23301,174.38960,3.047,0.286448,0.303034,5.790
807,170.37844,170.99166,0.360,0.254357,0.265485,4.375
808,162.17998,160.27185,-1.177,0.249249,0.254369,2.054
809,173.48422,179.09433,3.234,0.283518,0.292083,3.021
810,168.75889,178.27029,5.636,0.274942,0.293637,6.800
811,152.86532,160.92264,5.271,0.256078,0.290102,13.286
812,174.15857,184.39642,5.878,0.270498,0.287379,6.241
813,173.22831,181.51262,4.782,0.279200,0.276589,-0.935
814,170.36713,177.34889,4.098,0.274418,0.290645,5.913
815,181.96292,190.82997,4.873,0.306047,0.313813,2.538
