run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,stop_fraction,fr_every,step,t,l2_F,l2_Fprime,marginal_l2_uniform,marginal_l2_target,marginal_l2_physical_ref,barrier_crossings,n_unique_ancestors,gamma_eff,fr_applied,fr_event_fraction,fr_event_fraction_max,fr_events_total,score_mean,score_std,score_min,score_max,deltaF_hat,deltaF_ref,deltaF_error,barrier_height_error,l2_F_R12,l2_Fprime_R12,l2_F_full,l2_Fprime_full,l2_F_legacy,l2_Fprime_legacy,l2_F_barrier,l2_Fprime_barrier,ancestor_ess,max_clone_multiplicity,max_clone_weight,cumulative_fr_events,cumulative_replacements,score_clipped_fraction,score_raw_q01,score_applied_q01,score_raw_q10,score_applied_q10,score_raw_q50,score_applied_q50,score_raw_q90,score_applied_q90,score_raw_q99,score_applied_q99,h,ramp_fraction,x_l2_to_target,x_l2_to_uniform,x_l2_to_physical_ref,fr_score_std,fr_score_max,left_frac,barrier_frac,right_frac
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,0,0.0,2.906603863987052,6.564657815288973,0.0421939051064158,0.0421939051064158,0.4201771372842479,0,256,0.0,False,0.0,0.0,0,,,,,0.0,0.2136588086310551,0.2136588086310551,1.8839792970692677,0.7722826132658906,3.487298309594125,5.408116675855963,9.381946420303988,2.906603863987052,6.564657815288973,0.037083496902375,0.7293641473133242,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0421939051064158,0.0421939051064158,0.4201771372842479,,,0.3125,0.16796875,0.33203125
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,500,1.0,0.5162399696146067,1.2747092925024075,0.0923410194921341,0.0964157862440234,0.3844838791038384,562,256,0.0,False,0.0,0.0,0,,,,,-0.3404819843288464,0.2136588086310551,0.5541407929599016,1.280178731868285,0.5475283308128144,1.3432721022030305,0.5385706777745684,1.1690281130952669,0.5162399696146067,1.2747092925024075,0.0605526244032254,0.9495614621242108,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0964157862440234,0.0923410194921341,0.3844838791038384,,,0.3359375,0.15625,0.38671875
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,1000,2.0,0.4462159713520776,1.0835771776282912,0.0966505847029518,0.0982061905892869,0.3607540438356708,1076,256,0.0,False,0.0,0.0,0,,,,,-0.3338930805936684,0.2136588086310551,0.5475518892247235,1.099321466236607,0.4835202821489813,1.2112162285936487,0.4512029249593716,0.9936305753169978,0.4462159713520776,1.0835771776282912,0.0688159868461635,1.0366820184124843,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0982061905892869,0.0966505847029518,0.3607540438356708,,,0.37109375,0.14453125,0.40234375
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,1500,3.0,0.4040675130347077,0.9781486505798436,0.0970685292748695,0.0980585937577811,0.3567469966845045,1527,256,0.0,False,0.0,0.0,0,,,,,-0.2896480916303048,0.2136588086310551,0.5033069002613599,0.9968913139790364,0.4422056563570995,1.126964019160267,0.4009261843039265,0.8975754506097932,0.4040675130347077,0.9781486505798436,0.0694825015129497,1.0206669270874962,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0980585937577811,0.0970685292748695,0.3567469966845045,,,0.41796875,0.11328125,0.40234375
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,2000,4.0,0.3676576869741831,0.9084734807520456,0.1066816283646016,0.1072282800834814,0.3612536690161831,1979,256,0.0,False,0.0,0.0,0,,,,,-0.2246338030126118,0.2136588086310551,0.4382926116436669,0.9219788183251856,0.4063072205458856,1.0625972912149904,0.3600027806289794,0.833676259877999,0.3676576869741831,0.9084734807520456,0.0697986888651621,1.012823410843612,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.1072282800834814,0.1066816283646016,0.3612536690161831,,,0.4140625,0.12109375,0.41796875
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,2500,5.0,0.3448655520077582,0.8499217979246575,0.0810980034008303,0.0816999034055998,0.3774637021156284,2231,256,0.0,False,0.0,0.0,0,,,,,-0.2016895991508533,0.2136588086310551,0.4153484077819085,0.8601463281782054,0.3798995490208148,1.0012729539622,0.3378192364091195,0.7806691934999381,0.3448655520077582,0.8499217979246575,0.0692076337728312,0.9996879367501345,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0816999034055998,0.0810980034008303,0.3774637021156284,,,0.42578125,0.109375,0.41796875
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,3000,6.0,0.3215567624718322,0.7898306942557899,0.0845239731812006,0.0849300460706001,0.3669545438742487,2551,256,0.0,False,0.0,0.0,0,,,,,-0.1850694886195683,0.2136588086310551,0.3987282972506234,0.7970647699020214,0.3532745272524605,0.934633997491758,0.3145364560721763,0.7263588473960957,0.3215567624718322,0.7898306942557899,0.068100914419162,0.9773062738348772,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0849300460706001,0.0845239731812006,0.3669545438742487,,,0.421875,0.109375,0.42578125
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,3500,7.0,0.3142995619198255,0.7385662784631045,0.1126025558444078,0.1128749520267176,0.3592893661003252,2819,256,0.0,False,0.0,0.0,0,,,,,-0.2219826903402371,0.2136588086310551,0.4356414989712922,0.7438709502298801,0.3397174662307521,0.8766187857614977,0.3088478740495416,0.6796789109399767,0.3142995619198255,0.7385662784631045,0.0663108222224285,0.941354648394236,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.1128749520267176,0.1126025558444078,0.3592893661003252,,,0.4140625,0.09375,0.42578125
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,4000,8.0,0.3094517578126957,0.7122936691877698,0.0960849803706308,0.0963183418266252,0.3647638614422076,3071,256,0.0,False,0.0,0.0,0,,,,,-0.2316481521592024,0.2136588086310551,0.4453069607902575,0.7173601173092198,0.3318933892026536,0.8478626425241966,0.3040615839582165,0.6554873855626673,0.3094517578126957,0.7122936691877698,0.0652402462984021,0.9216196252906578,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0963183418266252,0.0960849803706308,0.3647638614422076,,,0.40625,0.09765625,0.41796875
abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1|seed=0,abf_only|tt=none|g=0|eta=0.1|bi=0|sf=1|fe=1,abf_only,none,0,0.0,0.1,0.0,1.0,1,4500,9.0,0.3058891596257381,0.6851736550798418,0.0969244317939461,0.0970518651959477,0.3712426528012932,3306,256,0.0,False,0.0,0.0,0,,,,,-0.2475403112831991,0.2136588086310551,0.4611991199142542,0.69046755808577,0.3253252090506711,0.8172681928793278,0.3011351487747941,0.6309790490229966,0.3058891596257381,0.6851736550798418,0.0642351230685034,0.8996114504167216,256.0,1,0.00390625,0,0,,,,,,,,,,,,0.05,0.0,0.0970518651959477,0.0969244317939461,0.3712426528012932,,,0.4296875,0.08203125,0.40234375
