seed,init,region,k,pilot_population,first_touch_ps,T_hit_ps,T_hit_frac,T_est_ps,T_est_frac,occ_over_target_final,occ_over_target_secondhalf,mean_occupancy,mean_target,max_rel_deficit_after_hit,max_rel_deficit_second_half,frac_below_half_target,integrated_deficit,entries_corridor_aware,entries_naive,first_entry_ps,final_pmf_err_kT,integrated_pmf_err_kT,marginal_tv
0,concentrated,B0,0,0.4201089937704364,0.0,0.0,0.0,46.0,0.15333333333333332,0.9372055162300451,0.9401560606112125,0.2380035353088835,0.24193349334876996,0.6400421455683281,0.2498410906136449,0.026490066225165563,6.887591825032523,4523,32403,0.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,22.0,0.07333333333333333,0.9093555377914482,0.8979243000111674,0.11857263194349202,0.12757045928887448,0.9537298393840326,0.30258471839882406,0.013245033112582781,4.344759605300813,1403,66796,0.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B2,2,0.18404660798157213,0.0,0.0,0.0,42.0,0.14,1.107751378119047,1.0605605952903137,0.14713398982006104,0.13710929333419475,0.9418211764538669,0.1935344269608934,0.019867549668874173,2.4386760533106364,1935,95503,0.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B3,3,0.09004080251099764,4.746,6.0,0.02,10.0,0.03333333333333333,1.037173152418072,1.1143635667873857,0.1467311527660005,0.14184719770681928,0.9015617959969717,0.0952272234216163,0.013245033112582781,4.422149495945155,1449,0,6.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B4,4,0.07008868272110982,0.0,0.0,0.0,26.0,0.08666666666666667,1.0324904967013222,1.1362604571737955,0.10513456228852529,0.09360426745239366,0.8398724893080984,0.1465661286306413,0.019867549668874173,1.3820959708626237,1205,71272,0.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B5,5,0.037994473226984134,0.0,0.0,0.0,40.0,0.13333333333333333,0.9862082080746444,0.9024783878162668,0.08617608076174436,0.09440097404290036,0.9744070192882618,0.33544179950054737,0.039735099337748346,4.062906088983664,809,67723,0.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B6,6,0.005483067625717974,4.275,6.0,0.02,14.0,0.04666666666666667,0.8669659087842132,0.8439903391802209,0.0834422255167961,0.09822216244398933,0.6009511258618793,0.40783044688217046,0.013245033112582781,5.364290607556917,604,0,6.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
0,concentrated,B7,7,0.001422569912857225,5.266,6.0,0.02,8.0,0.02666666666666667,1.4603098874556883,1.4504462882896079,0.08098783240282079,0.05961243238873386,0.9136356998260213,0.004500970253391615,0.006622516556291391,1.3834962153061476,532,0,6.0,0.2440168348929874,0.5274509902371037,0.0671324423595476
1,concentrated,B0,0,0.4201089937704364,0.0,0.0,0.0,46.0,0.15333333333333332,0.972995095748569,0.9383924631654014,0.23671913833207253,0.2419854300892506,0.685478800076878,0.1796229848685591,0.026490066225165563,7.1661625179322295,4566,33305,0.0,0.24740397505054337,0.5284043143991816,0.06740899747684884
1,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,24.0,0.08,0.7912693717289134,0.9212857849571809,0.12020500062406335,0.12588843841296155,0.9332246346786949,0.24809947418202977,0.013245033112582781,3.593311214829183,1493,67827,0.0,0.24740397505054337,0.5284043143991816,0.06740899747684884
