physics_tag,n_replicas,n_steps,budget,method,name,beta,h,M,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,fr_score_std_median,fr_score_std_q25,fr_score_std_q75,fr_score_clip_fraction_median,fr_score_clip_fraction_q25,fr_score_clip_fraction_q75
b1_h2_w2_n10_a1.5,512,240000,122880000,abf,abf,1.0,2.0,100,2.0,8,0.08318804373748948,0.07647558580220906,0.08426829137770425,0.3153757256529407,0.3054403379082195,0.32297212632752825,62.08742621493162,60.602908925256436,63.50054191319293,0.04463297386798244,0.042931485435193636,0.04515485219109579,0.5057414202880669,0.4761382738605109,0.5106311622637562,1580158.0,1569639.25,1584890.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1_h2_w2_n10_a1.5,512,240000,122880000,fr_estimated,fr_estimated,1.0,2.0,100,2.0,8,0.03638975403003791,0.03421076823664854,0.03954540587516626,0.25274352537449146,0.24272172158407487,0.25904068870162134,42.542429348672464,39.5680512929585,46.95094130560245,0.03754127575575335,0.03639954534973854,0.037870510692330835,0.5150052770418292,0.500316761818076,0.530804942880742,1592502.0,1590334.5,1597975.75,0.00010779673331287926,0.00010663154317515511,0.00011031576342014954,0.000162109375,0.0001591796875,0.000166015625,45.51115495362017,43.09484637197821,48.88198885715623,0.0537109375,0.046875,0.06640625,0.2764975179072139,0.27476110739599574,0.27745600296907624,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,1024,120000,122880000,abf,abf,1.0,2.0,100,2.0,8,0.08668979744686822,0.08497788209593317,0.08946651042915202,0.325448687411273,0.3165534485910464,0.32916210959962183,40.01885341154254,38.983554092635195,42.23520640673143,0.04601224568281463,0.043636314335526505,0.047184563532047884,0.504964023081169,0.4892231354337982,0.5201844914182767,1564437.0,1560834.0,1565498.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1_h2_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,1.0,2.0,100,2.0,8,0.041206859208473515,0.038331144930727125,0.042029215106895994,0.2522026174427834,0.25059310844326277,0.25678954019382205,33.389294349964075,31.397614668649524,34.31336061042072,0.03654005417801806,0.034753682548021046,0.03718825281008248,0.4937985319264149,0.4898974173520694,0.5075105475320069,1584891.5,1579978.0,1587974.5,0.00010514610988200589,0.00010271703211714415,0.00010761180690965451,0.000142578125,0.00013623046874999999,0.00035693359375,171.8115376028303,163.83054896456247,179.5194161829167,0.02197265625,0.017333984375,0.0234375,0.27215170591722976,0.26864519090206207,0.27568571893377564,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,2048,60000,122880000,abf,abf,1.0,2.0,100,2.0,8,0.10612035363001289,0.10342725006179387,0.10740255678507755,0.37218840717040225,0.36599803881552495,0.3844296734794037,29.229611528293837,27.927721481436517,29.588403832222703,0.053829473789050356,0.0522881293156709,0.05742839367652806,0.49524754806835064,0.48993364730002403,0.5015052579456608,1522848.0,1516853.0,1523108.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1_h2_w2_n10_a1.5,2048,60000,122880000,fr_estimated,fr_estimated,1.0,2.0,100,2.0,8,0.05861065117182324,0.054372908594330235,0.060347670817784485,0.2856623113644708,0.2824415916231311,0.29070267781440673,24.3370886863504,23.754609950554745,25.375109062287923,0.042259595906361386,0.040559899301973124,0.043664611807269216,0.494058760247582,0.4899310796631332,0.4978748183848555,1538442.0,1533229.25,1542687.5,0.00010627943967941507,0.0001053335129983752,0.00010742370582583427,0.0001376953125,0.0001279296875,0.00048828125,686.3597685944394,682.2244569092617,696.6317736871578,0.005859375,0.0057373046875,0.00634765625,0.2775080463736631,0.27605306342510283,0.27920280589961477,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,2048,120000,245760000,abf,abf,1.0,2.0,100,2.0,8,0.09187351010770198,0.09069751263847883,0.09224974930363064,0.34037809528735985,0.33437717970009395,0.34368451227048136,39.14612960630298,38.28845199255281,41.00438384084823,0.04830858050146336,0.04645676667523371,0.04913138697124133,0.4931398453886786,0.48161595980775385,0.49921942648477474,3122473.5,3115932.0,3136833.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2_h6_w2_n10_a1.5,512,240000,122880000,abf,abf,2.0,6.0,100,12.0,8,0.024880508249986145,0.024360778736688272,0.02622190075422126,0.14236249758634661,0.14065897384066944,0.14522106819244476,51.32458398544522,47.36124387835176,51.80587362560691,0.017776165740236965,0.016963104620696397,0.0193619146771803,1.2995896932533537,1.2930365578789935,1.3096218272755829,1040814.0,1033595.0,1043506.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2_h6_w2_n10_a1.5,512,240000,122880000,fr_estimated,fr_estimated,2.0,6.0,100,12.0,8,0.017543035039447076,0.017278766627089895,0.018499796065830593,0.12960889477806486,0.12898832805424917,0.1304836397040597,51.6352373961953,41.23318938376072,55.21188767749534,0.01515498764238484,0.014681499017674625,0.016590899676068922,1.2859916186420115,1.2697814603814588,1.3105832556285701,1042849.5,1035473.25,1044645.5,5.890313572418809e-05,5.736064592281994e-05,6.041233437876412e-05,0.00016796875,0.0001396484375,0.0001748046875,73.06133819698084,67.39005464472243,78.25919976250776,0.0439453125,0.03662109375,0.048828125,0.1436769061900956,0.14215414005687135,0.14815378758205455,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,1024,120000,122880000,abf,abf,2.0,6.0,100,12.0,8,0.027859839032988255,0.02529012282337806,0.02891701237055534,0.1660322622125785,0.16210023013563973,0.16777527596465966,44.85091366439953,38.5587390159716,60.060158631643944,0.019148206085115242,0.018336223791864253,0.019683016245871238,1.277956248392151,1.2672494357077182,1.3007978591155598,1000672.5,995026.5,1003272.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
