run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
equal_compute__abf__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__438c15d2bea3,wca_equal_compute,equal_compute,sample,abf,abf,0,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08745075876886968,0.33179994321048384,40.596881701730055,0.04636669079633205,0.41361012441327966,0.14066069547315352,nan,0.4956549289147319,1568434,783915,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,195.29525293130428,195.32179322931916,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed0__N2048__T60000__40878b7e4d53,wca_equal_compute,equal_compute,sample,abf,abf,0,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.0995459917616233,0.3498101107227514,26.393419459233883,0.0525234364262412,0.4456177480335398,0.1420498300260655,nan,0.4949186472600538,1518452,758611,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,132.11703693587333,132.14512154553086,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed0__N512__T240000__480f293658c0,wca_equal_compute,equal_compute,sample,abf,abf,0,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.0757029318317854,0.30572082630906244,59.042343416276275,0.04302508226548032,0.3959535444284788,0.17062809401263593,nan,0.4583824131946979,1560439,780069,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,378.079826711677,378.08490341342986,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__c7285cfff020,wca_equal_compute,equal_compute,sample,abf,abf,1,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08936646528692915,0.324858716134348,39.44082512135501,0.04264422707482196,0.4086545758009619,0.1362373419174069,nan,0.5398105137464759,1561356,780370,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,194.1155972694978,194.11932160146534,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed1__N2048__T60000__131ad315f7ee,wca_equal_compute,equal_compute,sample,abf,abf,1,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.10472100282851739,0.3875416379381705,29.162151385406055,0.053305090125632344,0.4606182814070061,0.12503920247502417,nan,0.49820126866371467,1523216,761006,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,131.16023297049105,131.16300835181028,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed1__N512__T240000__ca9f71389e7e,wca_equal_compute,equal_compute,sample,abf,abf,1,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.07360103595880182,0.29385050683032843,61.12309742824982,0.0389146426435674,0.36633803174933643,0.11083796926160457,nan,0.5424042429436546,1571452,785598,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,378.40308100078255,378.4081054730341,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__e1aca5cb5cb7,wca_equal_compute,equal_compute,sample,abf,abf,2,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08496084796314245,0.3157136593160356,44.25401383894254,0.04711910454777317,0.3941650088154805,0.14510416996427006,nan,0.4916972164765593,1564873,782128,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,188.3080110475421,188.31153177842498,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed2__N2048__T60000__8728dd6b1b1c,wca_equal_compute,equal_compute,sample,abf,abf,2,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.10659226109463123,0.38339235199314814,28.360989968295442,0.058931445328462756,0.47021143188121706,0.16128177970596225,nan,0.492737009379403,1523455,761104,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,131.8647952703759,131.86770960129797,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed2__N512__T240000__d95234e0a14f,wca_equal_compute,equal_compute,sample,abf,abf,2,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08299410299261982,0.30459887270569064,63.46467852142553,0.04494037576597531,0.39440784300198495,0.12922190565033326,nan,0.4794866075262495,1580465,790080,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,381.880468682386,381.88530445378274,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__88f8743a5597,wca_equal_compute,equal_compute,sample,abf,abf,3,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08498356014019674,0.31653434759539245,37.31076570977218,0.04565780056929721,0.4015769914167819,0.15282768786827158,nan,0.46936010769498643,1567376,783374,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,194.3726582173258,194.37629739940166,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed3__N2048__T60000__3a6df63fdbf3,wca_equal_compute,equal_compute,sample,abf,abf,3,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.10591152218592582,0.37316493671667933,30.05114946977146,0.05158220798396001,0.444750731452558,0.13542125288191964,nan,0.5127268434127171,1523073,760925,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,131.94138391595334,131.94426529761404,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed3__N512__T240000__f3a9c5eed1c3,wca_equal_compute,equal_compute,sample,abf,abf,3,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.0898374140113466,0.33488752581569114,61.74488881290334,0.046433767775534956,0.4270315009195075,0.11364959339554291,nan,0.5064535497289461,1590292,794998,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,390.92852995637804,390.93347872793674,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed4__N1024__T120000__f9c1ad7d51ed,wca_equal_compute,equal_compute,sample,abf,abf,4,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08592883612486678,0.3260386586881979,45.07889180629455,0.04396701008909469,0.4057752586249852,0.09956271002142712,nan,0.5316237477256598,1555522,777476,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,194.21900618541986,194.2225847961381,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed4__N2048__T60000__7ba835819c98,wca_equal_compute,equal_compute,sample,abf,abf,4,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.10632918507409996,0.3677299628740235,30.2395724680971,0.05435385745246837,0.458288957860045,0.12615748015083603,nan,0.4955764488766475,1512056,755433,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,134.96019301190972,134.96308105252683,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed4__N512__T240000__54bfc6045303,wca_equal_compute,equal_compute,sample,abf,abf,4,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08361189561374056,0.3261442393814019,71.47219484725082,0.04579828146645723,0.4150376864020748,0.12764245433323132,nan,0.5050292908471877,1579851,789774,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,392.13410292658955,392.13895391859114,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed5__N1024__T120000__5a032ed28114,wca_equal_compute,equal_compute,sample,abf,abf,5,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.07969800556883376,0.3165598155895977,38.017216713618986,0.0407898877121363,0.39015221059721295,0.10680284489669488,nan,0.5163714059824823,1564525,781968,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,197.91041881032288,197.91400557011366,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed5__N2048__T60000__c300d1e0ec4e,wca_equal_compute,equal_compute,sample,abf,abf,5,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.12054256089460653,0.4154458138540242,29.29707167118162,0.061262135454151684,0.5133010716188046,0.1226917527427058,nan,0.5114172257914994,1522860,760834,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,131.66438960190862,131.66727583296597,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed5__N512__T240000__834eadb624c1,wca_equal_compute,equal_compute,sample,abf,abf,5,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08338198448235914,0.3174763711326533,63.60813208849515,0.04487808736639296,0.3962998085969475,0.09779203527484367,nan,0.5140780605544518,1584254,791986,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,398.29424203839153,398.2991854501888,b1_h2_w2_n10_a1.5
