run_id,stage,name,method,seed,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,physics_tag,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,device,cuda_visible_devices,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_fr_application,clones_per_fr_application,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,runtime_seconds,wall_seconds
pilot__abf__b1_h1_w2_n10_a1.5__seed0__N1024__T120000__0fb189b43e90,pilot,abf,abf,0,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.10259158544434231,0.36076961481691633,41.869532626014205,0.15016446316347742,0.059855065808336896,0.09215496162377394,0.4086203671795097,0.4403914539037408,0.036067477322433254,0.18484237603747866,nan,0.3454777254883653,780504,779876,1560380,779876,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,242.33965404424816,242.3665435621515
pilot__abf__b1_h1_w2_n10_a1.5__seed1__N1024__T120000__fb29288f255b,pilot,abf,abf,1,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.10108451502211513,0.34650802486798365,46.29673402198006,0.14724637094563658,0.052247595368258286,0.09770005861387987,0.4115352967625876,0.40361020010740345,0.08635285846377476,0.1517547691303142,nan,0.29457749867434013,777817,777223,1555040,777223,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,244.11295573599637,244.1398593550548
pilot__abf__b1_h1_w2_n10_a1.5__seed2__N1024__T120000__1ff424b898b1,pilot,abf,abf,2,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.10106369538657559,0.35157282163937603,39.20521696086705,0.14737885543405305,0.055285221492829384,0.09499585645762533,0.40316016845876135,0.42161705626616425,0.08382204466775228,0.15023403412573622,nan,0.30528122506501126,779501,778883,1558384,778883,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.1233608396724,243.12689669057727
pilot__abf__b1_h1_w2_n10_a1.5__seed3__N1024__T120000__f9185e5638fc,pilot,abf,abf,3,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,b1_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.09572685357205295,0.34018192316142465,48.77982600659995,0.13828201002027252,0.04830880087999505,0.09503005799412241,0.3890330826971365,0.4067194949812774,0.09869466543978646,0.15386608183029324,nan,0.3102893154692091,774988,774379,1549367,774379,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.3647056631744,243.36835868377239
pilot__abf__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__f6d9dcdaabe7,pilot,abf,abf,0,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.09092868405723217,0.3442602019063328,45.39197739257217,0.1294131913379976,0.04859780248475867,0.0907588039735324,0.34540047158202225,0.4430023893013463,0.07938875712997322,0.14385852438328867,nan,0.4841381572143579,782217,781616,1563833,781616,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,241.01631633471698,241.0198013857007
pilot__abf__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__20dae8d713ac,pilot,abf,abf,1,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.08936480424593732,0.3335549568595416,38.41977433364704,0.12813483713303933,0.050978538336191134,0.08534110877109784,0.3412106499917494,0.4252284685829578,0.08968958300376155,0.11028070946201765,nan,0.47869026497808853,780505,779914,1560419,779914,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.4489340307191,243.45225990191102
pilot__abf__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__dab6c22d478c,pilot,abf,abf,2,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.09474059462249375,0.3494173240157577,42.30088353221191,0.13689169371243878,0.05100228249696801,0.09142416314514772,0.38121383372260353,0.4330470232704924,0.07426037575204583,0.11210723009449458,nan,0.4861662154936194,785066,784489,1569555,784489,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,241.1501732300967,241.15382376033813
pilot__abf__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__8a4548dc1534,pilot,abf,abf,3,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,b1_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.09646176253789972,0.3443548103525197,40.711144657192314,0.13811146737041086,0.050006063277768346,0.09640722972085333,0.37209850912676645,0.42652563706692664,0.08991000653692136,0.12783961819854067,nan,0.5043934897253982,784293,783690,1567983,783690,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.61519831698388,243.61894438881427
pilot__abf__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__9fc598403271,pilot,abf,abf,0,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.09284370906143229,0.35624889144904615,50.77212189163336,0.13357068326539057,0.044692724201200296,0.09452894948686008,0.4516952152532789,0.3884755317585029,0.11729195023018539,0.12906354326122393,nan,0.8032499423149733,785326,784723,1570049,784723,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.0953335100785,243.0989901125431
pilot__abf__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__884e46514d31,pilot,abf,abf,1,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,b1_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.09666228573204669,0.3545532058423194,46.58095457083323,0.1370112212086059,0.04933243341000658,0.09911819916614964,0.43170037666168126,0.4047224921354911,0.09751480060704132,0.10957036876710961,nan,0.7753054560914913,780056,779476,1559532,779476,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.76664993911982,243.77016018051654
