stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,2349,20001,0.00011469153104844758,0.000140625,0.11744412779361033,0.11744412779361033
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,2372,20001,0.00011581452177391131,0.000142578125,0.11859407029648518,0.11859407029648518
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,2226,20001,0.00010868597195140243,0.000142578125,0.11129443527823608,0.11129443527823608
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,2406,20001,0.00011747459502024898,0.000173828125,0.12029398530073496,0.12029398530073496
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,2137,20001,0.00010434048610069497,0.000138671875,0.10684465776711165,0.10684465776711165
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,2094,20001,0.00010224098170091496,0.000130859375,0.10469476526173692,0.10469476526173692
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,2193,20001,0.00010707472438878057,0.0009765625,0.1096445177741113,0.1096445177741113
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,2221,20001,0.00010844184353282336,0.000142578125,0.11104444777761112,0.11104444777761112
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1939,20001,9.467300072496376e-05,0.000125,0.09694515274236289,0.09694515274236289
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1888,20001,9.218289085545723e-05,0.00015625,0.0943952802359882,0.0943952802359882
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1965,20001,9.594246850157492e-05,0.000111328125,0.09824508774561272,0.09824508774561272
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,2037,20001,9.945791772911355e-05,0.000138671875,0.10184490775461227,0.10184490775461227
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1591,20001,7.768166279186041e-05,0.000177734375,0.07954602269886506,0.07954602269886506
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1635,20001,7.982999287535623e-05,0.000126953125,0.08174591270436478,0.08174591270436478
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1600,20001,7.812109394530273e-05,0.000171875,0.07999600019999,0.07999600019999
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1614,20001,7.880465351732413e-05,0.0009765625,0.08069596520173991,0.08069596520173991
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1564,20001,7.636336933153343e-05,0.000130859375,0.07819609019549023,0.07819609019549023
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1581,20001,7.719340595470226e-05,0.00016015625,0.07904604769761511,0.07904604769761511
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1504,20001,7.343382830858458e-05,0.000125,0.0751962401879906,0.0751962401879906
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1646,20001,8.036707539623019e-05,0.000158203125,0.08229588520573972,0.08229588520573972
pilot,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1527,20001,7.45568190340483e-05,0.000146484375,0.07634618269086546,0.07634618269086546
pilot,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1615,20001,7.885347920103995e-05,0.000171875,0.0807459627018649,0.0807459627018649
pilot,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1528,20001,7.460564471776411e-05,0.00015625,0.07639618019099045,0.07639618019099045
pilot,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1482,20001,7.235966326683665e-05,0.0009765625,0.07409629518524073,0.07409629518524073
pilot,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1539,20001,7.514272723863806e-05,0.00016796875,0.07694615269236538,0.07694615269236538
pilot,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1374,20001,6.708648942552872e-05,0.000142578125,0.06869656517174141,0.06869656517174141
pilot,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1355,20001,6.615880143492825e-05,0.000115234375,0.06774661266936653,0.06774661266936653
pilot,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1424,20001,6.952777361131943e-05,0.0009765625,0.0711964401779911,0.0711964401779911
