stage,method,physics_tag,beta,h,M,seed,n_replicas,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,ess_fraction
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,1024,175.1713999331774,175.1713999331774,296,0.013671875,0.0146484375,0.17106582024724357
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,1024,196.06881077038145,196.06881077038145,308,0.0126953125,0.021484375,0.19147344801795063
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,1024,166.7582697201018,164.09640062597808,306,0.01953125,0.021484375,0.1628498727735369
pilot,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,1024,149.79657142857144,149.79657142857144,276,0.0224609375,0.0224609375,0.1462857142857143
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,1024,182.80613668061366,182.80613668061366,302,0.0166015625,0.0205078125,0.17852161785216178
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,1024,182.6787456445993,182.6787456445993,306,0.0166015625,0.0185546875,0.178397212543554
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,1024,169.3983844911147,169.3983844911147,304,0.0205078125,0.0205078125,0.1654281098546042
pilot,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,1024,163.9937441351267,163.9937441351267,298,0.0224609375,0.0234375,0.16015014075695966
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1024,193.03681885125184,193.03681885125184,333,0.0166015625,0.0166015625,0.18851251840942562
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1024,198.368520620507,198.368520620507,334,0.0146484375,0.015625,0.19371925841846388
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1024,184.60845070422536,184.60845070422536,322,0.021484375,0.021484375,0.18028169014084508
pilot,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1024,189.34200072228242,189.34200072228242,308,0.0146484375,0.017578125,0.18490429758035393
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1024,235.21220278151637,235.21220278151637,387,0.0146484375,0.0146484375,0.22969941677882458
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1024,223.29131175468484,223.29131175468484,378,0.0185546875,0.0185546875,0.21805792163543442
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1024,227.45683297180042,227.45683297180042,381,0.0185546875,0.0185546875,0.22212581344902385
pilot,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1024,218.63552960800666,218.63552960800666,364,0.01171875,0.0126953125,0.213511259382819
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1024,251.095785440613,251.095785440613,379,0.0107421875,0.0126953125,0.24521072796934865
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1024,242.50138760407032,242.50138760407032,386,0.01171875,0.0126953125,0.23681776133209992
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1024,213.82055464926592,213.82055464926592,375,0.0234375,0.0234375,0.20880913539967375
pilot,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1024,227.25964456003467,227.25964456003467,371,0.0166015625,0.017578125,0.22193324664065886
