stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.20000000298023224,-0.8008547425270081,-13.795390605926514,0.6554279774427414,nan,44000964.0,-1.0534225702285767,-10.859052658081055,0.8812768135833271
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.19119496643543243,-0.9139103889465332,-11.88437795639038,0.6543487757444382,nan,45777914.0,-1.1344455480575562,-9.816811561584473,0.9556528870451712
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.18238992989063263,-1.0101830065250397,-9.983282566070557,0.6511572152376175,nan,47094828.0,-1.2154685258865356,-8.77457046508789,1.0363059897200146
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.17358490824699402,-1.0907175838947296,-8.309564113616943,0.645988404750824,nan,48065710.0,-1.2964913845062256,-7.732330322265625,1.123765742630337
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1647798717021942,-1.1573498249053955,-6.825460195541382,0.6390579789876938,nan,48796086.0,-1.352218508720398,-6.592520713806152,1.1881677800115114
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1559748500585556,-1.211616188287735,-5.500771641731262,0.6306481957435608,nan,49371955.0,-1.402392864227295,-5.431296348571777,1.2493042488587236
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.1471698135137558,-1.25481316447258,-4.3111125230789185,0.6210905164480209,nan,49858033.0,-1.452567458152771,-4.270069599151611,1.3135867716559593
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.138364776968956,-1.288042277097702,-3.2366414070129395,0.6107456982135773,nan,50296742.0,-1.4839993715286255,-3.2564666271209717,1.3555310586374376
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.12955975532531738,-1.312246412038803,-2.2611624598503113,0.5999825894832611,nan,50713492.0,-1.5048885345458984,-2.325901746749878,1.3841447858260862
pilot,b1_h1_w2_n10_a1.5,abf,1.0,1.0,100,-0.12075471878051758,-1.3282391130924225,-1.3714629113674164,0.5891579389572144,nan,51122112.0,-1.525777816772461,-1.3953361511230469,1.4133626849120504
