run_id,stage,method,physics_tag,beta,h,w,n_dim,M,a,beta_h,seed,n_steps,n_replicas,final_l2_f,final_l2_fp,integrated_l2_f,integrated_l2_fp,l2_f_transition,l2_fp_transition,neff_transition_mean,neff_transition_min,neff_compact,neff_stretched,neff_median_eval,neff_transition_ratio,neff_transition_min_ratio,transition_window_mean_force_error,marginal_l2_uniform,marginal_l2_ref,marginal_tv_ref,marginal_kl_ref,marginal_tv_uniform,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,total_replacement_events,score_std,score_max,score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,ess_fraction,had_nan
production__abf__b1_h1_w2_n10_a1.5__seed0__N1024__T120000__4ab1103bded9,production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,2.0,10,100,1.5,1.0,0,120000,1024,0.0983255474718814,0.3379741262749507,41.73843826180162,176.3262749268875,0.04982670870370419,0.4033627958591755,71131284.71428572,60458888.0,58211505.2,85767009.8,71991860.0,0.9880462140342772,0.8398017220280182,0.4033627958591755,0.12860025786775803,0.3135323202197283,0.20576515988222022,0.10722699421366694,0.0758435185618467,772646,772048,1544694,772048,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h1_w2_n10_a1.5__seed1__N1024__T120000__df929f9725f4,production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,2.0,10,100,1.5,1.0,1,120000,1024,0.10284767044380866,0.35827909733644375,37.27577528732918,151.33896203144835,0.05405073939191494,0.4364526557035763,71563016.35714285,60720680.0,58568849.4,85116703.4,72461988.0,0.9875938865649512,0.8379659691368114,0.4364526557035763,0.12273280328009886,0.3121178193569942,0.19776466897657446,0.11180802579478653,0.06638624896311544,777646,777048,1554694,777048,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h1_w2_n10_a1.5__seed2__N1024__T120000__2adca047dfd9,production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,2.0,10,100,1.5,1.0,2,120000,1024,0.10315123959832545,0.3578036830002999,46.392987606172966,164.80577227336664,0.054387896701706386,0.42967455624100187,71557278.0,60562236.0,57960317.4,85765372.2,72588492.0,0.9857936985383303,0.834322829023642,0.42967455624100187,0.12670971818944327,0.3268898607708847,0.2100914459753181,0.11746571360532496,0.05846353757328332,778421,777826,1556247,777826,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h1_w2_n10_a1.5__seed3__N1024__T120000__3207f3cfe3be,production,abf,b1_h1_w2_n10_a1.5,1.0,1.0,2.0,10,100,1.5,1.0,3,120000,1024,0.09771581331817727,0.34390076678977116,42.867428434706454,164.68810041932522,0.0513638657605009,0.4185531523856872,71783201.85714285,61865996.0,59594408.9,84319238.8,72845252.0,0.9854204616814676,0.8492797306816922,0.4185531523856872,0.18204210744378926,0.27733870276324885,0.16834086335335546,0.0848551713239816,0.09162199695902866,780969,780346,1561315,780346,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__2721f1109b65,production,abf,b1_h2_w2_n10_a1.5,1.0,2.0,2.0,10,100,1.5,2.0,0,120000,1024,0.09239884189654113,0.3349269876090359,37.78489731406954,162.39765594332135,0.047245021339337966,0.4199853593127643,72632036.14285715,61883584.0,59311061.4,86696141.0,73634084.0,0.9863915213891593,0.8404203683717991,0.4199853593127643,0.13429682369397972,0.5038466532634901,0.3188357386987083,0.30740483660561047,0.06759288818067478,780382,779792,1560174,779792,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__f87312a7ffb8,production,abf,b1_h2_w2_n10_a1.5,1.0,2.0,2.0,10,100,1.5,2.0,1,120000,1024,0.09848450204996467,0.3509168509318755,43.11839066115224,162.27961259764794,0.047247598421276446,0.42305844522883246,72435270.85714285,61742948.0,59211655.7,86960690.0,73408580.0,0.9867412073240328,0.8410862599440011,0.42305844522883246,0.12329089937044936,0.4726618445863025,0.3001957641734806,0.2612979506722526,0.06089710277464406,778823,778245,1557068,778245,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__47bd372cecea,production,abf,b1_h2_w2_n10_a1.5,1.0,2.0,2.0,10,100,1.5,2.0,2,120000,1024,0.08974311813109472,0.32504892671431374,37.98909673582804,148.30926816382396,0.04687028299614298,0.4208303043168322,72724952.78571428,61902312.0,59051414.4,86803079.4,73751080.0,0.9860866144023149,0.8393410916829964,0.4208303043168322,0.1445822260569792,0.4692969848171751,0.2968527073881208,0.26623165782933067,0.07839222505283344,781757,781163,1562920,781163,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__59ea81143b93,production,abf,b1_h2_w2_n10_a1.5,1.0,2.0,2.0,10,100,1.5,2.0,3,120000,1024,0.09122162893076358,0.33311278670539596,41.60845651230639,160.87491785301341,0.04744143170433394,0.41938867561825066,72467132.64285715,61866612.0,59384246.6,86601251.8,73470636.0,0.9863414363645518,0.8420590234171922,0.41938867561825066,0.1555034433737458,0.47249573973011727,0.2965540840573768,0.2651444056074575,0.09405876867699699,779153,778533,1557686,778533,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__16982537e208,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,0,120000,1024,0.09029130418765274,0.35048320001624483,50.55853214120057,207.29656194736452,0.043281863442928885,0.39353158015789447,74059192.07142857,63307184.0,60951175.0,89388389.2,74903720.0,0.9887251537230536,0.8451807733981703,0.39353158015789447,0.09781242694374717,0.8006507856074291,0.4801102060350536,0.9265042839537927,0.04212050713684375,781239,780663,1561902,780663,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__d84694fa04da,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,1,120000,1024,0.09489908617322972,0.3372872723411761,51.59255652659891,193.82300830982814,0.04263557331432712,0.3877975416401344,74144936.21428572,62993236.0,60417750.7,89998457.8,74809852.0,0.9911119221875444,0.8420446547601779,0.3877975416401344,0.13511375555476476,0.7857126998539172,0.46280075914998386,0.9061057179972576,0.06763517827445736,780726,780130,1560856,780130,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__9bf0625fd6be,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,2,120000,1024,0.09596504669783451,0.3614259960428922,49.187651789960576,195.7974669725681,0.04389650127053365,0.41220759005704605,74201636.64285715,63250412.0,60590817.9,89860469.4,75091312.0,0.988152086660267,0.8423133158200778,0.41220759005704605,0.12289059139028781,0.7536991266722206,0.4457159566685033,0.8114832593135072,0.07161645603897947,783634,783032,1566666,783032,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h4_w2_n10_a1.5__seed3__N1024__T120000__14d2bf19bc11,production,abf,b1_h4_w2_n10_a1.5,1.0,4.0,2.0,10,100,1.5,4.0,3,120000,1024,0.0960965197221633,0.35622564612523505,49.30920721701041,202.81331803257837,0.04594909766432796,0.39364902891433085,74376790.71428572,62559632.0,59807479.8,90171636.2,75271596.0,0.9881123115057334,0.8311187130933161,0.39364902891433085,0.12552292322767505,0.7745405536842157,0.4599294926295422,0.8577238360236659,0.0751647590766344,785616,785020,1570636,785020,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed0__N1024__T120000__087dbf682224,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,0,120000,1024,0.08642483279193833,0.3323572598461781,53.97435228128607,205.1952924282233,0.036698620688989686,0.34410339738110896,78181874.85714285,67562624.0,64659779.5,96165252.4,78839248.0,0.9916618542219333,0.8569668751787181,0.34410339738110896,0.15106810728236986,0.9463458513216891,0.5258433674392646,1.5087597770512287,0.08903294001094468,814338,813734,1628072,813734,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b1_h6_w2_n10_a1.5__seed1__N1024__T120000__f3cd18297c52,production,abf,b1_h6_w2_n10_a1.5,1.0,6.0,2.0,10,100,1.5,6.0,1,120000,1024,0.0944299883366071,0.3496607624769877,51.885068234061436,210.83095049732742,0.04180419289600345,0.3906553372584799,78155806.21428572,67013156.0,64888131.6,96106171.8,78963576.0,0.989770349487284,0.848659083018226,0.3906553372584799,0.08004288791114272,0.9444692052737031,0.5262227726518862,1.515155882046566,0.047588903224286064,816608,816040,1632648,816040,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
