stage,physics_tag,method,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,l2_fp_transition_median,l2_fp_transition_q25,l2_fp_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,marginal_l2_uniform_median,marginal_l2_uniform_q25,marginal_l2_uniform_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,n_round_trips_median,n_round_trips_q25,n_round_trips_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,min_ancestor_ess_median,min_ancestor_ess_q25,min_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,total_replacement_events_median,total_replacement_events_q25,total_replacement_events_q75
production,b1_h1_w2_n10_a1.5,abf,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,4,0.10058660895784502,0.09817311393345536,0.10292356273243786,0.35085222489503554,0.34241910666106606,0.35792253658433587,42.30293334825404,40.62277251818351,43.74881822757308,0.05270730257620792,0.05097957649630172,0.0541350287193628,0.42411385431334453,0.41475556325405927,0.43136908110664546,0.3128250697883612,0.3034230402085578,0.3168717053575174,0.12765498802860065,0.12571548946210717,0.14196072026176584,1555470.5,1552194.0,1557514.0,777437.0,775798.0,778456.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b1_h1_w2_n10_a1.5,fr_estimated,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,4,0.05034550802157437,0.04727200147564256,0.05395571711786931,0.2717598213553321,0.26579831285593447,0.2810249101766451,30.723131036939137,28.952706706730435,32.71390412212578,0.04457965116501429,0.04282365842357429,0.047151598423197556,0.30934491112553586,0.3002407401508801,0.32520651780291926,0.3119203065763102,0.3074078757136435,0.3219675197893767,0.1133161694141912,0.10797015577685237,0.12001026217509572,1579374.0,1577420.0,1580970.5,788524.0,787537.0,789327.0,0.00011159110013249337,0.00011102960476976152,0.00011162771939528024,0.0001513671875,0.000150390625,0.000158203125,170.96999250638225,158.2361041339961,185.95304728423366,170.96999250638225,158.2361041339961,185.4287119855736,0.01806640625,0.013671875,0.023681640625,2285.5,2274.0,2286.25
production,b1_h1_w2_n10_a1.5,fr_oracle,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,4,0.05214535171849303,0.050275998876447965,0.0540491621116212,0.26684672790617425,0.26554037810364717,0.2682860151832264,31.61783055663227,30.735385628013532,32.25950482924029,0.04324830140596857,0.042036556692436056,0.04396333815923692,0.32277305843880333,0.31942418850049303,0.32654882226652837,0.3120753468142561,0.3022278358412427,0.317317629813339,0.12720547602369336,0.12198335187898382,0.1321027703920752,1573050.0,1568334.75,1577285.0,785459.5,783099.25,787575.0,8.776416647917603e-05,8.640925375606219e-05,8.921673056972151e-05,0.0001181640625,0.00011669921875,0.00012060546875,195.78209455007692,193.26429090239293,199.52765008356613,195.78209455007692,193.26429090239293,199.52765008356613,0.01904296875,0.017578125,0.02001953125,1797.5,1769.75,1827.25
production,b1_h1_w2_n10_a1.5,fr_uniform,120000,1024,1.0,1.0,2.0,10,100,1.5,1.0,4,0.0518456744728405,0.049341503854268436,0.05340377707919329,0.28304851254960545,0.27557987854685034,0.28636608482831083,29.82766305568608,29.136983590241243,31.180702988213053,0.04761570928987873,0.046046016438876916,0.048782242912419574,0.3201434904122145,0.3116976141392296,0.327862241708599,0.29896361235784097,0.2916660376653709,0.3049390504934889,0.1279117260984784,0.12097692252837887,0.13361185850477422,1586460.0,1582092.75,1587204.0,792050.5,789860.5,792417.5,0.0001123723110719464,0.00011198170560221989,0.00011310469632768362,0.000154296875,0.000150390625,0.000361328125,179.701614270385,171.7201826198095,184.98958911527788,179.4684415443909,171.37042353081836,184.98958911527788,0.0166015625,0.0166015625,0.017578125,2301.5,2293.5,2316.5
production,b1_h2_w2_n10_a1.5,abf,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,4,0.09181023541365235,0.09085200123084636,0.09392025693489701,0.3340198871572159,0.3310968217076254,0.3389244534397458,39.798776624067216,37.93804688038841,41.98594004951785,0.0472463098803072,0.04715133675353922,0.04729605674204082,0.42040783181479824,0.4198361883891359,0.42138733954483226,0.47257879215820986,0.4716960510018817,0.4804580467555994,0.13943952487547945,0.13154534261309714,0.14731253038617087,1558930.0,1557531.5,1560860.5,779162.5,778461.0,780134.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b1_h2_w2_n10_a1.5,fr_estimated,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,4,0.04744002515559946,0.04669797837738108,0.048742679635432176,0.2794140407640435,0.27441748638708163,0.28317510532228873,33.1088099942229,32.734378647236575,33.316105637111946,0.04205164796532512,0.04124070400922357,0.042787059098126266,0.34768215596690766,0.34330340972085804,0.3514760237758383,0.4982592527018449,0.4843658505136508,0.5119863980525795,0.1263510879434605,0.11214934341884589,0.14132330146055821,1583807.5,1581188.25,1586100.5,790763.5,789442.5,791915.75,0.00010534141261686916,0.00010432827967976601,0.00010696486660041998,0.00014160156250000002,0.00013232421875,0.0001513671875,166.18422469735526,163.80612297449056,168.5552152863527,166.18422469735526,163.80612297449056,168.5552152863527,0.0224609375,0.021484375,0.023193359375,2157.5,2136.75,2190.75
production,b1_h2_w2_n10_a1.5,fr_oracle,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,4,0.048022445147203226,0.0462283430426951,0.0497304341292312,0.2668710533264863,0.26525544160450854,0.27088313679883785,32.4576737975101,31.027859279628103,33.856524198488145,0.03756992692241315,0.03563045294642464,0.039468200679706106,0.3434443197262493,0.3320275454676964,0.3531044400497275,0.4968478071087725,0.49495529944367006,0.5003431085949621,0.12022390339803884,0.1194007313356205,0.12633111038957595,1572143.5,1568914.5,1576931.25,784989.5,783376.0,787394.25,9.008338645567722e-05,8.863082236513174e-05,9.046178550447477e-05,0.0001240234375,0.0001201171875,0.00033935546875000003,208.5967992805011,203.4580919878144,212.9953544279553,208.5967992805011,203.4580919878144,212.9953544279553,0.0146484375,0.013671875,0.015625,1845.0,1815.25,1852.75
production,b1_h2_w2_n10_a1.5,fr_uniform,120000,1024,1.0,2.0,2.0,10,100,1.5,2.0,4,0.040868286544850134,0.03869015930891925,0.043308718598055546,0.2569491025667828,0.2518826463620137,0.26257950919799766,31.198850903824223,29.540551557969565,32.764443297117786,0.03745057122651002,0.03547149209782128,0.03892460095417616,0.32946259749272455,0.31916366327628837,0.33870066600073784,0.4979897909535258,0.48947033980753907,0.5008394728711575,0.11146636497538037,0.10129387377333172,0.1268765315102619,1583643.5,1582346.25,1584562.25,790674.0,790029.75,791121.25,0.00010727002712364382,0.00010510949061921904,0.00010882024258162092,0.000142578125,0.0001396484375,0.00014697265625,179.80082997700464,174.2995819439712,183.0547926281101,179.80082997700464,174.2995819439712,183.0547926281101,0.015625,0.015380859375,0.016357421875,2197.0,2152.75,2228.75
production,b1_h4_w2_n10_a1.5,abf,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,4,0.09543206643553212,0.09374714067683547,0.09599791495391671,0.35335442307073994,0.3471842180974777,0.35752573360464934,49.93386967910549,49.27881836024795,50.81703823755016,0.04358918235673127,0.043120290910778444,0.04440965036898223,0.39359030453611266,0.39209807052845447,0.39828866920000966,0.7801266267690665,0.769330196931217,0.7894472212922952,0.12420675730898142,0.11662105027865265,0.12792063130944747,1564284.0,1561640.5,1567658.5,781847.5,780529.75,783529.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b1_h4_w2_n10_a1.5,fr_estimated,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,4,0.046514086415676316,0.041289935198719305,0.05104036327409187,0.2693108103254095,0.2567323609681932,0.27869929499243645,37.199072522587485,35.67000537642317,38.24841990397877,0.032993739978594123,0.030745148432387376,0.03448768648122308,0.29867548286857926,0.2879941871997339,0.30690906617080016,0.7690290235240866,0.752857110201544,0.7843511833062438,0.12048964251409322,0.11501735735822702,0.12310512302317841,1584019.5,1580885.0,1586783.0,790925.0,789360.0,792293.0,9.452652367381632e-05,9.336691368556572e-05,9.562510155742213e-05,0.0001240234375,0.000115234375,0.00013525390625,190.70354098416163,186.86870283322358,194.12766200726065,190.70354098416163,186.86870283322358,194.12766200726065,0.017578125,0.01611328125,0.01904296875,1936.0,1912.25,1958.5
production,b1_h4_w2_n10_a1.5,fr_oracle,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,4,0.053022450446503507,0.048475489763136675,0.059203533673909424,0.2791144803874644,0.264356961654188,0.29581045859317195,40.98826728907021,40.2634095179251,41.841592541417334,0.03273632231803142,0.029784781875145255,0.03582000966130422,0.31391723938455285,0.30511923164054117,0.3233080749267409,0.7948611297652988,0.7836562149524714,0.7990102541435038,0.09759116568289206,0.0920895993532413,0.10504679988843718,1577683.5,1576194.5,1579165.5,787803.5,787089.5,788532.0,8.388252462376882e-05,8.274732747737613e-05,8.496889608644568e-05,0.000123046875,0.00011425781249999999,0.00034228515625000003,219.0589709959396,213.42487048147262,222.9365417983432,219.0589709959396,213.42487048147262,222.9365417983432,0.013671875,0.013427734375,0.01416015625,1718.0,1694.75,1740.25
production,b1_h4_w2_n10_a1.5,fr_uniform,120000,1024,1.0,4.0,2.0,10,100,1.5,4.0,4,0.04626559404620419,0.04386155105156973,0.048729204267416365,0.26723066965283426,0.2627926933426227,0.2721987600931306,37.88394365398359,35.340772590089564,40.595690048582924,0.03297321369962471,0.030404549058514124,0.03568666252815404,0.2917028692764199,0.27562208886528683,0.3066864662790625,0.7617620888292989,0.7395510897845703,0.7787468690179855,0.09595291653011803,0.0926344500056326,0.10898700952638997,1589970.0,1587620.0,1593173.0,793890.5,792704.5,795508.0,9.457534935753213e-05,9.31349916879156e-05,9.573495934578271e-05,0.000140625,0.00013330078124999998,0.00014404296875,194.7129738768277,190.9941413831084,197.5504898155447,194.7129738768277,190.9941413831084,197.5504898155447,0.015625,0.015380859375,0.017333984375,1937.0,1907.5,1960.75
production,b1_h6_w2_n10_a1.5,abf,120000,1024,1.0,6.0,2.0,10,100,1.5,6.0,4,0.09596696852678943,0.09242869945043991,0.09793924396244565,0.3499021621533619,0.34533488681928526,0.35168940281280947,53.735975739529565,53.09446645684515,54.24387960094053,0.04289039882597038,0.040527799844250006,0.04410986687515995,0.38892656791512836,0.3764241982741099,0.3911310517366352,0.9454075282976961,0.9420339053793492,0.9585506658900617,0.11552343223685388,0.08946057813550792,0.141602319018151,1630360.0,1627472.5,1633155.5,814887.0,813436.75,816288.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
