stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,2286,20001,0.00011161551297435128,0.000150390625,0.11429428528573571,0.11429428528573571
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,2241,20001,0.00010941835720713964,0.00015234375,0.112044397780111,0.112044397780111
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,2287,20001,0.00011166433865806709,0.000150390625,0.1143442827858607,0.1143442827858607
production,fr_estimated,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,2285,20001,0.00011156668729063546,0.00017578125,0.11424428778561072,0.11424428778561072
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,2143,20001,0.00010463344020298985,0.000130859375,0.1071446427678616,0.1071446427678616
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,2118,20001,0.0001034127981100945,0.000154296875,0.10589470526473677,0.10589470526473677
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,2172,20001,0.00010604938503074847,0.000150390625,0.10859457027148643,0.10859457027148643
production,fr_estimated,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,2247,20001,0.00010971131130943452,0.0001328125,0.11234438278086095,0.11234438278086095
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1966,20001,9.599129418529073e-05,0.000142578125,0.09829508524573771,0.09829508524573771
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1916,20001,9.355000999950003e-05,0.0001328125,0.09579521023948803,0.09579521023948803
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1956,20001,9.55030373481326e-05,0.000115234375,0.09779511024448778,0.09779511024448778
production,fr_estimated,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1901,20001,9.281762474376282e-05,0.000115234375,0.09504524773761312,0.09504524773761312
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,0,1502,20001,7.333617694115294e-05,0.00010546875,0.0750962451877406,0.0750962451877406
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,1,1540,20001,7.519155292235388e-05,0.000123046875,0.07699615019249037,0.07699615019249037
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,2,1522,20001,7.431269061546922e-05,0.0009765625,0.07609619519024048,0.07609619519024048
production,fr_estimated,b1_h6_w2_n10_a1.5,1.0,6.0,100,3,1511,20001,7.377560809459527e-05,0.0001015625,0.07554622268886556,0.07554622268886556
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1659,20001,8.100180928453577e-05,0.0001640625,0.08294585270736463,0.08294585270736463
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1618,20001,7.899995625218739e-05,0.000140625,0.08089595520223988,0.08089595520223988
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1652,20001,8.066002949852507e-05,0.00012890625,0.08259587020648967,0.08259587020648967
production,fr_estimated,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1728,20001,8.437078146092695e-05,0.000158203125,0.0863956802159892,0.0863956802159892
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1584,20001,7.733988300584971e-05,0.000171875,0.0791960401979901,0.0791960401979901
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1587,20001,7.748636005699715e-05,0.0001328125,0.07934603269836508,0.07934603269836508
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1588,20001,7.753518574071297e-05,0.000158203125,0.07939603019849008,0.07939603019849008
production,fr_estimated,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1593,20001,7.777931415929203e-05,0.000126953125,0.07964601769911504,0.07964601769911504
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1581,20001,7.719340595470226e-05,0.000150390625,0.07904604769761511,0.07904604769761511
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1605,20001,7.836522236388181e-05,0.0001484375,0.08024598770061497,0.08024598770061497
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1602,20001,7.821874531273437e-05,0.000166015625,0.08009599520024,0.08009599520024
production,fr_estimated,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1655,20001,8.080650654967251e-05,0.0009765625,0.08274586270686465,0.08274586270686465
production,fr_estimated,b2_h4_w2_n14_a1.5,2.0,4.0,196,0,1578,20001,7.704692890355482e-05,0.000142578125,0.07889605519724013,0.07889605519724013
production,fr_estimated,b2_h4_w2_n14_a1.5,2.0,4.0,196,1,1568,20001,7.655867206639668e-05,0.000177734375,0.0783960801959902,0.0783960801959902
production,fr_estimated,b2_h4_w2_n14_a1.5,2.0,4.0,196,2,1629,20001,7.953703877306135e-05,0.000140625,0.08144592770361482,0.08144592770361482
production,fr_estimated,b2_h4_w2_n14_a1.5,2.0,4.0,196,3,1605,20001,7.836522236388181e-05,0.000134765625,0.08024598770061497,0.08024598770061497
production,fr_estimated,b2_h4_w2_n7_a1.5,2.0,4.0,49,0,1022,20001,4.989984875756212e-05,0.000107421875,0.05109744512774361,0.05109744512774361
production,fr_estimated,b2_h4_w2_n7_a1.5,2.0,4.0,49,1,998,20001,4.8728032348382584e-05,0.000103515625,0.049897505124743766,0.049897505124743766
production,fr_estimated,b2_h4_w2_n7_a1.5,2.0,4.0,49,2,954,20001,4.6579702264886755e-05,8.0078125e-05,0.04769761511924404,0.04769761511924404
production,fr_estimated,b2_h4_w2_n7_a1.5,2.0,4.0,49,3,997,20001,4.867920666466676e-05,9.765625e-05,0.049847507624618766,0.049847507624618766
production,fr_estimated,b2_h6_w2_n10_a1.5,2.0,6.0,100,0,1185,20001,5.785843520323984e-05,0.00016796875,0.0592470376481176,0.0592470376481176
production,fr_estimated,b2_h6_w2_n10_a1.5,2.0,6.0,100,1,1148,20001,5.605188490575471e-05,0.000158203125,0.057397130143492826,0.057397130143492826
production,fr_estimated,b2_h6_w2_n10_a1.5,2.0,6.0,100,2,1197,20001,5.844434340782961e-05,0.000166015625,0.05984700764961752,0.05984700764961752
production,fr_estimated,b2_h6_w2_n10_a1.5,2.0,6.0,100,3,1247,20001,6.088562759362032e-05,0.0009765625,0.06234688265586721,0.06234688265586721
production,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1547,20001,7.553333270836459e-05,0.000142578125,0.07734613269336534,0.07734613269336534
production,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1389,20001,6.781887468126594e-05,0.000138671875,0.06944652767361632,0.06944652767361632
production,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1488,20001,7.265261736913155e-05,0.000123046875,0.0743962801859907,0.0743962801859907
production,fr_estimated,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1477,20001,7.211553484825758e-05,0.0009765625,0.07384630768461577,0.07384630768461577
production,fr_estimated,b4_h2_w2_n10_a1.5,4.0,2.0,100,0,1543,20001,7.533802997350133e-05,0.00015625,0.07714614269286536,0.07714614269286536
production,fr_estimated,b4_h2_w2_n10_a1.5,4.0,2.0,100,1,1594,20001,7.782813984300785e-05,0.00019140625,0.07969601519924004,0.07969601519924004
production,fr_estimated,b4_h2_w2_n10_a1.5,4.0,2.0,100,2,1375,20001,6.713531510924454e-05,0.000126953125,0.0687465626718664,0.0687465626718664
production,fr_estimated,b4_h2_w2_n10_a1.5,4.0,2.0,100,3,1474,20001,7.196905779711014e-05,0.0009765625,0.07369631518424079,0.07369631518424079
production,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,1947,20001,9.506360619469026e-05,0.000197265625,0.09734513274336283,0.09734513274336283
production,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1905,20001,9.301292747862607e-05,0.00019921875,0.0952452377381131,0.0952452377381131
production,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,1889,20001,9.223171653917304e-05,0.0009765625,0.09444527773611319,0.09444527773611319
production,fr_estimated,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,1888,20001,9.218289085545723e-05,0.0009765625,0.0943952802359882,0.0943952802359882
production,fr_estimated,b4_h6_w2_n10_a1.5,4.0,6.0,100,0,2025,20001,9.887200952452377e-05,0.000171875,0.10124493775311234,0.10124493775311234
production,fr_estimated,b4_h6_w2_n10_a1.5,4.0,6.0,100,1,1964,20001,9.589364281785911e-05,0.000201171875,0.09819509024548773,0.09819509024548773
production,fr_estimated,b4_h6_w2_n10_a1.5,4.0,6.0,100,2,1933,20001,9.438004662266886e-05,0.000181640625,0.09664516774161291,0.09664516774161291
production,fr_estimated,b4_h6_w2_n10_a1.5,4.0,6.0,100,3,1913,20001,9.340353294835258e-05,0.0009765625,0.09564521773911304,0.09564521773911304
production,fr_oracle,b1_h1_w2_n10_a1.5,1.0,1.0,100,0,1769,20001,8.637263449327534e-05,0.000119140625,0.08844557772111394,0.08844557772111394
production,fr_oracle,b1_h1_w2_n10_a1.5,1.0,1.0,100,1,1770,20001,8.642146017699115e-05,0.000115234375,0.08849557522123894,0.08849557522123894
production,fr_oracle,b1_h1_w2_n10_a1.5,1.0,1.0,100,2,1825,20001,8.910687278136093e-05,0.0001171875,0.0912454377281136,0.0912454377281136
production,fr_oracle,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,1834,20001,8.954630393480326e-05,0.000125,0.09169541522923853,0.09169541522923853
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,1855,20001,9.057164329283535e-05,0.00012109375,0.0927453627318634,0.0927453627318634
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,1747,20001,8.529846945152742e-05,0.000126953125,0.08734563271836408,0.08734563271836408
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,1838,20001,8.974160666966652e-05,0.0001171875,0.09189540522973852,0.09189540522973852
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,1852,20001,9.042516624168791e-05,0.0009765625,0.09259537023148842,0.09259537023148842
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1774,20001,8.66167629118544e-05,0.000130859375,0.08869556522173891,0.08869556522173891
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1658,20001,8.095298360081995e-05,0.000111328125,0.08289585520723963,0.08289585520723963
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1729,20001,8.441960714464277e-05,0.000115234375,0.0864456777161142,0.0864456777161142
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1707,20001,8.334544210289486e-05,0.0009765625,0.08534573271336433,0.08534573271336433
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,0,1681,20001,8.207597432628369e-05,0.00011328125,0.0840457977101145,0.0840457977101145
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,1,1634,20001,7.978116719164042e-05,0.000111328125,0.08169591520423979,0.08169591520423979
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,2,1643,20001,8.022059834508275e-05,0.000123046875,0.08214589270536474,0.08214589270536474
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,3,1552,20001,7.577746112694365e-05,0.000126953125,0.0775961201939903,0.0775961201939903
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1567,20001,7.650984638268087e-05,0.000115234375,0.07834608269586521,0.07834608269586521
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1710,20001,8.34919191540423e-05,0.0001171875,0.08549572521373931,0.08549572521373931
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1632,20001,7.968351582420879e-05,0.0001171875,0.0815959202039898,0.0815959202039898
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1689,20001,8.24665797960102e-05,0.000125,0.08444577771111444,0.08444577771111444
production,fr_oracle,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1588,20001,7.753518574071297e-05,0.00010546875,0.07939603019849008,0.07939603019849008
