stage,physics_tag,n_steps,n_replicas,beta,h,M,beta_h,abf_l2_f,fr_est_l2_f,fr_uniform_l2_f,fr_oracle_l2_f,R_est,median_gain_pct,n_seeds,n_wins,win_rate,abf_barrier_crossings,fr_est_barrier_crossings,fr_est_final_ess,fr_est_max_anc_frac
production,b1_h1_w2_n10_a1.5,120000,1024,1.0,1.0,100,1.0,0.10058660895784502,0.05034550802157437,0.0518456744728405,0.05214535171849303,1.9979261886629691,49.86585996225365,4,4,1.0,1555470.5,1579374.0,170.96999250638225,0.01806640625
production,b1_h2_w2_n10_a1.5,120000,1024,1.0,2.0,100,2.0,0.09181023541365235,0.04744002515559946,0.040868286544850134,0.048022445147203226,1.9352906140441994,47.960380859067826,4,4,1.0,1558930.0,1583807.5,166.18422469735526,0.0224609375
production,b1_h4_w2_n10_a1.5,120000,1024,1.0,4.0,100,4.0,0.09543206643553212,0.046514086415676316,0.04626559404620419,0.053022450446503507,2.0516809807398326,51.27007532460806,4,4,1.0,1564284.0,1584019.5,190.70354098416163,0.017578125
production,b1_h6_w2_n10_a1.5,120000,1024,1.0,6.0,100,6.0,0.09596696852678943,0.05101317626893092,0.05227629413059756,0.06005353949973375,1.8812192367883822,46.82797246539407,4,4,1.0,1630360.0,1637053.0,238.13943666212555,0.01513671875
production,b2_h1_w2_n10_a1.5,120000,1024,2.0,1.0,100,2.0,0.012989968439111292,0.013191961134566044,0.016069295120799618,0.010883481097099735,0.9846881981083553,-6.528554483313325,4,1,0.25,1017370.5,1038398.0,223.71731917115898,0.0146484375
production,b2_h2_w2_n10_a1.5,120000,1024,2.0,2.0,100,4.0,0.01266033861646191,0.01607157200663059,0.016000402043318446,0.007596564958078847,0.7877473722694133,-29.023698872988483,4,0,0.0,998867.0,1018118.5,217.668737979195,0.0166015625
production,b2_h4_w2_n10_a1.5,120000,1024,2.0,4.0,100,8.0,0.015026841591850052,0.02434467800700805,0.02356552139237469,0.010312130282055404,0.6172536596098872,-61.49238621813576,4,0,0.0,981687.5,984623.5,208.91416340773378,0.01611328125
production,b2_h4_w2_n14_a1.5,120000,1024,2.0,4.0,196,8.0,0.01512173341176276,0.026307167394945742,0.026860790327165002,0.011191439273954096,0.5748142011924864,-84.1214036328356,4,0,0.0,974960.5,996309.0,207.93298792974906,0.0166015625
production,b2_h4_w2_n7_a1.5,120000,1024,2.0,4.0,49,8.0,0.019794395102850394,0.016223833161722184,0.015796596242064767,0.018599868589596315,1.2200812782981794,24.375576320067353,4,3,0.75,1079655.5,1090247.5,332.16080400396544,0.0107421875
production,b2_h6_w2_n10_a1.5,120000,1024,2.0,6.0,100,12.0,0.024590301996017572,0.019560742201626714,0.019547436078507806,0.016729135787080587,1.257125202231467,20.425444177378964,4,4,1.0,1005075.0,1012507.5,274.5781707257537,0.01123046875
production,b4_h1_w2_n10_a1.5,120000,1024,4.0,1.0,100,4.0,0.004548700048615506,0.02525358232263384,0.02258575974792537,0.007942528537230325,0.18012098206513363,-488.78057434744767,4,0,0.0,680849.5,696622.0,212.16493950771797,0.01708984375
production,b4_h2_w2_n10_a1.5,120000,1024,4.0,2.0,100,8.0,0.0082334068474845,0.028243719950099617,0.02790210050892563,0.010685500661735944,0.2915128340753662,-229.76750121730845,4,0,0.0,652897.0,678255.0,212.0107271846241,0.0146484375
production,b4_h4_w2_n10_a1.5,120000,1024,4.0,4.0,100,16.0,0.0156345584947295,0.039661960265601065,0.038761100728133754,0.017127073462218437,0.39419530426713173,-156.01262135634073,4,0,0.0,595681.0,629178.5,164.74068307856584,0.02001953125
production,b4_h6_w2_n10_a1.5,120000,1024,4.0,6.0,100,24.0,0.024898483076040034,0.041363021985978146,0.041361865796261985,0.023078539703001402,0.6019502899106476,-69.10378187321972,4,0,0.0,583260.0,618343.0,152.99209599166878,0.02001953125
