stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,6,301,0.00020764119601328904,0.00078125,0.019933554817275746,0.019933554817275746
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,6,301,0.00020764119601328904,0.00078125,0.019933554817275746,0.019933554817275746
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,5,301,0.0001730343300110742,0.0005208333333333333,0.016611295681063124,0.016611295681063124
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,9,301,0.00031146179401993354,0.00078125,0.029900332225913623,0.029900332225913623
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,10,301,0.0003460686600221484,0.00078125,0.03322259136212625,0.03322259136212625
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,11,301,0.00038067552602436325,0.0010416666666666667,0.036544850498338874,0.036544850498338874
smoke,fr_estimated,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,5,301,0.0001730343300110742,0.00078125,0.016611295681063124,0.016611295681063124
smoke,fr_estimated,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,10,301,0.0003460686600221484,0.0010416666666666667,0.03322259136212625,0.03322259136212625
smoke,fr_oracle,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,12,301,0.0004152823920265781,0.0010416666666666667,0.03986710963455149,0.03986710963455149
smoke,fr_oracle,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,17,301,0.0005883167220376523,0.001488095238095238,0.05647840531561462,0.05647840531561462
smoke,fr_oracle,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,11,301,0.00038067552602436325,0.00078125,0.036544850498338874,0.036544850498338874
smoke,fr_oracle,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,19,301,0.000657530454042082,0.0015625,0.06312292358803986,0.06312292358803986
smoke,fr_oracle,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,20,301,0.0006921373200442968,0.0010416666666666667,0.0664451827242525,0.0664451827242525
smoke,fr_oracle,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,17,301,0.0005883167220376523,0.0018229166666666667,0.05647840531561462,0.05647840531561462
smoke,fr_oracle,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,26,301,0.0008997785160575858,0.0015625,0.08637873754152824,0.08637873754152824
smoke,fr_oracle,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,23,301,0.0007959579180509413,0.0020833333333333333,0.07641196013289037,0.07641196013289037
smoke,fr_uniform,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,4,301,0.00013842746400885935,0.00078125,0.013289036544850499,0.013289036544850499
smoke,fr_uniform,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,10,301,0.0003460686600221484,0.0005208333333333333,0.03322259136212625,0.03322259136212625
smoke,fr_uniform,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,5,301,0.0001730343300110742,0.0005208333333333333,0.016611295681063124,0.016611295681063124
smoke,fr_uniform,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,4,301,0.00013842746400885935,0.0005208333333333333,0.013289036544850499,0.013289036544850499
smoke,fr_uniform,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,10,301,0.0003460686600221484,0.00078125,0.03322259136212625,0.03322259136212625
smoke,fr_uniform,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,11,301,0.00038067552602436325,0.0010416666666666667,0.036544850498338874,0.036544850498338874
smoke,fr_uniform,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,8,301,0.0002768549280177187,0.00078125,0.026578073089700997,0.026578073089700997
smoke,fr_uniform,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,10,301,0.0003460686600221484,0.0010416666666666667,0.03322259136212625,0.03322259136212625
