stage,method,physics_tag,beta,h,M,seed,n_replicas,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,ess_fraction
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,96,85.33333333333333,85.33333333333333,90,0.020833333333333332,0.020833333333333332,0.8888888888888888
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,96,83.78181818181818,83.78181818181818,90,0.03125,0.03125,0.8727272727272727
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,96,86.94339622641509,86.94339622641509,91,0.020833333333333332,0.020833333333333332,0.9056603773584905
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,96,82.28571428571428,82.28571428571428,88,0.020833333333333332,0.020833333333333332,0.8571428571428571
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,96,79.44827586206897,79.44827586206897,86,0.020833333333333332,0.020833333333333332,0.8275862068965517
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,96,72.0,72.0,85,0.041666666666666664,0.041666666666666664,0.75
smoke,fr_estimated,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,96,86.94339622641509,86.94339622641509,91,0.020833333333333332,0.020833333333333332,0.9056603773584905
smoke,fr_estimated,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,96,70.8923076923077,70.8923076923077,86,0.052083333333333336,0.052083333333333336,0.7384615384615385
smoke,fr_oracle,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,96,69.81818181818181,69.81818181818181,84,0.041666666666666664,0.041666666666666664,0.7272727272727272
smoke,fr_oracle,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,96,67.76470588235294,67.76470588235294,79,0.03125,0.03125,0.7058823529411765
smoke,fr_oracle,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,96,76.8,76.8,85,0.03125,0.03125,0.7999999999999999
smoke,fr_oracle,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,96,64.0,64.0,77,0.041666666666666664,0.041666666666666664,0.6666666666666666
smoke,fr_oracle,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,96,63.12328767123288,63.12328767123288,76,0.041666666666666664,0.041666666666666664,0.6575342465753425
smoke,fr_oracle,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,96,65.82857142857142,65.82857142857142,79,0.041666666666666664,0.041666666666666664,0.6857142857142856
smoke,fr_oracle,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,96,47.50515463917525,47.50515463917525,70,0.0625,0.0625,0.49484536082474223
smoke,fr_oracle,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,96,53.58139534883721,53.58139534883721,73,0.052083333333333336,0.052083333333333336,0.5581395348837209
smoke,fr_uniform,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,96,86.94339622641509,86.94339622641509,92,0.03125,0.03125,0.9056603773584905
smoke,fr_uniform,b1_h1_w2_n7_a1.5,1.0,1.0,49,1,96,80.84210526315789,80.84210526315789,88,0.03125,0.03125,0.8421052631578947
smoke,fr_uniform,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,96,86.94339622641509,86.94339622641509,91,0.020833333333333332,0.020833333333333332,0.9056603773584905
smoke,fr_uniform,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,96,90.35294117647058,90.35294117647058,93,0.020833333333333332,0.020833333333333332,0.9411764705882352
smoke,fr_uniform,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,96,75.54098360655739,75.54098360655739,86,0.041666666666666664,0.041666666666666664,0.7868852459016394
smoke,fr_uniform,b4_h1_w2_n7_a1.5,4.0,1.0,49,1,96,70.89230769230768,70.89230769230768,85,0.052083333333333336,0.052083333333333336,0.7384615384615384
smoke,fr_uniform,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,96,78.10169491525424,78.10169491525424,88,0.041666666666666664,0.041666666666666664,0.8135593220338984
smoke,fr_uniform,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,96,73.14285714285714,73.14285714285714,86,0.041666666666666664,0.041666666666666664,0.7619047619047619
