stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.20000000298023224,-2.616083860397339,-14.862004280090332,0.4168549105525017,nan,123932.33203125,-0.7906554937362671,-9.613722801208496,0.7320744248346404
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.19119496643543243,-2.7391140460968018,-13.08340835571289,0.4161565229296684,nan,127158.87890625,-0.8506652116775513,-8.909738540649414,0.7773509332946162
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.18238992989063263,-2.84649920463562,-11.308398246765137,0.4141007885336876,nan,128998.98046875,-0.9106748700141907,-8.2057523727417,0.8254276026825265
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.17358490824699402,-2.9390934705734253,-9.723707675933838,0.41080379486083984,nan,129951.1015625,-0.9706845283508301,-7.501769065856934,0.8764776603310492
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.1647798717021942,-3.0183531045913696,-8.279547691345215,0.4064517021179199,nan,130443.40234375,-1.0306942462921143,-6.797783851623535,0.9306850562688628
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.1559748500585556,-3.085335373878479,-6.935011386871338,0.40129001438617706,nan,130766.16015625,-1.0907038450241089,-6.093799591064453,0.9882448919222395
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.1471698135137558,-3.1407779455184937,-5.658379554748535,0.39560897648334503,nan,131048.71484375,-1.150713562965393,-5.389814376831055,1.0493647407951896
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.138364776968956,-3.1851985454559326,-4.431434869766235,0.3897266387939453,nan,131289.921875,-1.2107231616973877,-4.6858296394348145,1.1142645279076735
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.12955975532531738,-3.219036817550659,-3.2546803951263428,0.38396887481212616,nan,131418.5859375,-1.2682616710662842,-3.981637477874756,1.1802580256894277
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.12075471878051758,-3.2428138256073,-2.146108031272888,0.37864913046360016,nan,131357.6328125,-1.2788465023040771,-3.2734861373901367,1.1928172088663294
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.11194968223571777,-3.2572399377822876,-1.1306788921356201,0.3740486353635788,nan,131069.06640625,-1.2894314527511597,-2.565333843231201,1.2055101786315523
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.10314465314149857,-3.2632126808166504,-0.22596321254968643,0.37039797008037567,nan,130562.76953125,-1.3000162839889526,-1.8571832180023193,1.2183380711986962
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.09433962404727936,-3.2617112398147583,0.5669974684715271,0.3678620308637619,nan,129885.2890625,-1.3106012344360352,-1.149031639099121,1.2313026127785767
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.08553458750247955,-3.2536555528640747,1.262763798236847,0.36652956902980804,nan,129088.79296875,-1.3211860656738281,-0.4408801794052124,1.2444049638945973
smoke,b1_h1_w2_n7_a1.5,abf,1.0,1.0,49,-0.07672955840826035,-3.239803433418274,1.8836714625358582,0.3664070963859558,nan,128207.99609375,-1.3317710161209106,0.26727062463760376,1.2576468876906324
