physics_tag,n_replicas,n_steps,budget,method,name,beta,h,M,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,fr_score_std_median,fr_score_std_q25,fr_score_std_q75,fr_score_clip_fraction_median,fr_score_clip_fraction_q25,fr_score_clip_fraction_q75
b1_h2_w2_n10_a1.5,1024,120000,122880000,abf,abf,1.0,2.0,100,2.0,10,0.08784255229561672,0.08662282641142444,0.08885765682826968,0.3283768164320412,0.3266114774014088,0.3334513818693563,39.92867742466689,38.732451613526734,41.415150909226625,0.0472801207709595,0.04649090235412935,0.04800770656083559,0.49530932198837846,0.48687231904637696,0.5007535791119881,1563296.5,1560371.25,1565186.25,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1_h2_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,1.0,2.0,100,2.0,10,0.043056585284019885,0.042293250901195484,0.04701279943273105,0.2648004763326985,0.2617728857782454,0.27517509611861274,31.13016083299547,30.08868253481185,33.4223082223821,0.038038203040781524,0.037101966464896434,0.04054908040368091,0.49135959258574513,0.4820863884235598,0.5100676300149962,1586036.5,1582356.25,1592080.75,0.00010473109157042149,0.00010348603663566822,0.00010582966945402731,0.000140625,0.00013720703125,0.00015283203125,185.6542512819703,178.71245109871427,188.23732615372325,0.0166015625,0.015869140625,0.020263671875,0.2729568399660881,0.2676256751296259,0.2746989430824462,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,1.0,2.0,100,2.0,10,0.04298432109176792,0.0379361039840152,0.049078913431080194,0.2754607270046365,0.26244141637235074,0.2783704862717159,35.72540049787199,32.86833786461787,38.17791130195212,0.04123714735197913,0.03981001265100788,0.04172680338157003,0.49251541110826014,0.4836109311629038,0.49568630525035995,1587145.0,1583319.5,1591158.25,0.00011329999906254687,0.0001106634121418929,0.00011432533842057897,0.0002119140625,0.00020263671875,0.00022265625,163.43181846228623,160.8816291819162,168.9621228957625,0.01904296875,0.015625,0.021240234375,0.2663961820405496,0.26598013448164215,0.26802760420812555,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,1.0,2.0,100,2.0,10,0.048433970289423284,0.04736082340694431,0.05160208732139945,0.26205747926544476,0.25628215549331423,0.27230633606718163,34.91340969866947,32.90606884019675,36.10539534847607,0.036999598915291546,0.03526454578934411,0.0393419694056894,0.5113892011468513,0.5008882364227538,0.5159394840888178,1576220.0,1574168.25,1578860.5,8.75932765861707e-05,8.672662070021499e-05,8.821580405354732e-05,0.000123046875,0.0001162109375,0.00076513671875,210.89744731527986,208.18027894512454,215.2034229235106,0.01611328125,0.0146484375,0.0166015625,0.22955676921907298,0.22836174153608718,0.23050312432800296,0.0,0.0,0.0
b1_h2_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,1.0,2.0,100,2.0,10,0.04260999546712227,0.03931319037867359,0.045358253206535325,0.2637199149739837,0.2480371315537317,0.27919256473154885,31.601844556769528,29.859631124281783,32.99997325818376,0.0372955861153979,0.035981690875482905,0.041066127465660525,0.5133570945061761,0.4868969304114657,0.526983122272241,1583076.5,1579474.75,1588677.0,0.00010543906398430079,0.00010434048610069497,0.00010763621975151242,0.0001455078125,0.00013769531250000001,0.00016064453125,162.65947013744463,159.30967648476138,182.77468803593422,0.0205078125,0.018798828125,0.02197265625,0.2731063889001464,0.2720734139416608,0.2754396332369472,0.0,0.0,0.0
b1_h4_w2_n10_a1.5,1024,120000,122880000,abf,abf,1.0,4.0,100,4.0,10,0.09265361841986888,0.08713084122743034,0.09458832579640523,0.34864409072627567,0.33951745422264806,0.35248851906781176,45.86489522752397,45.073210109690265,48.64046636715429,0.04305190579146579,0.039970550465313615,0.04466791298054889,0.7651208341665051,0.7615969563094158,0.7832283979063919,1564729.0,1562638.75,1567575.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b1_h4_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,1.0,4.0,100,4.0,10,0.048421104740149185,0.04155862886269,0.050591241811702554,0.2724741149015141,0.26783628108154744,0.2752998034180971,38.23048053112474,36.895927196304314,43.21422722612559,0.032835876238764994,0.03142694644165126,0.03338408179344442,0.7709395394880916,0.758634222092252,0.7877248363938707,1583151.5,1579578.5,1588184.75,9.601570702714864e-05,9.451431725288736e-05,9.787108300834958e-05,0.0001396484375,0.0001298828125,0.00076806640625,180.30954123664216,172.13815799992307,183.3191575420696,0.01806640625,0.0166015625,0.0224609375,0.24627047003890956,0.24395384191146424,0.2485708713667834,0.0,0.0,0.0
b1_h4_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,1.0,4.0,100,4.0,10,0.045198069111017994,0.04333728197736487,0.04825102799892955,0.2674227628085084,0.2590381006484928,0.2746260773265319,42.398839243418806,39.556447735609325,44.04546688642979,0.03119307531222037,0.03015551595243399,0.03368160401496356,0.7824940369123528,0.7772670319186235,0.7966594175236597,1592276.0,1586306.0,1597434.0,9.237819359032048e-05,9.052281760911954e-05,9.667485375731214e-05,0.000181640625,0.00017822265625,0.0001884765625,190.17715635380748,184.5761095158359,196.53165856226707,0.0166015625,0.015869140625,0.021728515625,0.239699257287682,0.2388968105061935,0.24033407485151026,0.0,0.0,0.0
b1_h4_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,1.0,4.0,100,4.0,10,0.053570772611477274,0.05182288962078305,0.05430577822697233,0.27542121550504217,0.2695541479253821,0.28112112087940055,39.60370485400726,38.90500685739881,42.33858838687481,0.03379800404171596,0.032587924352504787,0.03421208843638292,0.7736927863034492,0.7665748760822383,0.7811442764943429,1583148.0,1578955.25,1587081.75,8.322337789360532e-05,8.24909926378681e-05,8.507875387480626e-05,0.000123046875,0.00011572265625000001,0.000765625,215.40057204330685,201.13872838817286,227.8812453828238,0.01611328125,0.013916015625,0.017333984375,0.21581020022421527,0.21554494351812187,0.21931368554500302,0.0,0.0,0.0
b1_h4_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,1.0,4.0,100,4.0,10,0.045810075301141166,0.045060271187909486,0.049960979955557275,0.2713041400511007,0.2649367786093718,0.27864611633817654,38.16206244283355,36.10417538970754,39.13337830808867,0.03128185227734462,0.03049269182702092,0.03347118583083683,0.7677013201483253,0.757400156395595,0.775501525758352,1585612.0,1583916.25,1587546.5,9.459976219939004e-05,9.309837242512875e-05,9.582040429228539e-05,0.0001279296875,0.00012158203125,0.0001337890625,198.49824206147065,195.59354340345703,206.00707269155205,0.0146484375,0.013671875,0.015625,0.24620465544744968,0.24408927661955063,0.2489557857999724,0.0,0.0,0.0
