run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
representative__abf__b1_h2_w2_n10_a1.5__seed0__N1024__T120000__676013d29f21,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08450823095556007,0.33684614521124684,40.62117374197889,0.04973648988967983,0.42728642960553764,0.131544047229695,nan,0.5098421811484897,1572140,785773,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,247.51298974081874,247.54241831135005,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed1__N1024__T120000__edff19de1fd0,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.09015216142784764,0.33416413238289294,39.236181107354874,0.04832899368138275,0.4122515739737696,0.13063209860206507,nan,0.49422396199964236,1564414,781908,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,239.81949165742844,239.84921362809837,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed2__N1024__T120000__24a8a019f98f,wca_representative,representative,sample,abf,abf,2,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08462871269575696,0.3258140514834207,38.34344235736457,0.04733800915439836,0.4201074169250908,0.13369665196369732,nan,0.48450214209181747,1566373,782891,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,249.26025047525764,249.26480110548437,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed3__N1024__T120000__8b2e26abed54,wca_representative,representative,sample,abf,abf,3,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08905376917946065,0.3313131303287464,41.748411046449775,0.04803187559456722,0.42375634701584924,0.14890591611332638,nan,0.4842508350385916,1559941,779669,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,224.02983332425356,224.03424596507102,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed4__N1024__T120000__95674c5bd81f,wca_representative,representative,sample,abf,abf,4,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08826931977469682,0.34024448312346883,45.29596137673869,0.04793519945964072,0.418643219279361,0.1334476262857242,nan,0.49639468197711456,1564419,781904,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,250.16916589345783,250.173253364861,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed5__N1024__T120000__2b8858916b6d,wca_representative,representative,sample,abf,abf,5,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08693229806577231,0.3268173810647302,40.87992426025072,0.047222232387520637,0.40635681566360765,0.13751688673570506,nan,0.49956233979514614,1562179,780790,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,224.05201343167573,224.0557650020346,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed6__N1024__T120000__e07e591f4aca,wca_representative,representative,sample,abf,abf,6,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08651966919330847,0.3242212510290854,38.21029521254819,0.043978743672491334,0.4116243743131145,0.1510870816288167,nan,0.4778738084892034,1558742,779068,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,250.41109220590442,250.41483289841563,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed7__N1024__T120000__e1d91a1e1424,wca_representative,representative,sample,abf,abf,7,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08807373853498268,0.3298592113580447,38.56753130241917,0.04625761401302059,0.41767421581371394,0.12616343959341542,nan,0.5285718515455978,1556429,777913,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,224.84793156199157,224.85156525298953,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed8__N1024__T120000__314659b1b20f,wca_representative,representative,sample,abf,abf,8,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.09294293069992558,0.32654284284696833,41.5935597922186,0.04719076737745565,0.4083873082293616,0.11858818327700468,nan,0.5011506588842688,1565442,782423,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,249.7845818735659,249.78834374435246,b1_h2_w2_n10_a1.5
representative__abf__b1_h2_w2_n10_a1.5__seed9__N1024__T120000__d28243fb7504,wca_representative,representative,sample,abf,abf,9,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08761136605625075,0.32689442150603776,39.22721254684943,0.04581926183665188,0.402306555281053,0.13178044300889002,nan,0.4939828499100555,1561662,780526,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,227.51257463730872,227.51625271793455,b1_h2_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed0__N1024__T120000__41c87f7486f8,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.08544808654094914,0.3366500200026235,50.25812533109996,0.03891470622438213,0.3675253596306667,0.0837635680617696,nan,0.7653182839071111,1573256,786345,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.11549213714898,248.11926263850182,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed1__N1024__T120000__500faf73e602,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.09466950947649523,0.34811975688272173,45.927749307837296,0.03934491037876847,0.3680739384514441,0.1247798454821796,nan,0.7378238499448055,1568266,783834,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,231.7137227645144,231.717427524738,b1_h4_w2_n10_a1.5
representative__abf__b1_h4_w2_n10_a1.5__seed2__N1024__T120000__7e6d4c605221,wca_representative,representative,sample,abf,abf,2,120000,1024,122880000,1.0,4.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.07976390397872671,0.31207174591807374,43.02039643230842,0.037973651253944404,0.3563154000882472,0.12452718884109565,nan,0.7865204806565222,1558460,778929,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,246.11556698661298,246.11935878824443,b1_h4_w2_n10_a1.5
