run_id,stage,name,method,seed,n_steps,n_replicas,budget,budget_reached,complete,beta,h,w,n_dim,M,a,beta_h,l2_f,l2_fp,l2_f_transition,l2_fp_transition,l2_f_compact,l2_f_stretched,frac_compact,frac_transition,frac_stretched,n_barrier_crossings,n_round_trips,n_up_crossings,n_down_crossings,integrated_l2_f,integrated_l2_f_budget,budget_auc_normalized_l2_f,wall_seconds,had_nan,physics_tag
production__serial_abf__b1_h2_w2_n10_a1.5__seed0__N1__T30720000__068899458aaf,production,serial_abf,serial_abf,0,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.07654634291573416,0.3027116255101354,0.04853470214916967,0.4053954936110577,0.10716806392351709,0.07215843395337883,0.27075380086898804,0.31848740577697754,0.41075876355171204,398591,199295,199296,199295,6101.3353341387665,3050667.6670693834,0.09933792468477315,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed1__N1__T30720000__6209134c3d39,production,serial_abf,serial_abf,1,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.07377841472959105,0.3254758225482947,0.04587973739825942,0.41098863297654936,0.1073037015896313,0.06448852967714527,0.26028433442115784,0.31835734844207764,0.42135828733444214,397703,198851,198852,198851,4367.597420746353,2183798.7103731767,0.07111034550222002,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed2__N1__T30720000__aaaa608566fc,production,serial_abf,serial_abf,2,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.07230340544803247,0.29357410148838464,0.040741707734632975,0.35378426690214293,0.10463994907102003,0.06804318145528011,0.26856327056884766,0.3191417455673218,0.4122949242591858,399368,199684,199684,199684,4646.929118224167,2323464.559112083,0.07565824028368881,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed3__N1__T30720000__1b6a373c9558,production,serial_abf,serial_abf,3,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.08739496088987833,0.3252833321026032,0.04600922983880911,0.401512444865903,0.12397398036554495,0.08830105875082496,0.2631213665008545,0.3179205060005188,0.4189581573009491,395852,197926,197926,197926,5557.015705210262,2778507.852605131,0.09047567087610325,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed4__N1__T30720000__37e4fab089b3,production,serial_abf,serial_abf,4,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.08427035516411092,0.2967639751075008,0.040999031837239235,0.35514383905339414,0.1192846898343503,0.0880988777524337,0.26165643334388733,0.3212377727031708,0.4171058237552643,402733,201366,201367,201366,4364.795417923486,2182397.708961743,0.07106472513714565,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed5__N1__T30720000__3ea2f7294a49,production,serial_abf,serial_abf,5,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.07172258153209865,0.2963499103537789,0.038516734128245605,0.4004840941806371,0.10052306080865192,0.07344602317457576,0.27120211720466614,0.31878921389579773,0.4100086987018585,396970,198485,198485,198485,5113.044514357629,2556522.257178814,0.08324722426502162,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed6__N1__T30720000__93cd769061f9,production,serial_abf,serial_abf,6,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.08272680591706011,0.30085110258705855,0.04123922434222633,0.38946090150099505,0.1157703355680234,0.08742897443550539,0.2680199146270752,0.3209203779697418,0.411059707403183,401518,200759,200759,200759,5309.896480611054,2654948.2403055276,0.08645223836878957,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed7__N1__T30720000__98e49799b133,production,serial_abf,serial_abf,7,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.06661459767041106,0.272768419994808,0.0365329494052615,0.36774205142401106,0.09350254134690392,0.0675492675903336,0.2675132155418396,0.3195268213748932,0.4129599928855896,399298,199649,199649,199649,4375.636324071069,2187818.1620355346,0.07124122963319879,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed8__N1__T30720000__6b2eef547d6f,production,serial_abf,serial_abf,8,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.05905112412897282,0.25434843492864523,0.03050772508719174,0.31489517122903216,0.0837740809818338,0.06025296655374886,0.27323007583618164,0.3164461851119995,0.41032370924949646,395936,197968,197968,197968,5144.571356348625,2572285.678174312,0.083760523548496,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b1_h2_w2_n10_a1.5__seed9__N1__T30720000__85ee5603b7b0,production,serial_abf,serial_abf,9,30720000,1,30720000,30720000,True,1.0,2.0,2.0,10,100,1.5,2.0,0.0667528905336212,0.27581043065835215,0.036306635157719425,0.36266844299950385,0.0923015201477687,0.0698457419347034,0.2669563591480255,0.3165843188762665,0.4164593517780304,396392,198196,198196,198196,3995.538797654665,1997769.3988273325,0.06505273197093235,42841.19576704316,False,b1_h2_w2_n10_a1.5
production__serial_abf__b2_h6_w2_n10_a1.5__seed0__N1__T30720000__a66698fb8e19,production,serial_abf,serial_abf,0,30720000,1,30720000,30720000,True,2.0,6.0,2.0,10,100,1.5,12.0,0.02389881960283377,0.10601813816481043,0.019057407953675796,0.06815702171882514,0.01872209710014141,0.033198999019979615,0.3171686828136444,0.3308747410774231,0.3519565463066101,268179,134089,134090,134089,2138.909948135149,1069454.9740675744,0.03482432347989496,44546.05679419078,False,b2_h6_w2_n10_a1.5
production__serial_abf__b2_h6_w2_n10_a1.5__seed1__N1__T30720000__42262ef9f37f,production,serial_abf,serial_abf,1,30720000,1,30720000,30720000,True,2.0,6.0,2.0,10,100,1.5,12.0,0.023384033935524382,0.10140631455646486,0.022401936546076095,0.08139868138987492,0.017145103948772132,0.02974170906633254,0.3222241997718811,0.3273022472858429,0.3504734933376312,259610,129805,129805,129805,1906.588615954809,953294.3079774044,0.031041820513754623,44546.05679419078,False,b2_h6_w2_n10_a1.5
production__serial_abf__b2_h6_w2_n10_a1.5__seed2__N1__T30720000__5f795aadc243,production,serial_abf,serial_abf,2,30720000,1,30720000,30720000,True,2.0,6.0,2.0,10,100,1.5,12.0,0.02735983400058229,0.09256387095154284,0.017730322313195133,0.0846895738198502,0.021865786243038816,0.04062961408639617,0.3011873960494995,0.3295837640762329,0.36922886967658997,262846,131423,131423,131423,1632.234574525743,816117.2872628715,0.026574968650695915,44546.05679419078,False,b2_h6_w2_n10_a1.5
production__serial_abf__b2_h6_w2_n10_a1.5__seed3__N1__T30720000__26a5b6db53ca,production,serial_abf,serial_abf,3,30720000,1,30720000,30720000,True,2.0,6.0,2.0,10,100,1.5,12.0,0.023348107679228118,0.09947982582501483,0.013965728606020945,0.05130502207549868,0.017803778494554202,0.035871538201282235,0.3170444667339325,0.32467615604400635,0.35827937722206116,260684,130342,130342,130342,1541.08923424233,770544.617121165,0.02509100023188424,44546.05679419078,False,b2_h6_w2_n10_a1.5
production__serial_abf__b2_h6_w2_n10_a1.5__seed4__N1__T30720000__6f80c92ef9da,production,serial_abf,serial_abf,4,30720000,1,30720000,30720000,True,2.0,6.0,2.0,10,100,1.5,12.0,0.023273577657106047,0.09880579666470078,0.012726335829226594,0.054054057948583645,0.019606621393372353,0.035394543690348335,0.30689001083374023,0.32932066917419434,0.3637893497943878,265583,132791,132792,132791,1498.9186609699498,749459.3304849748,0.02440440672370481,44546.05679419078,False,b2_h6_w2_n10_a1.5
production__serial_abf__b4_h1_w2_n10_a1.5__seed0__N1__T30720000__af1f9f160634,production,serial_abf,serial_abf,0,30720000,1,30720000,30720000,True,4.0,1.0,2.0,10,100,1.5,4.0,0.0023617920256489566,0.029195043827153308,0.0019283822316860614,0.02351182441921559,0.002738661919860731,0.0025445053327452635,0.3129497468471527,0.32850703597068787,0.3585432469844818,181926,90963,90963,90963,547.9063509871446,273953.1754935723,0.008920650455668262,43837.161991076544,False,b4_h1_w2_n10_a1.5
production__serial_abf__b4_h1_w2_n10_a1.5__seed1__N1__T30720000__dee8b348a22c,production,serial_abf,serial_abf,1,30720000,1,30720000,30720000,True,4.0,1.0,2.0,10,100,1.5,4.0,0.007773593094637268,0.04563999958358966,0.005707683820605055,0.05913174426272272,0.005794095795826476,0.011355599340325036,0.3307300806045532,0.32172298431396484,0.3475469648838043,176336,88168,88168,88168,704.2442967707442,352122.14838537213,0.011466041953284668,43837.161991076544,False,b4_h1_w2_n10_a1.5
